<b>Arrays & Tiles</b> , <b>Tablice i płytki</b>
Init. Resolution , Init. Uchwała
Init. Type , Init. Typ
Init. With High Gradients Only , Init. Tylko z wysokimi nachyleniami
Initial Density , Gęstość początkowa
Initialization , Inicjalizacja
Inner , Wewnątrz
Inner Fading , Blaknięcie wewnętrzne
Inner Length , Długość wewnętrzna
Inner Radius , Promień wewnętrzny
Inner Radius (%) , Promień wewnętrzny (%)
Inner Shade , Odcień wewnętrzny
Inpaint [Holes] , Farba [Dziury]
Inpaint [Morphological] , Inpaint [Morfologiczny]
Input , Wejście:
Input Folder , Folder wejściowy
Input Frame Files Name , Ramka wejściowa Nazwa pliku
Input Guide Color , Kolor przewodnika wejściowego
Input Layers , Warstwy wejściowe
Input Transparency , Wejście Przejrzystość
Input Type , Typ wejścia
Insert New CLUT Layer , Wstawić nową warstwę zamykającą
Inside , Wewnątrz
Inside Color , Kolor wewnętrzny
Instant [Consumer] (54) , Błyskawiczny [Konsument] (54)
Intarsia , Intarsja
Intensity , Intensywność pomocy
Intensity of Purple Fringe , Intensywność fioletowej grzywki
Inter-Frames , Między ramami
Interlace Horizontal , Interlace Poziomy
Interlace Vertical , Interlace Pionowy
Interpolate , Interpolować
Interpolation , Interpolacja
Interpolation Type , Typ interpolacji
Inverse , Odwróć się
Inverse Depth Map , Mapa odwrotnej głębokości
Inverse Radius , Odwrotny promień
Inverse Transform , Odwrotna transformacja
Inversions , Inwersje
Invert Background / Foreground , Odwrócenie tła / pierwszy plan
Invert Blur , Odwrócenie rozmycia
Invert Canvas Colors , Odwróć kolory płótna
Invert Colors , Odwróć kolory
Invert Image Colors , Odwróć kolory obrazu
Invert Luminance , Odwrócona luminancja
Invert Mask , Odwróć maskę
Inward , Wewnątrz
Isophotes , Izofoty
Isotropic , Izotropowy
Iteration , Iteracja
Iterations , Iteracje
Japanese Maple Leaf , Japoński liść klonowy
Jet (256) , Odrzutowiec (256)
JPEG Artefacts , Artefakty JPEG
Just Peachy , Tylko Peachy
Kaleidoscope [Blended] , Kalejdoskop [mieszany]
Kaleidoscope [Polar] , Kalejdoskop [Polar]
Kaleidoscope [Symmetry] , Kalejdoskop [Symetria]
Kandinsky: Squares with Concentric Circles , Kandinsky: Skwery z koncentrycznymi kołami
Keep , Trzymaj
Keep Aspect Ratio , Zachowaj proporcje proporcje proporcji
Keep Base Layer as Input Background , Zachowanie warstwy bazowej jako tła wejściowego
Keep Borders Square , Trzymaj Plac Graniczny
Keep Color Channels , Zachowaj kanały kolorów
Keep Colors , Zachowaj kolory
Keep Detail , Zachowaj szczegóły
Keep Detail Layer Separate , Oddzielenie warstwy szczegółów
Keep Iterations as Different Layers , Zachowaj Iteracje jako różne warstwy
Keep Layers Separate , Oddzielenie warstw
Keep Original Image Size , Zachowaj oryginalny rozmiar obrazu
Keep Original Layer , Zachowaj oryginalną warstwę
Keep Tiles Square , Trzymaj płytki na placu
Keep Transparency in Output , Zachowanie przejrzystości w produkcji
Kernel Multiplier , Mnożnik jądra (Kernel Multiplier)
Kernel Type , Typ jądra
Key Factor , Czynnik kluczowy
Key Frame Rate , Kluczowa stawka ramowa
Key Smoothness , Gładkość klucza
Keypoint Influence (%) , Wpływ punktu kluczowego (%)
Klee: Death and Fire , Klee: Śmierć i ogień
Klee: In the Style of Kairouan , Klee: W stylu Kairouan
Klee: Polyphony 2 , Klee: Polifonia 2
Klee: Red Waistcoat , Klee: Czerwona kamizelka
Kuwahara , Kuwejtara
Kuwahara on Painting , Kuwejtara na Malarstwie
Lab , Laboratorium
Lab (Chroma Only) , Laboratorium (tylko dla aromatu)
Lab (Distinct) , Laboratorium (Distinct)
Lab (Luma Only) , Laboratorium (tylko Luma)
Lab (Luma/Chroma) , Laboratorium (Luma/Chroma)
Lab (Mixed) , Laboratorium (mieszane)
Lab [a-Chrominance] , Laboratorium [a-Chrominance]
Lab [ab-Chrominances] , Laboratorium [ab-Chrominances]
Lab [all] , Laboratorium [wszystkie]
Lab [b-Chrominance] , Laboratorium [b-Chrominance]
Lab [Lightness] , Laboratorium [Lekkość]
Landscape , Krajobraz
Landscape-10 , Krajobraz-10
Landscape-3 , Krajobraz-3
Landscape-4 , Krajobraz-4
Landscape-5 , Krajobraz-5
Landscape-6 , Krajobraz 6
Landscape-7 , Krajobraz-7
Landscape-8 , Krajobraz-8
Landscape-9 , Krajobraz-9
Laplacian , Laplacjan
Large , Duże
Large Noise , Duży hałas
Last , Ostatni
Last Frame , Ostatnia ramka
Late Afternoon Wanderlust , Późnym popołudniem Wanderlust
Late Sunset , Późny zachód słońca
Lava Lamp , Lampka lawowa
Layer , Warstwa
Layer Processing , Przetwarzanie warstw
Layers to Tiles , Warstwy do płytek
Lch [all] , Lch [wszyscy]
Leaf , Liść
Leaf Color , Kolor liści
Leaf Opacity (%) , Nieprzezroczystość liści (%)
Leak Type , Rodzaj przecieku
Left , W lewo
Left  Foreground , Lewy pierwszy plan
Left / Right Blur (%) , Rozmycie w lewo / w prawo (%)
Left and Right Background , Lewe i prawe tło
Left and Right Foreground , Lewy i prawy pierwszy plan
Left and Right Image Streams , Lewy i prawy strumień obrazu
Left Diagonal Foreground , Lewy przekątny Pierwszy plan
Left Foreground , Lewy pierwszy plan
Left Position , Pozycja lewa
Left Side Orientation , Ukierunkowanie boczne w lewo
Left Slope , Lewy stok
Left Stream Only , Tylko Left Stream
Length , Długość
Lenticular Density LPI , Gęstość Soczewkowa LPI
Lenticular Orientation , Orientacja soczewicowa
Lenticular Print , Druk soczewkowy (Lenticular Print)
Level , Poziom
Level Frequency , Poziom Częstotliwość
Levels , Poziomy
Lifestyle & Commercial-1 , Styl życia i reklama-1
Lifestyle & Commercial-10 , Styl życia i reklama-10
Lifestyle & Commercial-3 , Styl życia i reklama-3
Lifestyle & Commercial-5 , Styl życia i reklama-5
Lifestyle & Commercial-6 , Styl życia i reklama-6
Lifestyle & Commercial-9 , Styl życia i handel-9
Light , Światło
Light (blown) , Światło (dmuchane)
Light Angle , Kąt świetlny
Light Color , Kolor światła
Light Direction , Kierunek światła
Light Effect , Efekt świetlny
Light Glow , Jasny blask
Light Grey , Jasnoszary
Light Leaks , Lekkie wycieki
Light Motive , Lekki motyw
Light Patch , Łata świetlna
Light Rays , Promienie świetlne
Light Smoothness , Gładkość światła
Light Strength , Wytrzymałość na światło
Light Type , Typ światła
Lighten , Rozjaśnij
Lighten Edges , Krawędzie świetlne
Lighter , Zapalniczka
Lighting , Oświetlenie
Lighting Angle , Kąt oświetlenia
Lightness , Lekkość
Lightness (%) , Lekkość (%)
Lightness Factor , Współczynnik lekkości
Lightness Level , Poziom lekkości
Lightness Max (%) , Lekkość Max (%)
Lightness Min (%) , Lekkość Min (%)
Lightness Shift , Przesunięcie lekkości
Lightness Smoothness , Lekkość Gładkość Smoothness
Lightning , Błyskawica
Limit Hue Range , Graniczny zakres barwy
Line , Linia
Line Opacity , Linia Nieprzezroczystość
Line Precision , Precyzja linii
Linear Burn , Oparzenie liniowe
Linear Light , Światło liniowe
Linear RGB , Liniowy RGB
Linear RGB [All] , Linear RGB [Wszystkie]
Linear RGB [Blue] , Linear RGB [Niebieski]
Linear RGB [Green] , Linear RGB [Zielony]
Linearity , Liniowość
Lineart + Color Spots , Lineart + kolorowe plamy
Lineart + Color Spots + Extrapolated Colors , Lineart + Kolorowe plamy + Kolory ekstrapolowane
Lineart + Colors , Lineart + Kolory
Lineart + Extrapolated Colors , Lineart + Ekstrapolowane kolory
Lines , Linie
Lines (256) , Linie (256)
Linf-Norm , Link-Norm
Lion , Lew
Lissajous [Animated] , Lissajous [Animowany]
Lissajous Spiral , Spirala Lissajous
Little , Mały
Little Cyan , Mały Cyjan
Little Magenta , Mała Magenta
Little Red , Mała czerwień
Little Yellow , Mały Żółty
LN Amplititude , LN Amplituła
LN Amplitude , LN Amplituda
LN Average-Smoothness , LN Średnia - Gładkość
LN Size , Wielkość LN
Local  Normalisation , Normalizacja lokalna
Local Contrast , Kontrast lokalny
Local Contrast Effect , Lokalny efekt kontrastu
Local Contrast Enhance , Lokalne wzmocnienie kontrastu
Local Contrast Enhancement , Wzmocnienie lokalnego kontrastu
Local Contrast Style , Lokalny Styl Kontrastu
Local Normalization , Lokalna normalizacja
Local Orientation , Lokalna orientacja
Local Processing , Przetwarzanie lokalne
Local Similarity Mask , Maska podobieństwa lokalnego
Local Variance Normalization , Normalizacja lokalnej zmienności
Lock Return Scaling to Source Layer , Blokada Powrót skalowania do warstwy źródłowej
Lock Source , Źródło zamka
Lock Uniform Sampling , Jednolite pobieranie próbek na zamek
Log(z) , Dziennik(z)
Logarithmic Distortion , Zakłócenia logarytmiczne
Logarithmic Distortion Axis Combination for X-Axis , Logarytmiczna kombinacja osi zniekształceń dla osi X-Axis
Logarithmic Distortion Axis Combination for Y-Axis , Logarytmiczna kombinacja osi zniekształceń dla osi Y
Logarithmic Distortion X-Axis Direction , Zniekształcenia logarytmiczne Kierunek X-Axis
Logarithmic Distortion Y-Axis Direction , Zniekształcenia logarytmiczne Kierunek Y-Axis
Lomography Redscale 100 , Lomografia Czerwona skala 100
Lomography X-Pro Slide 200 , Lomografia X-Pro Slide 200
Lookup Factor , Współczynnik wyszukiwania
Lookup Size , Rozmiar Lookup
Loop Method , Metoda pętli
Low , Niski poziom
Low Bias , Niski poziom uprzedzenia
Low Contrast Blue , Niski Kontrast Niebieski
Low Frequency , Niska częstotliwość
Low Frequency Layer , Warstwa niskiej częstotliwości
Low Key , Niski klawisz
Low Key 01 , Niski klawisz 01
Low Scale , Niska skala
Low Value , Niska wartość
Lower Layer Is the Bottom Layer for All Blends , Dolna warstwa jest dolną warstwą dla wszystkich mieszanek.
Lower Mask Threshold (%) , Dolny próg maski (%)
Lower Side Orientation , Dolna orientacja boczna
Lowercase Letters , Małymi literami
Lowlights Crossover Point , Skrzyżowanie świateł dolnych
Lowres CLUT , Zamknięcie Lowres
Lucky 64 , Szczęśliwy 64
Luma Noise , Hałas Lumy
Luminance , Luminancja
Luminance Factor , Współczynnik luminancji
Luminance Level , Poziom luminancji
Luminance Only , Tylko Luminancja
Luminance Only (Lab) , Tylko luminancja (laboratorium)
Luminance Only (YCbCr) , Tylko luminancja (YCbCr)
Luminance Shift , Zmiana luminancji
Luminance Smoothness , Luminancja Gładkość
Luminosity from Color , Jasność od koloru
Luminosity Type , Rodzaj natężenia światła
Lush Green Summer , Bujne zielone lato
LUTs Pack , Pakiet LUT
Lylejk's Painting , Malarstwo Lylejk's Painting
Magenta Coffee , Kawa Magenta
Magenta Day , Dzień Magenty
Magenta Day 01 , Dzień Magenty 01
Magenta Factor , Czynnik Magenta
Magenta Smoothness , Magenta Gładkość
Magenta Yellow , Magenta Żółty
Magic Details , Magiczne szczegóły
Magnitude / Phase , Wielkość / faza
Mail , Poczta
Make Hue Depends on Region Size , Make Hue zależy od wielkości regionu
Make Seamless [Diffusion] , Make Seamless [Dyfuzja]
Make Seamless [Patch-Based] , Make Seamless [Oparte na łatach]
Make Squiggly , Zrób Squiggly
Make Up , Makijaż
Manual , Podręcznik
Manual Controls , Sterowanie ręczne
Map , Mapa
Map Tones , Tony na mapie
Mapping , Mapowanie
Marble , Marmur
Margin (%) , Marża (%)
Mascot Image , Obrazek maskotki
Masculine , Męski
Mask , Maska
Mask + Background , Maska + tło
Mask as Bottom Layer , Maska jako warstwa spodnia (Bottom Layer)
Mask By , Maska przez
Mask Color , Kolor maski
Mask Contrast , Kontrast maskowy
Mask Creator , Twórca maski
Mask Dilation , Dylatacja maski
Mask Size , Rozmiar maski
Mask Smoothness (%) , Maska Gładkość (%)
Mask Type , Typ maski
Masked Image , Obraz maskowy
Masking , Maskowanie
Match Colors With , Dopasuj kolory Z
Matching Precision (Smaller Is Faster) , Dopasowanie precyzji (Smaller Is Faster)
Math Symbols , Symbole matematyczne
Matrix , Matryca
Max Angle , Kąt Maxa
Max Angle Deviation (deg) , Maksymalne odchylenie kątowe (deg)
Max Area , Maksymalny obszar
Max Curve , Krzywa Maxa
Max Cut (%) , Maksymalne cięcie (%)
Max Iterations , Max. Iteracje
Max Length (%) , Długość maksymalna (%)
Max Offset (%) , Maksymalny offset (%)
Max Threshold , Maksymalny próg
Maximal Area , Maksymalny obszar
Maximal Color Saturation , Maksymalne nasycenie kolorów
Maximal Highlights , Maksymalne oświetlenie
Maximal Radius , Maksymalny promień
Maximal Seams per Iteration (%) , Maksymalne szwy na powtórzenie (%)
Maximal Size , Maksymalny rozmiar
Maximal Value , Wartość maksymalna
Maximum , Maksymalnie
Maximum Dimension , Maksymalny wymiar
Maximum Image Size , Maksymalny rozmiar obrazu
Maximum Number of Image Colors , Maksymalna liczba kolorów obrazu
Maximum Number of Output Layers , Maksymalna liczba warstw wyjściowych
Maximum Red:Blue Ratio in the Fringe , Maksymalny współczynnik czerwieni: Niebieski na obrzeżach
Maximum Saturation , Maksymalne nasycenie
Maximum Size Factor , Maksymalny współczynnik wielkości
Maximum Value , Wartość maksymalna
Maze Type , Typ labiryntu
Mean Color , Średni kolor
Mean Curvature , Średnia krzywizna
Median , Mediana
Median (beware: Memory-Consuming!) , Mediana (uważaj: Pamięć-zabsorbująca!)
Medium 3 , Średnia 3
Medium Details Smoothness , Średnie szczegóły Gładkość
Medium Details Threshold , Średni poziom szczegółowości Próg
Medium Frequency Layer , Warstwa średniej częstotliwości
Medium Scale (Original) , Średnia skala (Oryginalna)
Medium Scale (Smoothed) , Średnia skala (wygładzona)
Memories , Wspomnienia
Merge Brightness / Colors , Połączyć jasność / kolory
Merge Layers? , Połączyć warstwy?
Merging Mode , Tryb łączenia
Merging Option , Opcja połączenia
Merging Steps , Etapy łączenia
Mess with Bits , Bałagan z bitami
Metallic Look , Metaliczny wygląd
Method , Metoda
Metric , Metryczny
Micro/macro Details  Adjusted , Mikro/makro Szczegóły Dostosowane
Mid Noise , Hałas środkowy
Mid Offset , Przesunięcie środkowe
Mid Tone Contrast , Kontrast Środkowego Tonu
Middle Grey , Szarość środkowa
Middle Scale , Skala średnia
Midtones Color Intensity , Tony średnie Intensywność koloru
Mighty Details , Potężne szczegóły
Min Angle Deviation (deg) , Min. odchylenie kątowe (deg)
Min Area % , Obszar Min. %
Min Cut (%) , Minimalne cięcie (%)
Min Length (%) , Długość minimalna (%)
Min Offset (%) , Min. Przesunięcie (%)
Min Threshold , Min. próg
Mineral Mosaic , Mozaika mineralna
Minesweeper , Zamiatarka górnicza
Minimal Area , Minimalna powierzchnia
Minimal Area (%) , Minimalna powierzchnia (%)
Minimal Color Intensity , Minimalna intensywność koloru
Minimal Highlights , Minimalne oświetlenie
Minimal Path , Minimalna ścieżka
Minimal Radius , Minimalny promień
Minimal Region Area , Minimalny obszar regionu
Minimal Scale (%) , Skala minimalna (%)
Minimal Shape Area , Minimalny obszar kształtu
Minimal Size , Minimalna wielkość
Minimal Size (%) , Minimalna wielkość (%)
Minimal Stroke Length , Minimalna długość skoku
Minimal Value , Wartość minimalna
Minimalist Caffeination , Minimalistyczna kofeinacja
Minimum Brightness , Minimalna jasność
Minimum Red:Blue Ratio in the Fringe , Minimalny stosunek czerwieni do błękitu na obrzeżach
Mirror , Lustro
Mirror Effect , Efekt lustra
Mirror X , Lustro X
Mirror Y , Lustro Y
Mixed Mode , Tryb mieszany
Mixer [CMYK] , Mikser [CMYK]
Mixer [HSV] , Mikser [HSV]
Mixer Mode , Tryb miksera
Mixer Style , Styl miksera
Mode , Tryb
Modern Film , Film współczesny
Modulo Value , Modulo Wartość
Moir&eacute; Animation , Moir&eacute; Animacja
Moire Removal , Usuwanie wilgoci
Moire Removal Method , Metoda usuwania wilgoci
Mondrian: Composition in Red-Yellow-Blue , Mondrian: Skład w kolorze czerwono-żółto-niebieskim
Mondrian: Evening; Red Tree , Mondrian: Wieczór; Red Tree
Monet: San Giorgio Maggiore at Dusk , Monet: San Giorgio Maggiore o zmierzchu
Monet: Water-Lily Pond , Monet: Staw wodno-lilijny
Monet: Wheatstacks - End of Summer , Monet: Stogi pszenicy - koniec lata
Mono Tinted , Mono Przyciemniany
Mono-Directional , Monokierunkowy
Monochrome , Monochromatyczne
Monochrome 1 , Monochromatyczny 1
Monochrome 2 , Monochromatyczny 2
Montage Type , Rodzaj montażu
Moonlight , Światło księżyca
Moonlight 01 , Światło księżycowe 01
Moonrise , Wschód księżyca
Morning 6 , Dzień dobry 6
Morph [Interactive] , Morph [Interaktywny]
Morph Layers , Warstwy morfowe
Morphological - Fastest Sharpest Output , Morfologiczny - Najszybsze ostre wyjście
Morphological Closing , Zamknięcie morfologiczne
Morphological Filter , Filtr morfologiczny
Morphology Painting , Morfologia Malarstwo
Morphology Strength , Morfologia Wytrzymałość
Mosaic , Mozaika
Most , Większość
Mostly Blue , Głównie niebieski
Motion Analyzer , Analizator ruchu
Motion-Compensated , Wniosek-rekompensata
Much , Dużo
Much Blue , Dużo niebieskiego
Multi-Layer Etch , Trawienie wielowarstwowe
Multiple Colored Shapes Over Transp. BG , Wielokolorowe kształty przezroczyste. BG
Multiple Layers , Wiele warstw
Multiplier , Mnożnik
Multiply , Pomnożyć
Multiscale Operator , Operator multiskalowy
Muted 01 , Wyciszony 01
Muted Fade , Wyciszony blask
Name , Nazwa
Natural (vivid) , Naturalny (żywy)
Nature & Wildlife-1 , Przyroda i dzika przyroda-1
Nature & Wildlife-10 , Przyroda i dzika przyroda-10
Nature & Wildlife-2 , Przyroda i dzika natura-2
Nature & Wildlife-3 , Przyroda i dzika przyroda-3
Nature & Wildlife-4 , Przyroda i dzika natura-4
Nature & Wildlife-5 , Przyroda i dzika przyroda-5
Nature & Wildlife-6 , Przyroda i dzika natura-6
Nature & Wildlife-7 , Przyroda i dzika natura-7
Nature & Wildlife-8 , Przyroda i dzika przyroda-8
Nature & Wildlife-9 , Przyroda i dzika przyroda-9
Nb Circles Surrounding , Nb Kręgi Otoczenie
Near Black , Blisko Czarnego
Nearest , Najbliższy
Nearest Neighbor , Najbliższy sąsiad
Negation , Negacja
Negative , Negatywny
Negative [Color] (13) , Negatywny [Kolor] (13)
Negative [New] (39) , Negatywny [nowy] (39)
Negative [Old] (44) , Negatywny [Stary] (44)
Negative Color Abstraction , Abstrakcja kolorów ujemnych
Negative Colors , Kolory ujemne
Negative Effect , Negatywny wpływ
Neighborhood Size (%) , Sąsiedztwo Wielkość (%)
Neighborhood Smoothness , Sąsiedztwo Gładkość
Nemesis , Nemezis
Neon Lightning , Błyskawica neonowa
Neutral Color , Neutralny kolor
Neutral Teal Orange , Neutralny Teal Orange
New Curves [Interactive] , Nowe krzywe [Interaktywne]
Newspaper , Gazeta
Night 01 , Noc 01
Night Blade 4 , Nocne Ostrze 4
Night From Day , Noc Od dnia
Night King 141 , Nocny Król 141
Night Spy , Nocny Szpieg
Nine Layers , Dziewięć warstw
No Masking , Nie Maskowanie
No Recovery , Brak odzysku
No Rescaling , Nie Rescaling
No Transparency , Brak przejrzystości
Noise , Hałas
Noise [Additive] , Hałas [Dodatkowy]
Noise [Perlin] , Hałas [Perlin]
Noise [Spread] , Hałas [Rozproszony]
Noise A , Hałas A
Noise B , Hałas B
Noise C , Hałas C
Noise D , Hałas D
Noise Level , Poziom hałasu
Noise Scale , Skala hałasu
Noise Type , Rodzaj hałasu
Non / No , Nie / Nie
Non-Linearity , Nieliniowość
Non-Rigid , Niesztywny
None , Brak
None (Allows Multi-Layers) , Brak (pozwala na wielowarstwowe)
None- Skip , Non - Skip
Norm Type , Typ normalny
Normal , Normalny
Normal Map , Mapa normalna
Normal Output , Wyjście normalne
Normalization , Normalizacja
Normalize , Normalizacja
Normalize Brightness , Normalizacja jasności
Normalize Colors , Normalizacja kolorów
Normalize Illumination , Normalizacja oświetlenia
Normalize Input , Normalizacja danych wejściowych
Normalize Luma , Normalizacja Lumy
Normalize Scales , Normalizacja wagi
Nostalgia Honey , Nostalgia Miód
Nostalgic , Nostalgiczny
Nothing , Nic
Number , Numer
Number of Added Frames , Liczba dodanych ramek
Number of Angles , Liczba kątów
Number of Clusters , Liczba klastrów
Number of Colors , Liczba kolorów
Number of Frames , Liczba ramek
Number of Inter-Frames , Liczba ramek międzysystemowych
Number of Iterations per Scale , Liczba Iteracji na skali
Number of Key-Frames , Liczba ramek kluczowych
Number of Levels , Liczba poziomów
Number of Matches (Coarsest) , Liczba meczów (Najgrubsze)
Number of Matches (Finest) , Liczba meczów (Finest)
Number of Orientations , Liczba kierunków
Number Of Rays , Liczba promieni
Number of Scales , Liczba podziałek
Number of Sizes , Liczba rozmiarów
Number of Streaks , Liczba smug
Number of Teeth , Liczba zębów
Number of Tones , Liczba tonów
Object Animation , Animacja obiektu
Object Ratio , Stosunek liczby obiektów
Object Tolerance , Tolerancja obiektu
Octagon , Oktagon
Octagonal , Ośmiokątny
Octaves , Oktawy
Octogon , Ośmiornica
Oddness (%) , Dziwność (%)
Offset (%) , Przesunięcie (%)
Offset Angle Rays Layer 1 , Przesunięcie kątowe warstwy promieniowej 1
Offset Angle Rays Layer 2 , Przesunięcie kątowe warstwy promieniowej 2
Old Method - Slowest , Stara metoda - Najwolniejszy
Old Photograph , Stara fotografia
Old West , Stary Zachód
Oldschool 8bits , Oldschool 8 bitów
ON1 Photography (90) , ON1 Fotografia (90)
One Layer , Jedna warstwa
One Layer (Horizontal) , Jedna warstwa (pozioma)
One Layer (Vertical) , Jedna warstwa (pionowa)
One Layer per Single Color , Jedna warstwa na jeden kolor
One Layer per Single Region , Jedna warstwa na jeden region
One Thread , Jeden wątek
Only Leafs , Tylko Leafs
Only Red , Tylko czerwony
Only Red and Blue , Tylko czerwony i niebieski
Opacity , Nieprzezroczystość
Opacity (%) , Nieprzezroczystość (%)
Opacity as Heightmap , Nieprzezroczystość jako mapa wysokości
Opacity Contours , Kontury nieprzezroczystości
Opacity Factor , Współczynnik zmętnienia
Opacity Gain , Wzmocnienie zmętnienia
Opacity Gamma , Nieprzezroczystość Gamma
Opacity Snowflake , Nieprzezroczystość Płatek śniegu
Opacity Threshold (%) , Próg zmętnienia (%)
Opaque Pixels , Nieprzezroczyste piksele
Opaque Regions on Top Layer , Regiony nieprzejrzyste na wierzchniej warstwie
Opaque Skin , Nieprzezroczysta skóra
Opening , Otwarcie
Operation Yellow , Operacja Żółty
Opposing , Sprzeciwiający się
Optimized Lateral Inhibition , Zoptymalizowana Inhibicja Boczna
Orange Tone , Tonacja pomarańczowa
Orange Underexposed , Pomarańczowy Nienaświetlony
Oranges , Pomarańcze
Order , Zamówienie
Order By , Zamówienie przez
Orientation , Orientacja
Orientation Coherence , Orientacja Spójność
Orientation Only , Tylko orientacja
Orientations , Orientacja
Original , Oryginał
Original - (Opening + Closing)/2 , Oryginalny - (Otwarcie + Zamknięcie)/2
Original - Erosion , Oryginał - Erozja
Original - Opening , Oryginał - Otwarcie
Orthogonal Radius , Promień ortogonalny
Others (69) , Inni (69)
Ouline Color , Kolor Ouline
Outer , Na zewnątrz
Outer Fading , Zewnętrzne blaknięcie
Outer Length , Długość zewnętrzna
Outer Radius , Promień zewnętrzny
Outline , Zarys
Outline (%) , Obrys (%)
Outline Color , Kolor konturu
Outline Contrast , Kontrast konturu
Outline Opacity , Szkic nieprzejrzystości
Outline Size , Rozmiar zarysu
Outline Smoothness , Obrys Gładkość
Outline Thickness , Obrys Grubość
Outlined , W zarysie
Output , Wyjście
Output As , Wyjście Jak
Output as Files , Wyjście jako plik
Output as Frames , Wyjście w postaci ramek
Output as Multiple Layers , Wyjście jako wielowarstwowe
Output as Separate Layers , Wyjście jako oddzielne warstwy
Output Ascii File , Wyjście Plik Ascii
Output Chroma NR , Wyjście Chroma NR
Output CLUT , ZAMKNIĘCIE Wyjścia
Output CLUT Resolution , Rozdzielczość ZAMKNIĘCIA Wyjścia
Output Coordinates File , Plik współrzędnych wyjściowych
Output Corresponding CLUT , Wyjście Odpowiadające ZAMKNIĘCIE
Output Directory , Katalog wyjściowy
Output Each Piece on a Different Layer , Wyjście Każdy element na innej warstwie
Output Filename , Nazwa pliku wyjściowego
Output Files , Pliki wyjściowe
Output Folder , Folder wyjściowy
Output Format , Format wyjściowy
Output Frames , Ramy wyjściowe
Output Height , Wysokość wyjściowa
Output HTML File , Wyjście Plik HTML
Output Layers , Warstwy wyjściowe
Output Mode , Tryb wyjściowy
Output Multiple Layers , Wyjście Wielowarstwowe
Output Preset as a HaldCLUT Layer , Wyjście zaprogramowane jako warstwa HaldCLUT
Output Region Delimiters , Region wyjściowy Ograniczniki
Output Saturation , Nasycenie wyjściowe
Output Sharpening , Ostrzenie wyjściowe
Output Stroke Layer On , Wyjściowa warstwa pociągowa włączona
Output to Folder , Wyjście do folderu
Output Type , Typ wyjścia
Output Width , Szerokość wyjściowa
Outside , Na zewnątrz
Outside Color , Kolor zewnętrzny
Outward , Na zewnątrz
Overall Blur , Całkowite rozmycie
Overall Contrast , Kontrast ogólny
Overall Lightness , Ogólna lekkość
Overlap (%) , Nakładanie się (%)
Overlay , Nakładka
Oversample , Nadpróba
Overshoot , Przesadzenie
Pack , Pakiet
Paint , Farba
Paint Effect , Efekt malarski
Paint Splat , Płytka farby
Painter's Smoothness , Gładkość malarza
Painter's Touch Sharpness , Ostrość dotykowa malarza
Painting , Malarstwo
Painting Opacity , Krycie malarskie
Paladin , Paladyn
Paladin 1875 , Paladyn 1875
Paper Texture , Tekstura papieru
Parallel Processing , Przetwarzanie równoległe
Parrots , Papugi
Passing By , Przechodzenie przez
Pastell Art , Sztuka pastelowa
Patch Measure , Miara łatek
Patch Size , Rozmiar łatki
Patch Size for Analysis , Rozmiar łatki do analizy
Patch Size for Synthesis , Rozmiar łatki do syntezy
Patch Size for Synthesis (Final) , Rozmiar plastrów do syntezy (końcowy)
Patch Smoothness , Łata Gładkość
Patch Variance , Wariacja plastyczna
Pattern , Wzór:
Pattern Angle , Kąt Wzorca
Pattern Type , Typ wzoru
Pattern Variation 1 , Zmiana wzoru 1
Pattern Variation 2 , Wariacja wzoru 2
Pattern Variation 3 , Zmiana wzoru 3
Pattern Weight , Wzór Waga
Pattern Width , Szerokość wzorca
PCA Transfer , Przeniesienie PCA
Pea Soup , Zupa grochowa
Pen Drawing , Rysunek długopisu
Penalize Patch Repetitions , Karanie powtórzeń plastrów
Pencil , Ołówek
Pencil Amplitude , Amplituda ołówka
Pencil Portrait , Portret ołówkowy
Pencil Size , Rozmiar ołówka
Pencil Smoother Edge Protection , Ochrona ołówka przed wygładzaniem krawędzi
Pencil Smoother Sharpness , Ołówek Bardziej gładki Ostrość
Pencil Smoother Smoothness , Ołówek Gładszy Gładszy Smoothness
Pencil Type , Typ ołówka
Pencils , Ołówki
Percent of Image Half-Hypotenuse (%) , Procentowy udział Obrazu Hipotensja połowiczna (%)
Periodic , Okresowo
Periodic Dots , Kropki okresowe
Periodicity , Okresowość
Perserve Luminance , Zachowaj luminancję
Perspective , Perspektywa
Perturbation , Perturbacja
Petals , Płatki
Phase , Faza
Phone , Telefon
Photoillustration , Fotoillustracja
Picasso: Seated Woman , Picasso: Siedząca Kobieta
Piece Complexity , Złożoność utworu
Piece Size (px) , Rozmiar kawałka (px)
Pixel Sort , Sortowanie pikseli
Pixel Values , Wartości pikseli
Placement , Umieszczenie
Plane , Samolot
Plasma , Plazma
Plasma Effect , Efekt plazmowy
Plot Type , Typ działki
Point #0 , Punkt #0
Point #1 , Punkt #1
Point #2 , Punkt #2
Point #3 , Punkt #3
Point 1 , Punkt 1
Point 2 , Punkt 2
Points , Punkty
Polar Transform , Transformacja biegunowa
Polaroid 665 Negative , Polaroid 665 Negatywny
Polaroid 665 Negative + , Polaroid 665 Negatywny +
Polaroid 665 Negative - , Polaroid 665 Negatywny -
Polaroid 665 Negative HC , Polaroid 665 Ujemny HC
Polaroid 669 Cold , Polaroid 669 Zimny
