<b>Arrays & Tiles</b> , <b>アレイとタイル</b>
Fuji Superia 200 XPRO , フジスーペリア200 XPRO
Fuji Superia 400 , フジスーペリア400
Fuji Superia 400 + , フジスーペリア４００+α
Fuji Superia 400 ++ , フジスーペリア４００＋＋＋。
Fuji Superia 400 - , フジスーペリア400
Fuji Superia 800 , フジスーペリア800
Fuji Superia 800 + , フジスーペリア８００＋α
Fuji Superia 800 ++ , フジスーペリア800＋＋＋。
Fuji Superia 800 - , フジスーペリア800
Fuji Superia HG 1600 , フジスーペリアHG 1600
Fuji Superia Reala 100 , フジスーペリアリア100
Fuji Superia X-Tra 800 , フジスーペリアXトラ800
Fuji Velvia 50 , 富士ベルビア50
Fuji XTrans III (15) , 富士 XTrans III (15)
Full , フル
Full (Allows Multi-Layers) , フル（マルチレイヤー対応
Full (Slower) , フル（低速
Full Bottom/top , フルボトム/トップ
Full Colors , フルカラー
Full HD Frame Packing , フルHDフレームパッキン
Full Layer Stack -Slow!- , フルレイヤースタック -Slow!
Full Side by Side Keep Uncompressed , フルサイドバイサイドキープ非圧縮
Full Side by Side Keep Width , フルサイドバイサイドキープ幅
Full Side by Uncompressed , 非圧縮でフルサイド
Fusion 88 , フュージョン88
Futuristic Bleak 1 , 未来的な漂白 1
Futuristic Bleak 2 , 未来的なブレイクスルー2
Futuristic Bleak 3 , 未来的な漂流3
Futuristic Bleak 4 , 未来的な漂流 4
Fuzzyness , ファジーネス
G'MIC Operator , G'MICオペレータ
G/M Smoothness , G/M 滑らかさ
Gain , ゲイン
Games & Demos , ゲームとデモ
Gamma , ガンマ
Gamma (%) , ガンマ(%)
Gamma Balance , ガンマバランス
Gamma Compensation , ガンマの補償
Gamma Equalizer , ガンマ・イコライザー
Gaussian , ガウス
Gear , 歯車
Generate Random-Colors Layer , ランダムカラーレイヤーの生成
Generic Fuji Astia 100 , ジェネリックフジアスティア100
Generic Fuji Provia 100 , ジェネリックフジプロビア100
Generic Fuji Velvia 100 , ジェネリックフジベルビア100
Generic Kodachrome 64 , 汎用コダクローム64
Generic Kodak Ektachrome 100 VS , ジェネリックコダック エクタクローム100 VS
Generic Skin Structure , 一般的な皮膚構造
Gentle Mode (overrides Minimum Brightness and Minimun Red:Blue Ratio) , ジェントルモード（最小輝度と最小赤：青の比率をオーバーライド
Geometry , 幾何学
Glamour Glow , グラマーグロー
Global , グローバル
Global Mapping , グローバルマッピング
Glow , グロー
Gmicky (Deevad) , Gmicky(ディエバド)
Gmicky (Mahvin) , Gmicky（マービン
Gmicky - Roddy , Gmicky - ロディ
Going for a Walk , 散歩に行く
Gold , 金
Golden , ゴールデン
Golden (bright) , 金色（明るい
Golden (fade) , ゴールデン（フェード
Golden (mono) , ゴールデン（モノラル
Golden (vibrant) , 金色（鮮やか
Golden Gate , ゴールデンゲート
Golden Night Softner 43 , ゴールデンナイトソフトナー 43
Golden Sony 37 , ゴールデンソニー37
GoldFX - Bright Spring Breeze , GoldFX - 明るい春の風
GoldFX - Bright Summer Heat , GoldFX - 明るい夏の暑さ
GoldFX - Hot Summer Heat , GoldFX - ホットサマーヒート
GoldFX - Perfect Sunset 01min , GoldFX - パーフェクトサンセット 01分
GoldFX - Perfect Sunset 05min , GoldFX - パーフェクトサンセット 05分
GoldFX - Perfect Sunset 10min , GoldFX - パーフェクトサンセット10分
GoldFX - Spring Breeze , GoldFX - 春の風
GoldFX - Summer Heat , GoldFX - 夏の暑さ
Good Morning , おはようございます
Gouraud , グロー
GradienNormLinearity , グラディエンノルム直線性
GradienNormSmoothness , グラディエンノルム平滑度
Gradient , グラデーション
Gradient [Corners] , グラデーション [コーナー]
Gradient [Custom Shape] , グラデーション[カスタムシェイプ]
Gradient [from Line] , グラデーション [線から]
Gradient [Linear] , 勾配 [線形]
Gradient [Radial] , グラデーション [放射状]
Gradient [Random] , グラデーション [ランダム]
Gradient Norm , グラデーションノルム
Gradient Preset , グラデーションプリセット
Gradient RGB , グラデーションRGB
Gradient Smoothness , 勾配の滑らかさ
Gradient Values , グラデーション値
Grain , 穀物
Grain (Highlights) , 穀物（ハイライト
Grain (Midtones) , グレイン（中間調
Grain (Shadows) , 粒（影
Grain Extract , 穀物エキス
Grain Merge , グレイン マージ
Grain Only , 穀物のみ
Grain Scale , 穀物のスケール
Grain Tone Fading , グレイントーンフェージング
Grain Type , 穀物の種類
Grainext , グレインネクスト
Grainextract , グレインエキス
Grainmerge , グレインマージ
Granularity , 粒度
Graphic Boost , グラフィックブースト
Graphic Colours , グラフィックカラー
Graphic Novel , グラフィックノベル
Graphix Colors , グラフィックスカラー
Grayscale , グレースケール
Greece , ギリシャ
Green , グリーン
Green 15 , グリーン15
Green 2025 , グリーン2025
Green Action , グリーンアクション
Green Afternoon , グリーンアフタヌーン
Green Blues , グリーンブルース
Green Conflict , グリーンコンフリクト
Green Day 01 , グリーンデー01
Green Day 02 , グリーンデー02
Green Factor , グリーンファクター
Green G09 , グリーンG09
Green Indoor , 緑の屋内
Green Level , グリーンレベル
Green Light , グリーンライト
Green Mono , グリーンモノ
Green Rotations , 緑の回転
Green Shift , グリーンシフト
Green Smoothness , 緑の滑らかさ
Green Wavelength , 緑の波長
Green Yellow , グリーンイエロー
Green-Blue , 緑青
Green-Red , 緑赤
Greenish Contrasty , 緑のコントラスト
Greenish Fade , 緑がかったフェード
Greenish Fade 1 , 緑がかったフェード1
Grey , グレー
Greyscale , グレースケール
Grid , グリッド
Grid [Cartesian] , グリッド [デカルト]
Grid [Hexagonal] , グリッド [六角形]
Grid [Triangular] , グリッド [三角形]
Grid Divisions , グリッド分割
Grid Smoothing , グリッドのスムージング
Grid Width , グリッド幅
Gritty , グリッティ
Grow Alpha , アルファを成長させる
Guide As , ガイド
Guide Mix , ガイドミックス
Guide Recovery , ガイドリカバリー
Gum Leaf , ガムの葉
Gummy , グミ
Gyroid , ジャイロイド
H Cutoff , Hカットオフ
Hackmanite , ハックマナイト
Hair Locks , ヘアロック
HaldCLUT , ハルドクラット
HaldCLUT Filename , HaldCLUT ファイル名
Half Bottom/top , ハーフボトム/トップ
Half Side  by Side , ハーフサイドバイサイド
Halftone , ハーフトーン
Halftone Shapes , ハーフトーンシェイプ
Hanoi Tower , ハノイタワー
Happyness 133 , 幸福感133
Hard , ハード
Hard Dark , ハードダーク
Hard Light , ハードライト
Hard Mix , ハードミックス
Hard Sketch , ハードスケッチ
Hard Teal Orange , ハードティールオレンジ
Hardlight , ハードライト
Hardmix , ハードミックス
Harsh Day , 晴天の日
Harsh Sunset , ハーシュ・サンセット
HCY , ＨＣＹ
HDR Effect (Tone Map) , HDR効果（トーンマップ
Heart , ハート
Hearts , ハート
Hearts (Outline) , ハーツ（概要
Hedcut (Experimental) , ヘドカット（実験
Height , 高さ
Height (%) , 高さ(%)
Helios , ヘリオス
Herderite , ヘルデライト
Heulandite , ホイランド人
Hexagon , 六角形
Hexagonal , 六角形
Hiddenite , ヒドゥンダイト
High , 高
High (Slower) , 高（遅い
High Frequency , 高周波数
High Frequency Layer , 高周波層
High Key , ハイキー
High Pass , ハイパス
High Quality , 高品質
High Scale , ハイスケール
High Speed , 高速
High Value , 高価値
Higher Mask Threshold (%) , 高いマスク閾値 (%)
Highlight , ハイライト
Highlight (%) , ハイライト(%)
Highlight Bloom , ハイライトブルーム
Highlights , ハイライト
Highlights Abstraction , ハイライト 抽象化
Highlights Brightness , ハイライトの明るさ
Highlights Color Intensity , ハイライト色強度
Highlights Crossover Point , ハイライトクロスオーバーポイント
Highlights Hue , ハイライト色相
Highlights Lightness , ハイライトの明るさ
Highlights Protection , ハイライト保護
Highlights Selection , ハイライトセレクション
Highlights Threshold , ハイライトしきい値
Highlights Zone , ハイライトゾーン
Highres CLUT , ハイグリースCLUT
Hilutite , ヒルタイト
Histogram , ヒストグラム
Histogram Analysis , ヒストグラム解析
Histogram Transfer , ヒストグラム転送
Hokusai: The Great Wave , 北斎：大波
Homogeneity , 同質性
Hong Kong , 香港
Hope Poster , 希望のポスター
Horisontal Length , ホリゾンタルの長さ
Horizon Leveling (deg) , ホライゾンレベリング(deg)
Horizontal , 水平方向
Horizontal (%) , 水平方向(%)
Horizontal Amount , 横軸量
Horizontal Array , 水平配列
Horizontal Blur , 水平ぼかし
Horizontal Length , 水平方向の長さ
Horizontal Size (%) , 水平サイズ(%)
Horizontal Stripes , 横縞
Horizontal Tiles , 横型タイル
Horizontal Warp Only , 水平ワープのみ
Horror Blue , ホラーブルー
Hot , ホット
Hot (256) , ホット (256)
Hough Sketch , ハフスケッチ
Hough Transform , ハフトランスフォーム
House , 家
Householder , 世帯主
Howlite , ハウライト
HSI , エイチエスアイ
HSI [all] , HSI [すべて]
HSI [Intensity] , HSI [強度]
HSI8 , エイチエスアイエイト
HSL , ＨＳＬ
HSL [all] , HSL [すべて]
HSL [Lightness] , HSL [軽さ]
HSL Adjustment , HSL調整
HSL8 , ＨＳＬ８
HSV , ＨＳＶ
HSV [all] , HSV [すべて]
HSV [Hue] , HSV [色相]
HSV [Saturation] , HSV [飽和度]
HSV [Value] , HSV [値]
HSV Select , HSV 選択
HSV8 , ＨＳＶ８
Hue , 色相
Hue (%) , 色相(%)
Hue Band , 色相帯
Hue Factor , 色相因子
Hue Lighten-Darken , 色相を明るくする-濃くする
Hue Max (%) , 色相最大値 (%)
Hue Min (%) , 色相 最小 (%)
Hue Offset , 色相オフセット
Hue Range , 色相範囲
Hue Shift , 色相シフト
Hue Smoothness , 色相の滑らかさ
Human  2 , 人間2
Human 1 , 人間1
Human 2 , 人間2
Hybrid Median - Medium Speed Softest Output , ハイブリッドメディアン - 中速ソフト出力
Hydracore , ハイドラコア
Hyla 68 , ハイラ 68
Hyper Droste , ハイパードロスト
Hypersthene , ハイパーステン
Hypnosis , 催眠術
Hypressen , ハイプレス
Iain Noise Reduction 2019 , イアインノイズリダクション2019
Iain's Fast Denoise , アイアンズファストデノワーズ
Identity , アイデンティティ
Ignore , 無視
Ignore Current Aspect , 現在のアスペクトを無視する
Ilford Delta 100 , イルフォードデルタ100
Ilford Delta 3200 , イルフォードデルタ3200
Ilford Delta 400 , イルフォードデルタ400
Ilford FP4 Plus 125 , イルフォード FP4プラス125
Ilford HP5 Plus 400 , イルフォードHP5プラス400
Ilford HPS 800 , イルフォードHPS 800
Ilford Pan F Plus 50 , イルフォードパンFプラス50
Ilford XP2 , イルフォードXP2
Illuminate 2D Shape , 2次元形状を照らす
Illumination , イルミネーション
Illustration Look , イラストルック
Image , イメージ
Image + Background , 画像+背景
Image + Colors (2 Layers) , 画像+カラー（2レイヤー
Image + Colors (Multi-Layers) , 画像＋カラー（マルチレイヤー
Image Contour Dimensions , 画像の輪郭寸法
Image Smoothness , 画像の滑らかさ
Image to Grab Color from (.Png) , (.Png)から色を取得する画像
Image Weight , 画像の重さ
Import Data , データのインポート
Import RGB-565 File , インポートRGB-565ファイル
Impulses 5x5 , インパルス5倍
Impulses 7x7 , インパルス7x7
Impulses 9x9 , 衝動 9x9
Inch , インチ
Include Opacity Layer , 不透明度レイヤーを含む
IncreaseChroma1 , 彩度を上げる
Increasing , 増加する
Indoor Blue , インドアブルー
Industrial 33 , 産業用33
Influence of Color Samples (%) , 色見本の影響(%)
Information , 情報のご案内
Init. Resolution , Init.決議
Init. Type , Init.タイプ
Init. With High Gradients Only , Init.高勾配のみ
Initial Density , 初期密度
Initialization , 初期化
Ink Wash , インクウォッシュ
Inner , 内側
Inner Fading , インナーフェージング
Inner Length , 内側の長さ
Inner Radius , 内側半径
Inner Radius (%) , 内側半径(%)
Inner Shade , インナーシェード
Inpaint [Holes] , インペイント[穴]
Inpaint [Morphological] , インペイント【形態素
Inpaint [Multi-Scale] , インペイント[マルチスケール]
Inpaint [Patch-Based] , インペイント[パッチベース]
Inpaint [Transport-Diffusion] , インペイント【トランスポート・ディフュージョン
Input , にゅうりょく
Input Folder , 入力フォルダ
Input Frame Files Name , 入力フレームファイル名
Input Guide Color , 入力ガイドカラー
Input Layers , 入力レイヤ
Input Transparency , 入力の透明性
Input Type , 入力タイプ
Insert New CLUT Layer , 新規CLUTレイヤの挿入
Inside , 内部
Inside Color , 中の色
Inside-Out , インサイドアウト
Instant [Consumer] (54) , インスタント [消費者] (54)
Instant [Pro] (68) , インスタント[プロ] (68)
Instant-C , インスタントC
Intarsia , インターシャ
Intensity , 強度
Intensity of Purple Fringe , パープルフリンジの強度
Inter-Frames , フレーム間
Interlace Horizontal , インターレース水平
Interlace Vertical , インターレース縦型
Interp , 間
Interpolate , 補間
Interpolation , 補間
Interpolation Type , 補間タイプ
Inverse , 逆
Inverse Depth Map , 逆デプスマップ
Inverse Radius , 逆半径
Inverse Transform , 逆変換
Inversions , 反転
Invert Background / Foreground , 背景/前景を反転
Invert Blur , インバートブラー
Invert Canvas Colors , キャンバスの色を反転させる
Invert Colors , インバートカラー
Invert Image Colors , イメージの色を反転させる
Invert Luminance , 反転輝度
Invert Mask , インバートマスク
Inward , 内向き
Isophotes , 等食動物門
Isotropic , 等方性
Iteration , 反復
Iterations , イテレーション
Iters , イタース
J.T. Semple (14) , J.T.センプル (14)
Japanese Maple Leaf , もみじの葉
Jawbreaker , ジョウブレイカー
Jet , ジェット
Jet (256) , ジェット (256)
JPEG Artefacts , JPEGアーテファクト
JPEG Smooth , JPEG スムーズ
Julia , ジュリア
Just Peachy , ジャストピーチ
K-Factor , ケイファクタ
K-Tone Vintage Kodachrome , Kトーン ヴィンテージ コダクローム
Kaleidoscope [Blended] , 万華鏡【ブレンド
Kaleidoscope [Polar] , 万華鏡【極
Kaleidoscope [Symmetry] , 万華鏡【シンメトリー
Kandinsky: Squares with Concentric Circles , カンディンスキー同心円の正方形
Kandinsky: Yellow-Red-Blue , カンディンスキー：黄・赤・青
Keep , 飼う
Keep Aspect Ratio , アスペクト比の維持
Keep Base Layer as Input Background , ベースレイヤーを入力背景として保持
Keep Borders Square , キープボーダーズスクエア
Keep Color Channels , カラーチャンネルを維持する
Keep Colors , 色を保つ
Keep Detail , 詳細を保持する
Keep Detail Layer Separate , ディテールレイヤーを分離しておく
Keep Iterations as Different Layers , イテレーションを異なるレイヤーとして保持する
Keep Layers Separate , レイヤーを分離しておく
Keep Original Image Size , 元の画像サイズを維持する
Keep Original Layer , 元のレイヤーを維持する
Keep Tiles Square , タイルを正方形に保つ
Keep Transparency in Output , アウトプットの透明性を保つ
Keftales , ケフタールもく
Kernel , カーネル
Kernel Multiplier , カーネル乗数
Kernel Type , カーネルタイプ
Key Factor , キーファクター
Key Frame Rate , キーフレームレート
Key Shift , キーシフト
Key Smoothness , キーの滑らかさ
Keypoint Influence (%) , キーポイントの影響力(%)
Killstreak , キルストリーク
Kitaoka Spin Illusion , 北岡スピン錯視
Klee: Death and Fire , クレー死と炎
Klee: In the Style of Kairouan , クレー回廊庵のスタイルで
Klee: Oriental Pleasure Garden Anagoria , クレーオリエンタルプレジャーガーデン アナゴリア
Klee: Polyphony 2 , クレーポリフォニー2
Klee: Red Waistcoat , クレー赤いウエストコート
Klimt: The Kiss , クリムト：キス
Kodak 1-8 , コダック 1-8
Kodak 2383 (Constlclip) , コダック2383 (コンストラクションクリップ)
Kodak 2383 (Constlmap) , コダック2383 (コンストラクションマップ)
Kodak 2383 (Cuspclip) , コダック 2383 (カスプクリップ)
Kodak 2393 (Constlclip) , コダック2393 (コンストラクションクリップ)
Kodak 2393 (Constlmap) , コダック2393 (Constlmap)
Kodak 2393 (Cuspclip) , コダック2393（カスクリップ
Kodak BW 400 CN , コダックBW 400 CN
Kodak E-100 GX Ektachrome 100 , コダック E-100 GX エクタクローム100
Kodak Ektachrome 100 VS , コダック エクタクローム100 VS
Kodak Ektar 100 , コダックEktar 100
Kodak Elite 100 XPRO , コダックエリート100 XPRO
Kodak Elite Chrome 200 , コダックエリートクローム200
Kodak Elite Chrome 400 , コダックエリートクローム400
Kodak Elite Color 200 , コダックエリートカラー200
Kodak Elite Color 400 , コダックエリートカラー400
Kodak Elite ExtraColor 100 , コダックエリートエクストラカラー100
Kodak HIE (HS Infra) , コダックHIE（HS赤外線
Kodak Kodachrome 200 , コダックコダクローム200
Kodak Kodachrome 25 , コダックコダクローム25
Kodak Kodachrome 64 , コダックコダクローム64
Kodak Portra 160 , コダック ポルトラ 160
Kodak Portra 160 + , コダック ポルトラ160+α
Kodak Portra 160 ++ , コダック ポルトラ160＋＋＋。
Kodak Portra 160 - , コダック ポルトラ 160
Kodak Portra 160 NC , コダック ポルトラ160 NC
Kodak Portra 160 NC + , コダック ポルトラ160 NC+
Kodak Portra 160 NC ++ , コダック ポルトラ160 NC ＋＋＋。
Kodak Portra 160 NC - , コダック ポルトラ 160 NC
Kodak Portra 160 VC , コダック ポルトラ160 VC
Kodak Portra 160 VC + , コダック ポルトラ160 VC+
Kodak Portra 160 VC ++ , コダック ポルトラ160 VC＋＋＋。
Kodak Portra 160 VC - , コダック ポルトラ 160 VC
Kodak Portra 400 , コダック ポルトラ400
Kodak Portra 400 + , コダック ポルトラ400＋α
Kodak Portra 400 ++ , コダック ポルトラ400＋＋＋。
Kodak Portra 400 - , コダック ポルトラ400
Kodak Portra 400 NC , コダック ポルトラ400 NC
Kodak Portra 400 NC + , コダック ポルトラ400 NC+
Kodak Portra 400 NC ++ , コダック ポルトラ４００ＮＣ＋＋＋。
Kodak Portra 400 NC - , コダック ポルトラ400 NC
Kodak Portra 400 UC , コダック ポルトラ400 UC
Kodak Portra 400 UC + , コダック ポルトラ400 UC+
Kodak Portra 400 UC ++ , コダック ポルトラ４００ＵＣ＋＋＋。
Kodak Portra 400 UC - , コダック ポルトラ400 UC
Kodak Portra 400 VC , コダック ポルトラ400 VC
Kodak Portra 400 VC + , コダック ポルトラ400 VC+α
Kodak Portra 400 VC ++ , コダック ポルトラ 400 VC ++
Kodak Portra 400 VC - , コダック ポルトラ400 VC
Kodak Portra 800 , コダック ポルトラ800
Kodak Portra 800 + , コダック ポルトラ800＋α
Kodak Portra 800 ++ , コダック ポルトラ800+++。
Kodak Portra 800 - , コダック ポルトラ800
Kodak Portra 800 HC , コダック ポルトラ800 HC
Kodak T-Max 100 , コダックT-Max 100
Kodak T-Max 3200 , コダックT-Max 3200
Kodak T-MAX 3200 (alt) , コダック T-MAX 3200 (alt)
Kodak T-MAX 3200 + , コダックT-MAX 3200+
Kodak T-MAX 3200 ++ , コダックT-MAX 3200＋＋＋。
Kodak T-MAX 3200 - , コダックT-MAX 3200
Kodak T-Max 400 , コダックT-Max 400
Kodak TMAX 3200 , コダックTMAX 3200
Kodak TMAX 400 , コダックTMAX 400
Kodak TRI-X 1600 , コダック TRI-X 1600
Kodak TRI-X 400 , コダック TRI-X 400
Kodak TRI-X 400 (alt) , コダック TRI-X 400 (alt)
Kodak TRI-X 400 + , コダックTRI-X 400＋（コダックTRI-X 400）＋（コダックTRI-X 400
Kodak TRI-X 400 ++ , コダック TRI-X 400 ＋＋＋。
Kodak TRI-X 400 - , コダック TRI-X 400
Kookaburra , コカブラ
Korben 214 , テルン 214
Kuwahara , 桑原
Kuwahara on Painting , 絵画についての桑原
Kyler Holland (10) , カイラー・ホランド (10)
L1-Norm , エルワンノルム
L2-Norm , エルツーノルム
Lab , 研究室
Lab (Chroma Only) , ラボ（クロマのみ
Lab (Distinct) , 研究室(区別)
Lab (Luma Only) , 研究室（ルーマのみ
Lab (Luma/Chroma) , ラボ (Luma/Chroma)
Lab (Mixed) , 研究室（混合
Lab [a-Chrominance] , 研究室 [a-クロミナンス]
Lab [ab-Chrominances] , 研究室[ab-クロミナンス]
Lab [all] , 研究室 [すべて]
Lab [b-Chrominance] , 研究室[b-クロミナンス]
Lab [Lightness] , ラボ[軽さ]
LAB-A , ラボエー
LAB-B , ラボビー
LAB-Lightness , LAB-明るさ
LAB8 , ラボ8
Lanczos , ランチョスぞく
Lanczsos , ランチョスぞく
Landscape , 風景
Landscape-1 , ランドスケープ-1
Landscape-10 , 風景10
Landscape-2 , ランドスケープ-2
Landscape-3 , ランドスケープ-3
Landscape-4 , ランドスケープ-4
Landscape-5 , ランドスケープ-5
Landscape-6 , ランドスケープ-6
Landscape-7 , ランドスケープ7
Landscape-8 , ランドスケープ8
Landscape-9 , ランドスケープ9
Laplacian , ラプラシアン
Large , 大
Large Noise , 大騒音
Last , ラスト
Last Frame , 最後のフレーム
Late Afternoon Wanderlust , 昼下がりの放浪記
Late Sunset , 晩年の日没
Lava , 溶岩
Lava Lamp , ラバランプ
Layer , レイヤ
Layer Processing , レイヤ処理
Layers to Tiles , レイヤーからタイルへ
Lch , Ｌｃｈ
Lch [all] , Lch [すべて]
Lch [c-Chrominance] , Lch [c-クロミナンス]
Lch [ch-Chrominances] , Lch [ch-クロミナンス]
Lch [h-Chrominance] , Lch [h-クロミナンス]
LCH8 , エルシーエイチハチ
Leaf , 葉っぱ
Leaf Color , 葉の色
Leaf Opacity (%) , 葉の不透明度 (%)
Leak Type , リークタイプ
Left , 左
Left  Foreground , 左前景
Left / Right Blur (%) , 左/右ぼかし (%)
Left and Right Background , 左右の背景
Left and Right Foreground , 左右の前景
Left and Right Image Streams , 左右のイメージストリーム
Left Diagonal Foreground , 左斜め前景
Left Foreground , 左前景
Left Position , 左位置
Left Side Orientation , 左側の向き
Left Slope , 左斜面
Left Stream Only , 左ストリームのみ
Lena , レナ
Length , 長さ
Leno , レノ
Lenox 340 , レノックス340
Lenticular Density LPI , レンチキュラー密度LPI
Lenticular Orientation , レンチキュラーの向き
Lenticular Print , レンチキュラープリント
Level , レベル
Level Frequency , レベル周波数
Levels , レベル
Life Giving Tree , ライフギビングツリー
Lifestyle & Commercial-1 , ライフスタイル＆コマーシャル-1
Lifestyle & Commercial-10 , ライフスタイル＆コマーシャル-10
Lifestyle & Commercial-2 , ライフスタイル＆コマーシャル-2
Lifestyle & Commercial-3 , ライフスタイル＆コマーシャル-3
Lifestyle & Commercial-4 , ライフスタイル＆コマーシャル-4
Lifestyle & Commercial-5 , ライフスタイル＆コマーシャル-5
Lifestyle & Commercial-6 , ライフスタイル＆コマーシャル-6
Lifestyle & Commercial-7 , ライフスタイル＆コマーシャル-7
Lifestyle & Commercial-8 , ライフスタイル＆コマーシャル-8
Lifestyle & Commercial-9 , ライフスタイル＆コマーシャル-9
Light , 灯り
Light (blown) , ライト（吹いた
Light Angle , ライトアングル
Light Color , 淡い色
Light Direction , 光の方向
Light Effect , 光の効果
Light Glow , 光の輝き
Light Grey , ライトグレー
Light Leaks , 光の漏れ
Light Motive , 光の動機
Light Patch , ライトパッチ
Light Rays , ライトレイ
Light Smoothness , 軽い滑らかさ
Light Strength , 軽い強さ
Light Type , ライトタイプ
Light-X , ライトエックス
Light-Y , ライトY
Light-Z , ライトゼット
Lighten , 軽くする
Lighten Edges , エッジを軽くする
Lighter , ライター
Lighting , 照明
Lighting Angle , 照明角度
Lightness , 軽さ
Lightness (%) , 軽さ(%)
Lightness Factor , 軽度係数
Lightness Level , 明るさレベル
Lightness Max (%) , 明るさ最大 (%)
Lightness Min (%) , 明るさ 最小(%)
Lightness Shift , 明るさシフト
Lightness Smoothness , 軽さ 滑らかさ
Lightning , ライトニング
Lighty Smooth , 軽快なスムース
Limit Hue Range , リミット色相範囲
Line , ライン
Line Opacity , ラインの不透明度
Line Precision , ライン精度
Linear , リニア
Linear Burn , リニアバーン
Linear Light , リニアライト
Linear RGB , リニアRGB
Linear RGB [All] , リニアRGB [すべて]
Linear RGB [Blue] , リニアRGB [青]
Linear RGB [Green] , リニアRGB [緑]
Linear RGB [Red] , リニアRGB [赤]
Linearburn , リニアバーン
Linearity , 直線性
Linearlight , リニアライト
Lineart , ラインアート
Lineart + Color Spots , ラインアート＋カラースポット
Lineart + Color Spots + Extrapolated Colors , 線画＋色点＋外挿し色
Lineart + Colors , ラインアート＋カラー
Lineart + Extrapolated Colors , 線画＋外挿し色
Lines , ライン
Lines (256) , 行数 (256)
Linf-Norm , リンフノルム
Linify , リニファイ
Lion , 獅子
Lissajous , リサージュ
Lissajous [Animated] , リサージュ【アニメ化
Lissajous Spiral , リサージュスパイラル
Little , 小
Little Blue , リトルブルー
Little Cyan , リトルシアン
Little Green , リトルグリーン
Little Key , リトルキー
Little Magenta , リトルマゼンタ
Little Red , リトルレッド
Little Yellow , リトルイエロー
LN Amplititude , LN振幅
LN Amplitude , LN振幅
LN Average-Smoothness , LN平均平滑度
LN Neightborhood-Smoothness , LNナイトボーフッド-スムースネス
LN Size , LNサイズ
Local  Normalisation , 局所的な正規化
Local Contrast , ローカルコントラスト
Local Contrast Effect , 局所的なコントラスト効果
Local Contrast Enhance , 局所的なコントラストの強化
Local Contrast Enhancement , 局所的なコントラストの強化
Local Contrast Style , ローカルコントラストスタイル
Local Detail Enhancer , ローカル ディテール エンハンサー
Local Normalization , 局所正規化
Local Orientation , 現地オリエンテーション
Local Processing , ローカル処理
Local Similarity Mask , 局所類似性マスク
Local Variance Normalization , 局所分散正規化
Lock Return Scaling to Source Layer , ロック リターン ソース レイヤへのスケーリング
Lock Source , ロックソース
Lock Uniform Sampling , ロックユニフォームサンプリング
Log(z) , 対数
Logarithmic Distortion , 対数歪み
Logarithmic Distortion Axis Combination for X-Axis , X軸用対数ディストーション軸の組み合わせ
Logarithmic Distortion Axis Combination for Y-Axis , Y軸用対数ディストーション軸の組み合わせ
Logarithmic Distortion X-Axis Direction , 対数ディストーション X 軸方向
Logarithmic Distortion Y-Axis Direction , 対数歪み Y 軸方向
Lomo , ロモ
Lomography Redscale 100 , ロモグラフィー レッドスケール 100
Lomography X-Pro Slide 200 , ロモグラフィーX-Proスライド200
Lookup , ルックアップ
Lookup Factor , ルックアップファクター
Lookup Size , ルックアップサイズ
Loop Method , ループ方式
Low , 低
Low Bias , 低バイアス
Low Contrast Blue , ローコントラストブルー
Low Frequency , 低周波
Low Frequency Layer , 低周波層
Low Key , ローキー
Low Key 01 , ローキー01
Low Scale , ロースケール
Low Value , 低価格
Lower Layer Is the Bottom Layer for All Blends , 下の層はすべてのブレンドの最下層です
Lower Mask Threshold (%) , 下限マスクしきい値(%)
Lower Side Orientation , 下側の向き
Lowercase Letters , 小文字
Lowlights Crossover Point , ローライトクロスオーバーポイント
Lowres CLUT , ローレスＣＬＵＴ
Lucky 64 , ラッキー64
Luma , ルーマ
Luma Noise , ルーマノイズ
Luminance , ルミナンス
Luminance Factor , 輝度係数
Luminance Level , 輝度レベル
Luminance Only , ルミナンスのみ
Luminance Only (Lab) , 輝度のみ（ラボ
Luminance Only (YCbCr) , 輝度のみ（YCbCr
Luminance Shift , ルミナンスシフト
Luminance Smoothness , 輝度の滑らかさ
Luminosity from Color , 色から見た明度
Luminosity Type , 光輝タイプ
Lush Green Summer , 緑豊かな夏
LUTs Pack , LUTsパック
Lylejk's Painting , ライルイクの絵画
Magenta , マゼンタ
Magenta Coffee , マゼンタコーヒー
Magenta Day , マゼンタの日
Magenta Day 01 , マゼンタの日01
Magenta Dream , マゼンタの夢
Magenta Factor , マゼンタファクター
Magenta Shift , マゼンタシフト
Magenta Smoothness , マゼンタの滑らかさ
Magenta Yellow , マゼンタ イエロー
Magenta-Yellow , マゼンタ-イエロー
Magic Details , 魔法の詳細
Magnitude / Phase , マグニチュード/フェーズ
Mail , メール
Make Hue Depends on Region Size , 色相はリージョンサイズに依存する
Make Seamless [Diffusion] , シームレスにする【拡散
Make Seamless [Patch-Based] , シームレスな[パッチベース]を作る
Make Squiggly , スクイッグリーを作る
Make Up , メイクアップ
Mandelbrot , マンデルブロー
Mandelbrot - Julia Sets , マンデルブロ-ジュリアセット
Mandelbrot Explorer , マンデルブロエクスプローラー
Mandrill , マンドリル
Manhattan , マンハッタン
Manual , マニュアル
Manual Controls , マニュアルコントロール
Map , 地図
Map Tones , マップトーン
Mapping , マッピング
