<b>Arrays & Tiles</b> , <b>Arrays & Ladrilhos</b>
House , Casa
Householder , Proprietário da casa
HSI [all] , HSI [todos]
HSI [Intensity] , HSI [Intensidade]
HSL [all] , HSL [todos]
HSL Adjustment , Ajuste de HSL
HSV [all] , HSV [todos]
HSV [Hue] , HSV [Tonalidade]
HSV [Saturation] , HSV [Saturação]
HSV [Value] , HSV [Valor]
HSV Select , Selecção HSV
Hue , Matiz
Hue (%) , Tonalidade (%)
Hue Band , Banda de matizes
Hue Factor , Factor de Matiz
Hue Lighten-Darken , Tonalidade Lighten-Darken
Hue Max (%) , Matiz Max (%)
Hue Min (%) , Tonalidade Min (%)
Hue Offset , Offset de matizes
Hue Range , Gama de matizes
Hue Shift , Turno de Tonalidade
Hue Smoothness , Suavidade da matiz
Human  2 , Humano 2
Human 1 , Humano 1
Human 2 , Humano 2
Hybrid Median - Medium Speed Softest Output , Mediana Híbrida - Saída mais suave de velocidade média
Hypnosis , Hipnose
Iain Noise Reduction 2019 , Redução de Ruído Iain 2019
Iain's Fast Denoise , Iain's Denoise rápido
Identity , Identidade
Ignore , Ignorar
Ignore Current Aspect , Ignorar Aspecto da Corrente
Illuminate 2D Shape , Iluminar a forma 2D
Illumination , Iluminação
Illustration Look , Ilustração Look
Image , Imagem
Image + Background , Imagem + Fundo
Image + Colors (2 Layers) , Imagem + Cores (2 Camadas)
Image + Colors (Multi-Layers) , Imagem + Cores (Multi-Layers)
Image Contour Dimensions , Dimensões do contorno da imagem
Image Smoothness , Suavidade de imagem
Image to Grab Color from (.Png) , Imagem para Agarrar Cor de (.Png)
Image Weight , Peso da imagem
Import Data , Dados de importação
Import RGB-565 File , Importar ficheiro RGB-565
Impulses 5x5 , Impulsos 5x5
Impulses 7x7 , Impulsos 7x7
Impulses 9x9 , Impulsos 9x9
Include Opacity Layer , Incluir camada de opacidade
Increasing , Aumentando
Indoor Blue , Azul Interior
Influence of Color Samples (%) , Influência das amostras de cor (%)
Information , Informação
Init. Resolution , Init. Resolução
Init. Type , Init. Tipo
Init. With High Gradients Only , Init. Apenas com Gradientes Elevados
Initial Density , Densidade inicial
Initialization , Inicialização
Ink Wash , Lavagem da tinta
Inner , Interior
Inner Fading , Desvanecimento interno
Inner Length , Comprimento interior
Inner Radius , Raio interior
Inner Radius (%) , Raio interior (%)
Inner Shade , Sombra interior
Inpaint [Holes] , Pintura [Buracos]
Inpaint [Morphological] , Inpaint [Morfológico]
Inpaint [Multi-Scale] , Inpaint [Multi-escala]
Inpaint [Patch-Based] , Inpaint [Baseado em Patch]
Input , Entrada
Input Folder , Pasta de entrada
Input Frame Files Name , Nome do ficheiro da moldura de entrada
Input Guide Color , Cor do guia de entrada
Input Layers , Camadas de entrada
Input Transparency , Transparência de entrada
Input Type , Tipo de entrada
Insert New CLUT Layer , Inserir nova camada CLUT
Inside , Dentro
Inside Color , Cor interior
Instant [Consumer] (54) , Instantâneo [Consumidor] (54)
Instant [Pro] (68) , Instantâneo [Pro] (68)
Intensity , Intensidade
Intensity of Purple Fringe , Intensidade da franja púrpura
Interlace Horizontal , Interlaçar Horizontal
Interlace Vertical , Vertical Interlace
Interpolate , Interpolar
Interpolation , Interpolação
Interpolation Type , Tipo de Interpolação
Inverse , Inversa
Inverse Depth Map , Mapa de Profundidade Inversa
Inverse Radius , Raio Inverso
Inverse Transform , Transformação Inversa
Inversions , Inversões
Invert Background / Foreground , Inverter Antecedentes / Primeiro plano
Invert Blur , Inverter o Borrão
Invert Canvas Colors , Inverter Cores de Lona
Invert Colors , Inverter as cores
Invert Image Colors , Inverter as cores da imagem
Invert Luminance , Luminância de Inverter
Invert Mask , Máscara Invertida
Iteration , Iteração
Iterations , Iterações
Japanese Maple Leaf , Folha de Bordo Japonesa
Jet , Jacto
Jet (256) , Jacto (256)
JPEG Artefacts , Artefactos JPEG
JPEG Smooth , JPEG Liso
Just Peachy , Só Peachy
K-Factor , Factor K
K-Tone Vintage Kodachrome , K-Tom Vintage Kodachrome
Kaleidoscope [Blended] , Caleidoscópio [Mistura]
Kaleidoscope [Polar] , Caleidoscópio [Polar]
Kaleidoscope [Symmetry] , Caleidoscópio [Simetria]
Kandinsky: Squares with Concentric Circles , Kandinsky: Quadrados com Círculos Concêntricos
Kandinsky: Yellow-Red-Blue , Kandinsky: Amarelo-Vermelho-azul
Keep , Guarde
Keep Aspect Ratio , Manter a relação de aspecto
Keep Base Layer as Input Background , Manter a camada base como fundo de entrada
Keep Borders Square , Manter a Praça das Fronteiras
Keep Color Channels , Manter Canais de Cor
Keep Colors , Manter as cores
Keep Detail , Manter Detalhe
Keep Detail Layer Separate , Manter a Camada de Detalhe Separada
Keep Iterations as Different Layers , Manter as Iterações como Camadas Diferentes
Keep Layers Separate , Manter as camadas separadas
Keep Original Image Size , Manter o tamanho original da imagem
Keep Original Layer , Manter a Camada Original
Keep Tiles Square , Manter o quadrado dos azulejos
Keep Transparency in Output , Manter a Transparência na Produção
Kernel Multiplier , Multiplicador de Núcleo
Kernel Type , Tipo de grão
Key Factor , Factor chave
Key Frame Rate , Taxa do Quadro-Chave
Key Shift , Mudança de Chave
Key Smoothness , Suavidade da chave
Keypoint Influence (%) , Influência do ponto-chave (%)
Kitaoka Spin Illusion , Ilusão de Kitaoka Spin
Klee: Death and Fire , Klee: Morte e Fogo
Klee: In the Style of Kairouan , Klee: No Estilo de Kairouan
Klee: Oriental Pleasure Garden Anagoria , Klee: Jardim do Prazer Oriental Anagoria
Klee: Polyphony 2 , Klee: Polifonia 2
Klee: Red Waistcoat , Klee: Casaco de cintura vermelho
Klimt: The Kiss , Klimt: O Beijo
Kodak Portra 800 ++ , Kodak Portra 800 +++
Kuwahara on Painting , Kuwahara sobre Pintura
L1-Norm , L1-Norma
L2-Norm , L2-Norma
Lab , Laboratório
Lab (Chroma Only) , Laboratório (Apenas Chroma)
Lab (Distinct) , Laboratório (Distinto)
Lab (Luma Only) , Laboratório (apenas Luma)
Lab (Luma/Chroma) , Laboratório (Luma/Chroma)
Lab (Mixed) , Laboratório (Misto)
Lab [a-Chrominance] , Laboratório [a-Crominância]
Lab [ab-Chrominances] , Laboratório [ab-Chrominances]
Lab [all] , Laboratório [todos]
Lab [b-Chrominance] , Laboratório [b-Crominância]
Lab [Lightness] , Laboratório [Lightness]
Landscape , Paisagem
Landscape-10 , Paisagem-10
Landscape-2 , Paisagem-2
Landscape-3 , Paisagem-3
Landscape-4 , Paisagem-4
Landscape-5 , Paisagem-5
Landscape-6 , Paisagem-6
Landscape-7 , Paisagem-7
Landscape-8 , Paisagem-8
Landscape-9 , Paisagem-9
Laplacian , Laplaciano
Large , Grande
Large Noise , Grande Ruído
Last , Último
Last Frame , Último quadro
Late Afternoon Wanderlust , Desejo de viajar ao fim da tarde
Late Sunset , Pôr-do-sol tardio
Lava Lamp , Lâmpada de Lava
Layer , Camada
Layer Processing , Processamento de camadas
Layers to Tiles , Camadas para Azulejos
Lch [all] , Lch [todos]
Lch [c-Chrominance] , Lch [c-Crominância]
Lch [ch-Chrominances] , Lch [ch-Crominâncias]
Leaf , Folha
Leaf Color , Cor da Folha
Leaf Opacity (%) , Opacidade das Folhas (%)
Leak Type , Tipo de Fuga
Left , Esquerda
Left  Foreground , Primeiro plano à esquerda
Left / Right Blur (%) , Desfoque Esquerda / Direita (%)
Left and Right Background , Fundo esquerdo e direito
Left and Right Foreground , Primeiro plano à esquerda e à direita
Left and Right Image Streams , Fluxos de imagem à esquerda e à direita
Left Diagonal Foreground , Primeiro plano diagonal esquerdo
Left Foreground , Primeiro plano à esquerda
Left Position , Posição esquerda
Left Side Orientation , Orientação do lado esquerdo
Left Slope , Inclinação Esquerda
Left Stream Only , Apenas o fluxo de esquerda
Length , Comprimento
Lenticular Density LPI , Densidade Lenticular LPI
Lenticular Orientation , Orientação Lenticular
Lenticular Print , Impressão lenticular
Level , Nível
Level Frequency , Nível Frequência
Levels , Níveis
Life Giving Tree , Árvore que dá vida
Lifestyle & Commercial-1 , Estilo de Vida e Comercial-1
Lifestyle & Commercial-10 , Estilo de Vida e Comercial-10
Lifestyle & Commercial-2 , Estilo de Vida e Comercial-2
Lifestyle & Commercial-3 , Estilo de Vida e Comercial-3
Lifestyle & Commercial-4 , Estilo de Vida e Comercial-4
Lifestyle & Commercial-5 , Estilo de Vida e Comercial-5
Lifestyle & Commercial-6 , Estilo de Vida e Comercial-6
Lifestyle & Commercial-7 , Estilo de Vida e Comercial-7
Lifestyle & Commercial-8 , Estilo de Vida e Comercial-8
Lifestyle & Commercial-9 , Estilo de Vida e Comercial-9
Light , Luz
Light (blown) , Luz (soprada)
Light Angle , Ângulo de luz
Light Color , Cor clara
Light Direction , Direcção da Luz
Light Effect , Efeito de Luz
Light Glow , Brilho Leve
Light Grey , Cinzento Claro
Light Leaks , Fugas de luz
Light Motive , Motivo Ligeiro
Light Patch , Patch de luz
Light Rays , Raios de luz
Light Smoothness , Suavidade leve
Light Strength , Força da luz
Light Type , Tipo leve
Lighten , Iluminar
Lighten Edges , Iluminar Bordos
Lighter , Isqueiro
Lighting , Iluminação
Lighting Angle , Ângulo de Iluminação
Lightness , Ligeireza
Lightness (%) , Ligeireza (%)
Lightness Factor , Factor de leveza
Lightness Level , Nível de Leveza
Lightness Max (%) , Leveza Máxima (%)
Lightness Min (%) , Ligeireza Min (%)
Lightness Shift , Mudança de leveza
Lightness Smoothness , Aligeiramento Suavidade
Lightning , Relâmpago
Lighty Smooth , Ligeiramente Suave
Limit Hue Range , Limitar o alcance da tonalidade
Line , Linha
Line Opacity , Opacidade da linha
Line Precision , Precisão da linha
Linear Burn , Queimadura Linear
Linear Light , Luz Linear
Linear RGB , RGB Linear
Linear RGB [All] , RGB Linear [Todos]
Linear RGB [Blue] , RGB Linear [Azul]
Linear RGB [Green] , Linear RGB [Verde]
Linear RGB [Red] , RGB Linear [Vermelho]
Linearity , Linearidade
Lineart + Color Spots , Lineart + Spots de cor
Lineart + Color Spots + Extrapolated Colors , Lineart + Spots de cor + Cores Extrapoladas
Lineart + Colors , Lineart + Cores
Lineart + Extrapolated Colors , Lineart + Cores Extrapoladas
Lines , Linhas
Lines (256) , Linhas (256)
Lion , Leão
Lissajous [Animated] , Lissajous [Animado]
Lissajous Spiral , Lissajous Espiral
Little , Pequeno
Little Blue , Pequeno Azul
Little Cyan , Pequeno Ciano
Little Green , Pequeno Verde
Little Key , Chavezinha
Little Magenta , Pequena Magenta
Little Red , Vermelho Pequeno
Little Yellow , Pequeno Amarelo
LN Amplititude , LN Ampliação
LN Average-Smoothness , LN Avanço - Medianeira
LN Size , Tamanho LN
Local  Normalisation , Normalização local
Local Contrast , Contraste local
Local Contrast Effect , Efeito de Contraste Local
Local Contrast Enhance , Realce do contraste local
Local Contrast Enhancement , Melhoramento do contraste local
Local Contrast Style , Estilo de contraste local
Local Detail Enhancer , Melhorador de detalhes local
Local Normalization , Normalização Local
Local Orientation , Orientação local
Local Processing , Processamento local
Local Similarity Mask , Máscara de Semelhança Local
Local Variance Normalization , Normalização da Variância Local
Lock Return Scaling to Source Layer , Escala de Retorno de Bloqueio à Camada de Origem
Lock Source , Fonte de Bloqueio
Lock Uniform Sampling , Amostragem Uniforme de Fechaduras
Logarithmic Distortion , Distorção logarítmica
Logarithmic Distortion Axis Combination for X-Axis , Combinação de Eixo de Distorção Logarítmica para eixo X
Logarithmic Distortion Axis Combination for Y-Axis , Combinação de Eixo de Distorção Logarítmica para Eixo Y
Logarithmic Distortion X-Axis Direction , Distorção logarítmica Direcção do eixo X
Logarithmic Distortion Y-Axis Direction , Distorção logarítmica Direcção eixo Y
Lomography Redscale 100 , Lomografia à escala vermelha 100
Lookup , Pesquisa
Lookup Factor , Factor de pesquisa
Lookup Size , Tamanho da pesquisa
Loop Method , Método Loop
Low , Baixo
Low Bias , Baixo Bias
Low Contrast Blue , Azul Baixo Contraste
Low Frequency , Baixa frequência
Low Frequency Layer , Camada de Baixa Frequência
Low Key , Chave Baixa
Low Key 01 , Chave Baixa 01
Low Scale , Escala baixa
Low Value , Baixo valor
Lower Layer Is the Bottom Layer for All Blends , A camada inferior é a camada inferior para todas as misturas
Lower Mask Threshold (%) , Limiar Inferior da Máscara (%)
Lower Side Orientation , Orientação lateral inferior
Lowercase Letters , Cartas em letras minúsculas
Lowlights Crossover Point , Ponto de Cruzamento de Luzes Baixas
Lowres CLUT , CLUT Lowres
Luma Noise , Ruído de Luma
Luminance , Luminância
Luminance Factor , Factor Luminância
Luminance Level , Nível de luminosidade
Luminance Only , Apenas Luminância
Luminance Only (Lab) , Apenas Luminância (Laboratório)
Luminance Only (YCbCr) , Apenas Luminância (YCbCr)
Luminance Shift , Deslocamento da luminância
Luminance Smoothness , Luminância Suavidade
Luminosity from Color , Luminosidade da Cor
Luminosity Type , Tipo de Luminosidade
Lush Green Summer , Verão Verde exuberante
LUTs Pack , Pacote LUTs
Lylejk's Painting , Pintura Lylejk's
Magenta Coffee , Café Magenta
Magenta Day , Dia de Magenta
Magenta Day 01 , Magenta Dia 01
Magenta Dream , Sonho Magenta
Magenta Factor , Fator Magenta
Magenta Shift , Turno Magenta
Magenta Smoothness , Magenta suavidade
Magenta Yellow , Amarelo Magenta
Magic Details , Detalhes Mágicos
Magnitude / Phase , Magnitude / Fase
Mail , Correio
Make Hue Depends on Region Size , Fazer a matiz depender do tamanho da região
Make Seamless [Diffusion] , Make Seamless [Difusão]
Make Seamless [Patch-Based] , Make Seamless [Baseado em Patch]
Make Squiggly , Fazer Squiggly
Make Up , Maquilhagem
Mandelbrot - Julia Sets , Mandelbrot - Conjuntos Julia
Mandelbrot Explorer , Explorador Mandelbrot
Manual Controls , Controlos manuais
Map , Mapa
Map Tones , Tons do Mapa
Mapping , Mapeamento
Marble , Mármore
Margin (%) , Margem (%)
Mascot Image , Imagem de Mascote
Masculine , Masculino
Mask , Máscara
Mask + Background , Máscara + Fundo
Mask as Bottom Layer , Máscara como Camada de Fundo
Mask By , Máscara por
Mask Color , Cor da máscara
Mask Contrast , Contraste de máscara
Mask Creator , Criador da Máscara
Mask Dilation , Dilatação da máscara
Mask Size , Tamanho da máscara
Mask Smoothness (%) , Suavidade da máscara (%)
Mask Type , Tipo de Máscara
Masked Image , Imagem mascarada
Masking , Mascaramento
Match Colors With , Corresponder as cores com
Matching Precision (Smaller Is Faster) , Correspondência de precisão (Mais pequeno é mais rápido)
Math Symbols , Símbolos Matemáticos
Matrix , Matriz
Max Angle , Ângulo máximo
Max Angle Deviation (deg) , Desvio angular máximo (deg)
Max Area , Área máxima
Max Curve , Curva Máxima
Max Cut (%) , Corte máximo (%)
Max Iterations , Iterações máximas
Max Length (%) , Comprimento máximo (%)
Max Offset (%) , Deslocamento máximo (%)
Max Radius , Raio Máximo
Max Threshold , Limiar Máximo
Maximal Area , Área Máxima
Maximal Color Saturation , Saturação Máxima de Cor
Maximal Highlights , Destaques Máximos
Maximal Radius , Raio Maximal
Maximal Seams per Iteration (%) , Máximas Costuras por Iteração (%)
Maximal Size , Tamanho Máximo
Maximal Value , Valor Máximo
Maximum , Máximo
Maximum Dimension , Dimensão máxima
Maximum Image Size , Tamanho máximo de imagem
Maximum Number of Image Colors , Número máximo de cores de imagem
Maximum Number of Output Layers , Número máximo de camadas de saída
Maximum Red:Blue Ratio in the Fringe , Relação máxima vermelho:azul na franja
Maximum Saturation , Saturação Máxima
Maximum Size Factor , Factor de Tamanho Máximo
Maximum Value , Valor Máximo
Maze , Labirinto
Maze Type , Tipo de labirinto
Mean Color , Cor média
Mean Curvature , Curvatura média
Median (beware: Memory-Consuming!) , Mediana (cuidado: Consumo de memória!)
Median Radius , Raio Mediano
Medium , Médio
Medium 3 , Médio 3
Medium Details Smoothness , Suavidade de detalhes médios
Medium Details Threshold , Limiar de Média Pormenor
Medium Frequency Layer , Camada de Média Frequência
Medium Scale (Original) , Escala média (Original)
Medium Scale (Smoothed) , Escala média (suavizada)
Memories , Memórias
Merge Brightness / Colors , Fundir Brilho / Cores
Merge Layers? , Fusão de camadas?
Merging Mode , Modo de fusão
Merging Option , Opção de fusão
Merging Steps , Passos de fusão
Mess with Bits , Meter-se com Bits
Metallic Look , Olhar metálico
Method , Método
Metric , Métrica
Micro/macro Details  Adjusted , Micro/macro Detalhes ajustados
Mid , Em meados de
Mid Grey , Cinzento Médio
Mid Noise , Ruído médio
Mid Offset , Meio de Compensação
Mid Tone Contrast , Contraste de Tom Médio
Mid-Dark Grey , Cinzento-escuro médio
Mid-Light Grey , Cinzento Médio-Luz
Mid-Tones , Meio-tons
Middle Grey , Cinzento Médio
Middle Scale , Escala média
Midpoint , Ponto médio
Midtones Brightness , Brilho de meio-tons
Midtones Color Intensity , Intensidade de cor dos meios tons
Mighty Details , Detalhes Poderosos
Min Angle Deviation (deg) , Desvio angular mínimo (deg)
Min Area % , Área Min.
Min Cut (%) , Corte Mínimo (%)
Min Length (%) , Comprimento Mínimo (%)
Min Radius , Raio Menos
Min Threshold , Limiar Mínimo
Mineral Mosaic , Mosaico Mineral
Minesweeper , Varredor de Minas
Minimal Area , Área Mínima
Minimal Area (%) , Área Mínima (%)
Minimal Color Intensity , Intensidade mínima da cor
Minimal Highlights , Destaques Mínimos
Minimal Path , Caminho Mínimo
Minimal Radius , Raio Minimal
Minimal Region Area , Área de Região Mínima
Minimal Scale (%) , Escala Mínima (%)
Minimal Shape Area , Área de Forma Mínima
Minimal Size , Tamanho Mínimo
Minimal Size (%) , Tamanho Mínimo (%)
Minimal Stroke Length , Comprimento Mínimo do Acidente Vascular Cerebral
Minimal Value , Valor Mínimo
Minimalist Caffeination , Cafeinação Minimalista
Minimum , Mínimo
Minimum Brightness , Brilho Mínimo
Minimum Red:Blue Ratio in the Fringe , Relação Mínima Vermelha:Azul na Fringe
Mirror , Espelho
Mirror Effect , Efeito Espelho
Mirror X , Espelho X
Mirror Y , Espelho Y
Mix , Misture
Mixed Mode , Modo misto
Mixer [CMYK] , Misturador [CMYK]
Mixer [HSV] , Misturador [HSV]
Mixer [Lab] , Misturador [Laboratório]
Mixer [PCA] , Misturador [PCA]
Mixer [RGB] , Misturador [RGB]
Mixer [YCbCr] , Misturador [YCbCr]
Mixer Mode , Modo Mixer
Mixer Style , Estilo Mixer
Mode , Modo
Modern Film , Filme moderno
Modulo Value , Valor Modulo
Moir&eacute; Animation , Moir&eacute; Animação
Moire Removal , Remoção do moiré
Moire Removal Method , Método de remoção do moiré
Mondrian: Composition in Red-Yellow-Blue , Mondrian: Composição em vermelho-amarelo-amarelo-azul
Mondrian: Evening; Red Tree , Mondrian: Noite; Árvore Vermelha
Mondrian: Gray Tree , Mondrian: Árvore cinzenta
Monet: San Giorgio Maggiore at Dusk , Monet: San Giorgio Maggiore ao anoitecer
Monet: Water-Lily Pond , Monet: Lírio-Lírio de Água
Monet: Wheatstacks - End of Summer , Monet: Wheatstacks - Fim do Verão
Monkey , Macaco
Mono Tinted , Mono Colorido
Mono-Directional , Mono-direccional
Monochrome , Monocromático
Monochrome 1 , Monocromo 1
Monochrome 2 , Monocromo 2
Montage , Montagem
Montage Type , Tipo de Montagem
Moonlight , Luz da Lua
Moonlight 01 , Luz da Lua 01
Moonrise , Nascer da Lua
Morning 6 , Manhã 6
Morph [Interactive] , Morfo [Interactivo]
Morph Layers , Camadas de morfo
Morphological - Fastest Sharpest Output , Morfológico - Saída mais rápida e afiada
Morphological Closing , Encerramento Morfológico
Morphological Filter , Filtro morfológico
Morphology Painting , Pintura Morfológica
Morphology Strength , Força morfológica
Mosaic , Mosaico
Most , A maioria
Mostly Blue , Principalmente Azul
Motion Analyzer , Analisador de movimento
Motion-Compensated , Movimento-Compensado
Much , Muito
Much Blue , Muito Azul
Much Green , Muito Verde
Much Red , Muito Vermelho
Multi-Layer Etch , Etch Multi-Layer
Multiple Colored Shapes Over Transp. BG , Formas de múltiplas cores sobre o transporte. BG
Multiple Layers , Múltiplas camadas
Multiplier , Multiplicador
Multiply , Multiplicar
Multiscale Operator , Operador Multi-escala
Munch: The Scream , Munch: O Grito
Mute Shift , Deslocamento do Mudo
Muted Fade , Desbotamento mudo
Mystic Purple Sunset , Pôr-do-sol Místico Púrpura
Name , Nome
Natural (vivid) , Natural (vívido)
Nature & Wildlife-1 , Natureza & Vida Selvagem - 1
Nature & Wildlife-10 , Natureza & Vida Selvagem - 10
Nature & Wildlife-2 , Natureza & Vida Selvagem - 2
Nature & Wildlife-3 , Natureza & Vida Selvagem - 3
Nature & Wildlife-4 , Natureza & Vida Selvagem - 4
Nature & Wildlife-5 , Natureza & Vida Selvagem - 5
Nature & Wildlife-6 , Natureza & Vida Selvagem - 6
Nature & Wildlife-7 , Natureza & Vida Selvagem - 7
Nature & Wildlife-8 , Natureza & Vida Selvagem - 8
Nature & Wildlife-9 , Natureza & Vida Selvagem - 9
Nb Circles Surrounding , Nb Círculos à volta
Near Black , Perto de Preto
Nearest , O mais próximo
Nearest Neighbor , Vizinho mais próximo
Neat Merge , Fusão pura
Nebulous , Nebuloso
Negate , Negar
Negation , Negação
Negative , Negativo
Negative [Color] (13) , Negativo [Cor] (13)
Negative [New] (39) , Negativo [Novo] (39)
Negative [Old] (44) , Negativo [Antigo] (44)
Negative Color Abstraction , Abstracção de Cor Negativa
Negative Colors , Cores Negativas
Negative Effect , Efeito Negativo
Neighborhood Size (%) , Tamanho do bairro (%)
Neighborhood Smoothness , Suavidade do bairro
Nemesis , Némesis
Neon Lightning , Relâmpagos de néon
Neutral Color , Cor Neutra
Neutral Teal Orange , Laranja Neutra Teal
Neutral Warm Fade , Desbotamento Neutro do calor
New Curves [Interactive] , Novas Curvas [Interactivo]
Newspaper , Jornais
Night 01 , Noite 01
Night Blade 4 , Lâmina nocturna 4
Night From Day , Noite de dia
Night King 141 , Rei da Noite 141
Night Spy , Espionagem Nocturna
Nine Layers , Nove camadas
No Masking , Sem mascaramento
No Recovery , Sem recuperação
No Rescaling , Sem redimensionamento
No Transparency , Sem Transparência
Noise , Ruído
Noise [Additive] , Ruído [Aditivo]
Noise [Perlin] , Ruído [Perlin]
Noise [Spread] , Ruído [Espalhar]
Noise A , Ruído A
Noise B , Ruído B
Noise C , Ruído C
Noise D , Ruído D
Noise Level , Nível de Ruído
Noise Scale , Balança de Ruído
Noise Type , Tipo de Ruído
Non / No , Não / Não
Non-Linearity , Não-Linearidade
Non-Rigid , Não-Rígido
None , Nenhum
None (Allows Multi-Layers) , Nenhuma (Permite Multi-Layers)
Norm Type , Tipo de norma
Normal Map , Mapa normal
Normal Output , Saída normal
Normalization , Normalização
Normalize , Normalizar
Normalize Brightness , Normalizar a luminosidade
Normalize Colors , Normalizar as cores
Normalize Illumination , Normalizar a Iluminação
Normalize Input , Normalizar a Entrada
Normalize Luma , Normalizar Luma
Normalize Scales , Normalizar as escalas
Nostalgia Honey , Mel da Nostalgia
Nostalgic , Nostalgico
Nothing , Nada
Number , Número
Number of Added Frames , Número de estruturas adicionadas
Number of Angles , Número de ângulos
Number of Clusters , Número de Aglomerados
Number of Colors , Número de Cores
Number of Frames , Número de Molduras
Number of Inter-Frames , Número de Inter-Frames
Number of Iterations per Scale , Número de Iterações por Escala
Number of Key-Frames , Número de Porta-Chaves
Number of Levels , Número de níveis
Number of Matches (Coarsest) , Número de Fósforos (mais grosseiros)
Number of Matches (Finest) , Número de Fósforos (Finest)
Number of Orientations , Número de Orientações
Number Of Rays , Número de Raios
Number of Scales , Número de balanças
Number of Sizes , Número de Tamanhos
Number of Streaks , Número de Ruas
Number of Teeth , Número de Dentes
Number of Tones , Número de Tons
Object Animation , Animação de objectos
Object Ratio , Relação de objectos
Object Tolerance , Tolerância a objectos
Octagon , Octógono
Octagonal , Octogonal
Octogon , Octogão
Oddness (%) , Estranheza (%)
Off , Desligado
Offset (%) , Compensação (%)
Offset Angle Rays Layer 1 , Camada 1 de Raios de Ângulo de Compensação
Offset Angle Rays Layer 2 , Camada 2 de Raios de Ângulo de Compensação
Old Method - Slowest , Método antigo - mais lento
Old Photograph , Fotografia antiga
Old West , Velho Oeste
Old-Movie Stripes , Listras de filmes antigos
Oldschool 8bits , 8bits da velha guarda
ON1 Photography (90) , ON1 Fotografia (90)
Once Upon a Time , Era uma vez
One Layer , Uma camada
One Layer (Horizontal) , Uma camada (Horizontal)
One Layer (Vertical) , Uma camada (Vertical)
One Layer per Single Color , Uma camada por cor única
One Layer per Single Region , Uma camada por região
One Thread , Um fio
Only Leafs , Apenas Folhas
Only Red , Apenas Vermelho
Only Red and Blue , Apenas Vermelho e Azul
Op Art , Op Arte
Opacity , Opacidade
Opacity (%) , Opacidade (%)
Opacity as Heightmap , Opacidade como Mapa de Altura
Opacity Contours , Contornos de opacidade
Opacity Factor , Factor de Opacidade
Opacity Gain , Ganho de Opacidade
Opacity Gamma , Opacidade Gama
Opacity Threshold (%) , Limiar de Opacidade (%)
Opaque Pixels , Pixels opacos
Opaque Regions on Top Layer , Regiões opacas na camada superior
Opaque Skin , Pele opaca
Open Interactive Preview , Pré-visualização interactiva aberta
Opening , Abertura
Operation Yellow , Operação Amarelo
Operator , Operador
Opposing , Em oposição a
Optimized Lateral Inhibition , Inibição lateral optimizada
Orange Tone , Tom de Laranja
Orange Underexposed , Laranja Subexposta
Oranges , Laranjas
Order , Encomenda
Order By , Encomendar por
Orientation , Orientação
Orientation Coherence , Coerência da orientação
Orientation Only , Apenas orientação
Orientations , Orientações
Original - (Opening + Closing)/2 , Original - (Abertura + Encerramento)/2
Original - Erosion , Original - Erosão
Original - Opening , Original - Abertura
Orthogonal Radius , Raio Ortogonal
Others (69) , Outros (69)
Ouline Color , Cor Oulina
Outer , Exterior
Outer Fading , Desvanecimento exterior
Outer Length , Comprimento exterior
Outer Radius , Raio exterior
Outline , Esboço
Outline (%) , Esboço (%)
Outline Color , Cor do esboço
Outline Contrast , Contraste Esboço
Outline Opacity , Esboço Opacidade
Outline Size , Tamanho do esboço
Outline Smoothness , Esboço Suavidade
Outline Thickness , Esboço Espessura
Outlined , Em linhas gerais
Output , Saída
Output as Files , Saída como Ficheiros
Output as Frames , Saída como Armações
Output as Multiple Layers , Saída como Múltiplas Camadas
Output as Separate Layers , Saída como Camadas Separadas
Output Ascii File , Ficheiro de saída Ascii
Output Chroma NR , Chroma de saída NR
Output CLUT , Saída CLUT
Output CLUT Resolution , Resolução CLUT de saída
Output Coordinates File , Ficheiro de Coordenadas de Saída
Output Corresponding CLUT , Saída Correspondente CLUT
Output Directory , Directório de saída
Output Each Piece on a Different Layer , Saída de cada peça numa camada diferente
Output Filename , Nome do ficheiro de saída
Output Files , Ficheiros de saída
Output Folder , Pasta de saída
Output Format , Formato de saída
Output Frames , Quadros de saída
Output Height , Altura de saída
Output HTML File , Arquivo HTML de saída
Output Layers , Camadas de saída
Output Mode , Modo de saída
Output Multiple Layers , Saída Múltiplas camadas
Output Preset as a HaldCLUT Layer , Pré-definição de saída como camada HaldCLUT
Output Region Delimiters , Delimitadores da Região de Saída
Output Saturation , Saturação de saída
Output Sharpening , Afiação de saída
Output Stroke Layer On , Camada de saída do AVC ligado
Output to Folder , Saída para pasta
Output Type , Tipo de saída
Output Width , Largura de saída
Outside , Fora
Outside Color , Cor exterior
Outward , Para o exterior
Overall Blur , Desfoque geral
Overall Contrast , Contraste global
Overall Lightness , Leveza geral
Overlap (%) , Sobreposição (%)
Overlay , Sobreposição
Oversample , Excesso de amostra
Overshoot , Ultrapassagem
Pack , Pacote
Pack Sprites , Pacote de Sprites
Padding (px) , Acolchoamento (px)
Paint , Tinta
Paint Daub , Pintar Daub
Paint Effect , Efeito de Pintura
Paint Splat , Borrão de tinta
Painter's Edge Protection Flow , Fluxo de protecção do bordo do pintor
Painter's Smoothness , A suavidade do pintor
