<b>Lights & Shadows</b> , <b>Lights & Shadows</b>(灯光和阴影)
Gradient Smoothness , Gradient Smoothness(渐变平滑度)
Horizontal Size (%) , Horizontal Size (%)(水平尺寸(%))
Invert Image Colors , Invert Image Colors(反转图像颜色)
Keep Borders Square , Keep Borders Square(边界保持正方形)
Keep Color Channels , Keep Color Channels(保留色彩通道)
Keep Original Layer , Keep Original Layer(保留原始图层)
Mask Smoothness (%) , Mask Smoothness (%)(面膜平滑度(%))
Maximum Size Factor , Maximum Size Factor(最大尺寸系数)
Midtones Brightness , Midtones Brightness(中间调亮度)
Minimal Region Area , Minimal Region Area(最小区域)
Morphology Strength , Morphology Strength(形态强度)
Parallel Processing , Parallel Processing(并行处理)
Pattern Variation 1 , Pattern Variation 1(模式变化1)
Pattern Variation 2 , Pattern Variation 2(模式变化2)
Pattern Variation 3 , Pattern Variation 3(模式变化3)
Posterization Level , Posterization Level(后期化水平)
Pre-Normalize Image , Pre-Normalize Image(标准化图像)
Preprocessor Radius , Preprocessor Radius(预处理半径)
Preview All Outputs , Preview All Outputs(预览所有输出)
Preview Grain Alone , Preview Grain Alone(仅预览颗粒(不会输出到文件))
Preview Only Shadow , Preview Only Shadow(仅预览阴影)
Preview Opacity (%) , Preview Opacity (%)(预览不透明度(%))
Preview Subsampling , Preview Subsampling(预览子采样)
Print Frame Numbers , Print Frame Numbers(打印帧编号)
Reverse Frame Stack , Reverse Frame Stack(倒车架)
Shadows Abstraction , Shadows Abstraction(阴影提取)
Sharpening Strength , Sharpening Strength(锐化强度)
Size for Dark Tones , Size for Dark Tones(深色调尺寸)
Soften All Channels , Soften All Channels(软化所有通道)
Specify HaldCLUT As , Specify HaldCLUT As(将HaldCLUT指定为)
Spread Noise Amount , Spread Noise Amount(扩散噪点量)
Starting Feathering , Starting Feathering(起始羽化)
Strength Highlights , Strength Highlights(高光强度)
Surface Disturbance , Surface Disturbance(表面扰动)
Top-Left Vertex (%) , Top-Left Vertex (%)(左上角(%))
Value Normalization , Value Normalization(明度标准化)
Vignette Max Radius , Vignette Max Radius(渐晕最大半径)
Vignette Min Radius , Vignette Min Radius(渐晕最小半径)
18. Warp Intensity , 18. Warp Intensity(18.翘曲强度)
20. Scale to Width , 20. Scale to Width(20.缩放到宽度)
5.  Edge Threshold , 5.  Edge Threshold(5.边缘阈值)
A-Color Smoothness , A-Color Smoothness(A色平滑度)
Add as a New Layer , Add as a New Layer(添加为新层)
Additional Outline , Additional Outline(附加大纲)
Average Smoothness , Average Smoothness(平均平滑度)
B-Color Smoothness , B-Color Smoothness(B色平滑度)
Base Thickness (%) , Base Thickness (%)(基础宽度(%))
Blue Chroma Factor , Blue Chroma Factor(蓝色色度因素)
Boundary Condition , Boundary Condition(边界状态)
Camera Motion Only , Camera Motion Only(仅相机运动)
Color Quantization , Color Quantization(颜色量化)
Compression Filter , Compression Filter(压缩过滤器)
Cross-Hatch Amount , Cross-Hatch Amount(交叉线数量)
Custom Filter Code , Custom Filter Code(自定义过滤器代码)
Déformation 1 , Déformation 1(Dé形式1)
Déformation 2 , Déformation 2(Dé构成2)
Damping per Octave , Damping per Octave(每倍频程阻尼)
Defects Smoothness , Defects Smoothness(缺陷平滑度)
Details Smoothness , Details Smoothness(细节平滑度)
Dilation / Erosion , Dilation / Erosion(扩张/侵蚀)
Display Color Axes , Display Color Axes(显示色轴)
Edge Threshold (%) , Edge Threshold (%)(边缘阈值(%))
Enable Paintstroke , Enable Paintstroke(启用绘画描边)
End Point Rate (%) , End Point Rate (%)(终点率(%))
Ending X-Centering , Ending X-Centering(结束X居中)
Ending Y-Centering , Ending Y-Centering(结束Y居中)
Erosion / Dilation , Erosion / Dilation(侵蚀/膨胀)
Fast Approximation , Fast Approximation(快速估算)
Fast Blend Preview , Fast Blend Preview(快速混合预览)
Flocon / Snowflake , Flocon / Snowflake(雪花)
Force Transparency , Force Transparency(强制透明)
Frame Files Format , Frame Files Format(框架文件格式)
Frequency Analyzer , Frequency Analyzer(频率分析仪)
Gamma Compensation , Gamma Compensation(伽玛补偿)
Grain (Highlights) , Grain (Highlights)(颗粒(高光))
Input Transparency , Input Transparency(输入透明度)
Interpolation Type , Interpolation Type(插补类型)
Magenta Smoothness , Magenta Smoothness(洋红色平滑度)
Maximal Highlights , Maximal Highlights(最大亮点)
Maximum Image Size , Maximum Image Size(最大影像尺寸)
Maximum Saturation , Maximum Saturation(最大饱和度)
Minimal Highlights , Minimal Highlights(最小亮点)
Minimal Shape Area , Minimal Shape Area(最小形状面积)
Minimum Brightness , Minimum Brightness(最低亮度)
Nb Branches / Rays , Nb Branches / Rays(Nb分枝/射线)
Number of Clusters , Number of Clusters(集群数)
Outline Smoothness , Outline Smoothness(轮廓平滑度)
Preprocessor Power , Preprocessor Power(预处理力度)
Preserve Luminance , Preserve Luminance(保持亮度)
Recover Highlights , Recover Highlights(恢复亮点)
Red - Green - Blue , Red - Green - Blue(红-绿-蓝)
Regularization (%) , Regularization (%)(正则化(%))
Reverse Endianness , Reverse Endianness(反向字节序)
Revert Layer Order , Revert Layer Order(反排图层顺序)
Shadows Brightness , Shadows Brightness(阴影亮度)
Sharpen Edges Only , Sharpen Edges Only(仅锐化边缘)
Skip Finest Scales , Skip Finest Scales(跳过最佳秤)
Smoother Sharpness , Smoother Sharpness(平滑度)
Specular Centering , Specular Centering(人u镜面反射位置)
Specular Intensity , Specular Intensity(镜面反射强度)
Specular Lightness , Specular Lightness(镜面反射亮度)
Specular Shininess , Specular Shininess(镜面光泽)
Start Frame Number , Start Frame Number(起始帧号)
Start of Mid-Tones , Start of Mid-Tones(中间色调起始于)
Starting Point (%) , Starting Point (%)(初始点 (%))
Starting Scale (%) , Starting Scale (%)(起始比例(%))
Stripe Orientation , Stripe Orientation(条纹方向)
Tends to Be Square , Tends to Be Square(趋向于方形)
View Outlines Only , View Outlines Only(仅查看轮廓)
XY-Coordinates (%) , XY-Coordinates (%)(XY坐标(%))
14. Minimum Noise , 14. Minimum Noise(14.最小噪音)
15. Maximum Noise , 15. Maximum Noise(15.最大噪音)
21. Self-Blending , 21. Self-Blending(21.自我融合)
34. Minimum Value , 34. Minimum Value(34.最小值)
35. Interpolation , 35. Interpolation(35.内插)
35. Maximum Value , 35. Maximum Value(35.最大值)
38. Blur Original , 38. Blur Original(38.模糊原始)
52. Blending Mode , 52. Blending Mode(52.混合模式)
Ambient Lightness , Ambient Lightness(环境亮度)
Amplitude / Angle , Amplitude / Angle(幅度 / 角度)
Angular Precision , Angular Precision(角度精度)
Bit Masking (End) , Bit Masking (End)(位屏蔽(结束))
Blue Chroma Shift , Blue Chroma Shift(蓝色色度偏移)
Border Smoothness , Border Smoothness(边界平滑度)
Canvas Brightness , Canvas Brightness(画布亮度)
Center Smoothness , Center Smoothness(中心平滑度)
Centering / Scale , Centering / Scale(定心/比例)
Cercle / Circle D , Cercle / Circle D(Cercle / D圈)
Chromaticity From , Chromaticity From(色度来源)
Color Blue-Yellow , Color Blue-Yellow(颜色蓝黄色)
Color Effect Mode , Color Effect Mode(色彩效果模式)
Color Shading (%) , Color Shading (%)(颜色底纹(%))
Colour Space Mode , Colour Space Mode(色彩空间模式)
Constraint Radius , Constraint Radius(约束半径)
Contour Coherence , Contour Coherence(轮廓连贯性)
Contour Precision , Contour Precision(轮廓精度)
Contour Threshold , Contour Threshold(轮廓阈值)
Corner Brightness , Corner Brightness(角落亮度)
Couleur / Color A , Couleur / Color A(颜色A)
Couleur / Color B , Couleur / Color B(颜色B)
Couleur / Color C , Couleur / Color C(颜色C)
Couleur / Color D , Couleur / Color D(颜色D)
Couleur / Color E , Couleur / Color E(颜色E)
Couleur / Color F , Couleur / Color F(颜色F)
Couleur / Color G , Couleur / Color G(颜色G)
Counter Clockwise , Counter Clockwise(逆时针方向)
Custom Dictionary , Custom Dictionary(自定义字典)
Difference Mixing , Difference Mixing(差异混合)
Distortion Factor , Distortion Factor(扭曲系数)
Edge Antialiasing , Edge Antialiasing(边缘抗锯齿)
Enable Morphology , Enable Morphology(启用形态)
Ending Feathering , Ending Feathering(终点羽化)
Expanding Mirrors , Expanding Mirrors(伸缩镜)
Fibers Smoothness , Fibers Smoothness(纤维平滑度)
Flip Left / Right , Flip Left / Right(向左/向右翻转)
Grain Tone Fading , Grain Tone Fading(颗粒值过度)
HaldCLUT Filename , HaldCLUT Filename(HaldCLUT文件名)
Horisontal Length , Horisontal Length(水平长度)
Horizontal Amount , Horizontal Amount(水平数量)
Horizontal Length , Horizontal Length(水平长度)
Input Guide Color , Input Guide Color(输入指南颜色)
Inverse Transform , Inverse Transform(逆变换)
Invert Embossing? , Invert Embossing?(反转浮雕?)
Keep Tiles Square , Keep Tiles Square(块保持正方形)
Kernel Multiplier , Kernel Multiplier(内核乘数)
Lightness Max (%) , Lightness Max (%)(最大亮度(%))
Lightness Min (%) , Lightness Min (%)(最低亮度(%))
Magnitude / Phase , Magnitude / Phase(幅度/相位)
Match Colors With , Match Colors With(搭配颜色)
Mid Tone Contrast , Mid Tone Contrast(中间色调对比)
Minimal Scale (%) , Minimal Scale (%)(最小比例(%))
Number of Streaks , Number of Streaks(条纹数)
Orthogonal Radius , Orthogonal Radius(正交半径)
Outline Thickness , Outline Thickness(轮廓厚度)
Output Ascii File , Output Ascii File(输出ASCII文件)
Output Saturation , Output Saturation(输出饱和度)
Output Sharpening , Output Sharpening(输出锐化)
Overall Lightness , Overall Lightness(整体亮度)
PhotoComix Preset , PhotoComix Preset(PhotoComix预设)
Preview Precision , Preview Precision(预览精度)
Preview Ref Point , Preview Ref Point(预览参考点)
Preview Selection , Preview Selection(预览选择)
Preview Tones Map , Preview Tones Map(预览色调图)
Red Chroma Factor , Red Chroma Factor(红色色度因素)
Relief Smoothness , Relief Smoothness(救济平滑度)
Replacement Color , Replacement Color(更换颜色)
Saturation Factor , Saturation Factor(饱和度因素)
Saturation Offset , Saturation Offset(饱和度偏移)
Segments Strength , Segments Strength(细分强度)
Shadow Smoothness , Shadow Smoothness(阴影平滑度)
Shadows Hue Shift , Shadows Hue Shift(阴影色相偏移)
Shadows Lightness , Shadows Lightness(阴影亮度)
Shadows Selection , Shadows Selection(阴影选择)
Shadows Threshold , Shadows Threshold(阴影阈值)
Sharpening Radius , Sharpening Radius(锐化半径)
Skip Others Steps , Skip Others Steps(跳过其他步骤)
Smoother Softness , Smoother Softness(更柔软)
Sorting Criterion , Sorting Criterion(排序标准)
Spatial Bandwidth , Spatial Bandwidth(空间带宽)
Spatial Precision , Spatial Precision(空间精度)
Spatial Tolerance , Spatial Tolerance(空间公差)
Stationary Frames , Stationary Frames(固定框架)
Strength Midtones , Strength Midtones(中间调强度)
Tensor Smoothness , Tensor Smoothness(张量平滑度)
Tolerance to Gaps , Tolerance to Gaps(容差大小)
Transmittance Map , Transmittance Map(透过率图)
Trunk Opacity (%) , Trunk Opacity (%)(树干不透明度(%))
Use as Saturation , Use as Saturation(用作饱和)
Use Maximum Tones , Use Maximum Tones(使用最大音调)
Vertical 1 Amount , Vertical 1 Amount(垂线1数量)
Vertical 1 Length , Vertical 1 Length(垂线1长度)
Vertical 2 Amount , Vertical 2 Amount(垂线2数量)
Vertical 2 Length , Vertical 2 Length(垂线2长度)
Vertical Size (%) , Vertical Size (%)(垂直尺寸(%))
Vignette Contrast , Vignette Contrast(晕影对比)
Vignette Strength , Vignette Strength(渐晕强度)
XY-Axis Formula S , XY-Axis Formula S(XY轴公式S)
XY-Axis Formula T , XY-Axis Formula T(XY轴公式T)
XY-Axis Formula U , XY-Axis Formula U(XY轴公式U)
Yellow Smoothness , Yellow Smoothness(黄色平滑度)
-1. Value Action , -1. Value Action(-1.动作值)
14. Value Action , 14. Value Action(14.价值行动)
15. Colour Space , 15. Colour Space(15.色彩空间)
2.  Plasma Scale , 2.  Plasma Scale(2.等离子量)
25. Value Action , 25. Value Action(25.价值行动)
27. Gamma Offset , 27. Gamma Offset(27.伽玛偏移)
38. Value Offset , 38. Value Offset(38.价值抵消)
40. Create Copy? , 40. Create Copy?(40.创建副本?)
45. Colour Space , 45. Colour Space(45.色彩空间)
A Lot of Magenta , A Lot of Magenta(高光洋红)
Activate Lizards , Activate Lizards(激活蜥蜴)
Activate Slice 1 , Activate Slice 1(激活切片1)
Activate Slice 2 , Activate Slice 2(激活切片2)
Activate Slice 3 , Activate Slice 3(激活切片3)
Activate Slice 4 , Activate Slice 4(激活切片4)
Angle Dispersion , Angle Dispersion(角分散)
Angle Variations , Angle Variations(角度变化)
Areas Smoothness , Areas Smoothness(区域平滑度)
Associated Color , Associated Color(关联颜色)
Avg / Max Weight , Avg / Max Weight(平均/最大重量)
Background Color , Background Color(背景颜色)
Bilateral Radius , Bilateral Radius(双边半径)
Blue Screen Mode , Blue Screen Mode(蓝屏模式)
Color Dispersion , Color Dispersion(色散)
Color Highlights , Color Highlights(高光颜色)
Color Smoothness , Color Smoothness(颜色平滑度)
Colour Smoothing , Colour Smoothing(颜色平滑)
Computation Mode , Computation Mode(计算模式)
Constrain Values , Constrain Values(约束值)
Déformation , Déformation(变形)
Defects Contrast , Defects Contrast(缺陷对比)
Dilatation Motif , Dilatation Motif(膨胀图案)
Dimension [Diff] , Dimension [Diff](尺寸[差异])
Distortion Angle , Distortion Angle(变形角度)
DoNotMergeLayers , DoNotMergeLayers(不要合并图层)
Edge Attenuation , Edge Attenuation(边缘衰减)
Edge Sensitivity , Edge Sensitivity(边缘灵敏度)
End Frame Number , End Frame Number(结束帧号)
End of Mid-Tones , End of Mid-Tones(中间色调结束于)
Ending Point (%) , Ending Point (%)(终止点(%))
Ending Scale (%) , Ending Scale (%)(最终比例(%))
Equalization (%) , Equalization (%)(均等化(%))
Fibers Amplitude , Fibers Amplitude(纤维强度)
Fitting Function , Fitting Function(拟合函数)
Flip Cross-Hatch , Flip Cross-Hatch(翻转斜线)
Font Height (px) , Font Height (px)(字型高度(px))
Foreground Color , Foreground Color(前景色)
Grain (Midtones) , Grain (Midtones)(颗粒(中间调))
Green Smoothness , Green Smoothness(绿色平滑度)
Green Wavelength , Green Wavelength(绿色波长)
Horizontal Tiles , Horizontal Tiles(水平块数)
Image Smoothness , Image Smoothness(图像平滑度)
Init. Resolution , Init. Resolution(初始化. 解析度)
Inner Radius (%) , Inner Radius (%)(内半径(%))
Invert Luminance , Invert Luminance(反转亮度)
Leaf Opacity (%) , Leaf Opacity (%)(叶片不透明度(%))
Light Smoothness , Light Smoothness(光线平滑度)
Lightness Factor , Lightness Factor(亮度因素)
Luminance Factor , Luminance Factor(亮度系数)
Minimal Area (%) , Minimal Area (%)(最小面积(%))
Minimal Size (%) , Minimal Size (%)(最小尺寸(%))
Normalize Colors , Normalize Colors(标准化颜色)
Normalize Scales , Normalize Scales(标准化比例)
Number of Angles , Number of Angles(角度数)
Number of Colors , Number of Colors(颜色数)
Number of Frames , Number of Frames(帧数)
Number of Levels , Number of Levels(等级数)
Number of Scales , Number of Scales(缩放数量)
Object Tolerance , Object Tolerance(物体公差)
Orientation Only , Orientation Only(仅定向)
Outline Contrast , Outline Contrast(轮廓对比)
Output as Frames , Output as Frames(输出为帧)
Output Chroma NR , Output Chroma NR(输出色度NR)
Output Directory , Output Directory(输出目录)
Output HTML File , Output HTML File(输出HTML文件)
Output to Folder , Output to Folder(输出到文件夹)
Overall Contrast , Overall Contrast(整体对比)
Painting Opacity , Painting Opacity(绘画不透明度)
Patch Smoothness , Patch Smoothness(补丁平滑度)
Pencil Amplitude , Pencil Amplitude(铅笔幅度)
Piece Complexity , Piece Complexity(块复杂度)
Preview Gradient , Preview Gradient(预览渐变)
Preview Original , Preview Original(预览原图)
Print Size Width , Print Size Width(打印尺寸宽度)
Radial Influence , Radial Influence(径向影响)
Red Chroma Shift , Red Chroma Shift(红色偏移)
Reference Colors , Reference Colors(参考色)
Relative Warping , Relative Warping(相对扭曲)
Relief Amplitude , Relief Amplitude(起伏幅度)
Retouching Style , Retouching Style(修饰风格)
Reverse Gradient , Reverse Gradient(反向渐变)
Rotate Hue Bands , Rotate Hue Bands(旋转色相带)
S-Curve Contrast , S-Curve Contrast(S形曲线对比度)
Saturation Shift , Saturation Shift(饱和度偏移)
Save Gradient As , Save Gradient As(将渐变另存为)
Scale Variations , Scale Variations(比例变化)
Secondary Factor , Secondary Factor(次级色因素)
Secondary Radius , Secondary Radius(次半径)
Set Frame Format , Set Frame Format(设置帧格式)
Shadow Intensity , Shadow Intensity(阴影强度)
Show Fill Ratio? , Show Fill Ratio?(显示填充率?)
Similarity Space , Similarity Space(相似空间)
Source Color #10 , Source Color #10(原始颜色 #10)
Source Color #11 , Source Color #11(原始颜色 #11)
Source Color #12 , Source Color #12(原始颜色 #12)
Source Color #13 , Source Color #13(原始颜色 #13)
Source Color #14 , Source Color #14(原始颜色 #14)
Source Color #15 , Source Color #15(原始颜色 #15)
Source Color #16 , Source Color #16(原始颜色 #16)
Source Color #17 , Source Color #17(原始颜色 #17)
Source Color #18 , Source Color #18(原始颜色 #18)
Source Color #19 , Source Color #19(原始颜色 #19)
Source Color #20 , Source Color #20(原始颜色 #20)
Source Color #21 , Source Color #21(原始颜色 #21)
Source Color #22 , Source Color #22(原始颜色 #22)
Source Color #23 , Source Color #23(原始颜色 #23)
Source Color #24 , Source Color #24(原始颜色 #24)
Spatial Sampling , Spatial Sampling(空间采样)
Spatial Variance , Spatial Variance(空间差异)
Spline Roundness , Spline Roundness(样条圆度)
Starting Pattern , Starting Pattern(起始模式)
Std Angle (deg.) , Std Angle (deg.)(标准角度(度))
Strength Shadows , Strength Shadows(阴影强度)
Stretch Contrast , Stretch Contrast(拉伸对比)
Style Variations , Style Variations(样式变化)
Target Color #10 , Target Color #10(目标颜色 #10)
Target Color #11 , Target Color #11(目标颜色 #11)
Target Color #12 , Target Color #12(目标颜色 #12)
Target Color #13 , Target Color #13(目标颜色 #13)
Target Color #14 , Target Color #14(目标颜色 #14)
Target Color #15 , Target Color #15(目标颜色 #15)
Target Color #16 , Target Color #16(目标颜色 #16)
Target Color #17 , Target Color #17(目标颜色 #17)
Target Color #18 , Target Color #18(目标颜色 #18)
Target Color #19 , Target Color #19(目标颜色 #19)
Target Color #20 , Target Color #20(目标颜色 #20)
Target Color #21 , Target Color #21(目标颜色 #21)
Target Color #22 , Target Color #22(目标颜色 #22)
Target Color #23 , Target Color #23(目标颜色 #23)
Target Color #24 , Target Color #24(目标颜色 #24)
Thickness Factor , Thickness Factor(宽度系数)
Tone Mapping (%) , Tone Mapping (%)(色调映射(%))
Tones Smoothness , Tones Smoothness(色调平滑度)
Transition Shape , Transition Shape(过渡形状)
Type Aper&#231;u , Type Aper&#231;u(类型预览)
Value Correction , Value Correction(明度校正)
Value Smoothness , Value Smoothness(明度平滑度)
Vignette Strenth , Vignette Strenth(小插图强度)
Vintage Tone (%) , Vintage Tone (%)(复古色调(%))
Waves Smoothness , Waves Smoothness(波浪平滑度)
Work on Frameset , Work on Frameset(在帧上工作)
X-Axis Formula S , X-Axis Formula S(X轴公式S)
X-Axis Formula T , X-Axis Formula T(X轴公式T)
X-Axis Formula U , X-Axis Formula U(X轴公式U)
X-Ombre X-Shadow , X-Ombre X-Shadow(X-阴影)
Y-Axis Formula S , Y-Axis Formula S(Y轴公式S)
Y-Axis Formula T , Y-Axis Formula T(Y轴公式T)
Y-Axis Formula U , Y-Axis Formula U(Y轴公式U)
Y-Ombre Y-Shadow , Y-Ombre Y-Shadow(Y-阴影)
19. Warp Offset , 19. Warp Offset(19.翘曲偏移)
30. Minimum Hue , 30. Minimum Hue(30.最小色相)
31. Maximum Hue , 31. Maximum Hue(31.最大色相)
47. Makeup Gain , 47. Makeup Gain(47.化妆增益)
A Lot of Yellow , A Lot of Yellow(高光黄色)
Activate Mirror , Activate Mirror(启用镜像)
Activate Shakes , Activate Shakes(激活震动)
Add 1px Outline , Add 1px Outline(添加1px轮廓)
Add Image Label , Add Image Label(添加图像标签)
Area Smoothness , Area Smoothness(区域平滑度)
Blend Threshold , Blend Threshold(混合阈值)
Blue Smoothness , Blue Smoothness(蓝色平滑度)
Blue Wavelength , Blue Wavelength(蓝色波长)
Blur Percentage , Blur Percentage(模糊百分比)
Canvas Darkness , Canvas Darkness(画布暗度)
Color Intensity , Color Intensity(色彩强度)
Color Rendering , Color Rendering(显色)
Color Tolerance , Color Tolerance(颜色容差)
Colored Outline , Colored Outline(彩色轮廓)
Colour Channels , Colour Channels(色彩通道)
Control Point 1 , Control Point 1(控制点1)
Control Point 2 , Control Point 2(控制点2)
Control Point 3 , Control Point 3(控制点3)
Control Point 4 , Control Point 4(控制点4)
Control Point 5 , Control Point 5(控制点5)
Control Point 6 , Control Point 6(控制点6)
Couleur / Color , Couleur / Color(库勒/颜色)
Cyan Smoothness , Cyan Smoothness(青色平滑度)
Debug Font Size , Debug Font Size(调试字体大小)
Defects Density , Defects Density(缺陷密度)
Destination (%) , Destination (%)(目标(%))
Detail Strength , Detail Strength(细节强度)
Dilate Contours , Dilate Contours(扩张轮廓)
Edge Behavior X , Edge Behavior X(边缘行为X)
Edge Behavior Y , Edge Behavior Y(边缘行为Y)
Edge Simplicity , Edge Simplicity(边缘简化)
Edge Smoothness , Edge Smoothness(边缘平滑度)
Effect Strength , Effect Strength(效果强度)
Enhance Details , Enhance Details(增强细节)
Exponent (Real) , Exponent (Real)(指数(实数))
Flip Left/Right , Flip Left/Right(左右翻转)
Frequency Range , Frequency Range(频率范围)
Gamma Equalizer , Gamma Equalizer(伽玛均衡)
Gradient Preset , Gradient Preset(渐变预设)
Grain (Shadows) , Grain (Shadows)(颗粒(阴影))
Green Rotations , Green Rotations(绿色旋转)
Highlights Zone , Highlights Zone(高光区)
Horizontal Blur , Horizontal Blur(水平模糊)
IncreaseChroma1 , IncreaseChroma1(增加色度1)
Initial Density , Initial Density(初始密度)
Itérations , Itérations(迭代次数)
Level Frequency , Level Frequency(等级频率)
Light Direction , Light Direction(灯光方向)
Lightness Level , Lightness Level(亮度等级)
Lightness Shift , Lightness Shift(亮度偏移)
Limit Hue Range , Limit Hue Range(极限色相范围)
Luminance Level , Luminance Level(亮度等级)
Luminance Shift , Luminance Shift(亮度偏移)
Luminosity Type , Luminosity Type(光度类型)
Modeler / Shape , Modeler / Shape(造型师/造型)
Motion Analyzer , Motion Analyzer(运动分析仪)
Negative Colors , Negative Colors(负色)
Negative Effect , Negative Effect(负面影响)
No Transparency , No Transparency(没有透明度)
Normalize Input , Normalize Input(标准化输入)
Number of Sizes , Number of Sizes(尺寸数)
Number of Teeth , Number of Teeth(齿数)
Number of Tones , Number of Tones(色调数量)
Outline Opacity , Outline Opacity(轮廓不透明度)
Output as Files , Output as Files(输出为文件)
Output Filename , Output Filename(输出文件名)
Piece Size (px) , Piece Size (px)(块大小(像素))
Preserve Alpha? , Preserve Alpha?(保留Alpha?)
Preview Mapping , Preview Mapping(预览映射)
Print Size Unit , Print Size Unit(打印尺寸单位)
Processing Mode , Processing Mode(处理方式)
Quantize Colors , Quantize Colors(量化色彩)
Résolution , Résolution(Ré解决方案)
Radius [Manual] , Radius [Manual](半径[手动])
Recover Shadows , Recover Shadows(恢复阴影)
Recursion Depth , Recursion Depth(递归深度)
Reference Color , Reference Color(参考色)
Relief Contrast , Relief Contrast(救济对比)
Resolution (px) , Resolution (px)(解析度(px))
Retourner Motif , Retourner Motif(Retourner主题)
Secondary Color , Secondary Color(次要颜色)
Secondary Gamma , Secondary Gamma(次级色伽玛)
Secondary Shift , Secondary Shift(次级色偏移)
Secondary Twist , Secondary Twist(次级色转变)
Shadow Contrast , Shadow Contrast(阴影对比)
Sharpening Type , Sharpening Type(锐化类型)
Show Both Poles , Show Both Poles(显示两极)
Show Difference , Show Difference(显示差异)
Skin Estimation , Skin Estimation(皮肤估计)
Smart Threshold , Smart Threshold(智能阈值)
Smoothing Style , Smoothing Style(平滑风格)
Smoothness (px) , Smoothness (px)(平滑度(px))
Smoothness Type , Smoothness Type(平滑度类型)
Source Color #1 , Source Color #1(原始颜色 #1)
Source Color #2 , Source Color #2(原始颜色 #2)
Source Color #3 , Source Color #3(原始颜色 #3)
Source Color #4 , Source Color #4(原始颜色 #4)
Source Color #5 , Source Color #5(原始颜色 #5)
Source Color #6 , Source Color #6(原始颜色 #6)
Source Color #7 , Source Color #7(原始颜色 #7)
Source Color #8 , Source Color #8(原始颜色 #8)
Source Color #9 , Source Color #9(原始颜色 #9)
Spatial Overlap , Spatial Overlap(空间重叠)
Special Effects , Special Effects(特殊效果)
SRGB Conversion , SRGB Conversion(SRGB转换)
Strength Effect , Strength Effect(影响强度)
Stroke Strength , Stroke Strength(笔触强度)
Subsampling (%) , Subsampling (%)(二次采样(%))
Synthesis Scale , Synthesis Scale(整体缩放)
Target Color #1 , Target Color #1(目标颜色 #1)
Target Color #2 , Target Color #2(目标颜色 #2)
Target Color #3 , Target Color #3(目标颜色 #3)
Target Color #4 , Target Color #4(目标颜色 #4)
Target Color #5 , Target Color #5(目标颜色 #5)
Target Color #6 , Target Color #6(目标颜色 #6)
Target Color #7 , Target Color #7(目标颜色 #7)
Target Color #8 , Target Color #8(目标颜色 #8)
Target Color #9 , Target Color #9(目标颜色 #9)
Tertiary Factor , Tertiary Factor(三级色因素)
Thin Separators , Thin Separators(薄分离器)
Tonal Bandwidth , Tonal Bandwidth(色调带宽)
Value Precision , Value Precision(数值精度)
Vertical Amount , Vertical Amount(垂直数量)
Vertical Length , Vertical Length(垂直长度)
View Resolution , View Resolution(预览质量)
Waves Amplitude , Waves Amplitude(波幅)
X-Centering (%) , X-Centering (%)(X-中心 (%))
Y-Centering (%) , Y-Centering (%)(Y中心(%))
12. Noise Type , 12. Noise Type(12.噪音类型)
13. Channel(s) , 13. Channel(s)(13.通道)
13. Noise Type , 13. Noise Type(13.噪音类型)
28. Hue Offset , 28. Hue Offset(28.色相偏移)
36. Hue Offset , 36. Hue Offset(36.色相偏移)
37. Channel(s) , 37. Channel(s)(37.通道)
51. Smoothness , 51. Smoothness(51.平滑度)
6.  Smoothness , 6.  Smoothness(6.平滑度)
A-Color Factor , A-Color Factor(A色因素)
Absolute Value , Absolute Value(绝对值)
Alignment Type , Alignment Type(对齐方式)
Analysis Scale , Analysis Scale(解析规模)
Auto-Threshold , Auto-Threshold(自动阈值)
B-Color Factor , B-Color Factor(B色因素)
Blindness Type , Blindness Type(失明类型)
Blue Rotations , Blue Rotations(蓝色旋转)
Blur Amplitude , Blur Amplitude(模糊幅度)
Blur Precision , Blur Precision(模糊精度)
Boost Contrast , Boost Contrast(增强对比度)
Border Opacity , Border Opacity(边界不透明度)
Border Outline , Border Outline(边框轮廓)
Boundaries (%) , Boundaries (%)(边界(%))
Brightness (%) , Brightness (%)(亮度(%))
Center X-Shift , Center X-Shift(中心X-位移)
Center Y-Shift , Center Y-Shift(中心Y-位移)
Centers Radius , Centers Radius(中心半径)
Color Blending , Color Blending(色彩混合)
Color Channels , Color Channels(色彩通道)
Color Midtones , Color Midtones(中间调颜色)
Color Strength , Color Strength(色彩强度)
Custom Formula , Custom Formula(自定义公式)
Darkness Level , Darkness Level(暗度等级)
Desaturate (%) , Desaturate (%)(降低饱和度 (%))
Descent Method , Descent Method(下降法)
Details Amount , Details Amount(明细金额)
Diffuse Shadow , Diffuse Shadow(弥漫阴影)
Dodge Strength , Dodge Strength(减淡力度)
Edge Influence , Edge Influence(边缘影响)
Edge Thickness , Edge Thickness(边缘宽度)
Edge Threshold , Edge Threshold(边缘阈值)
Enhance Detail , Enhance Detail(增强细节)
Expand Shadows , Expand Shadows(扩大阴影)
Fade Start (%) , Fade Start (%)(淡出开始(%))
Filled Circles , Filled Circles(实心圆)
Flip Tolerance , Flip Tolerance(翻转容差)
Fractal Points , Fractal Points(分形点)
