<b>Arrays & Tiles</b> , <b>Array e piastrelle</b>
Highlight , Evidenziare
Highlight (%) , Evidenziare (%)
Highlight Bloom , Evidenziare Bloom
Highlights , In evidenza
Highlights Abstraction , In evidenza l'astrazione
Highlights Brightness , Evidenzia la luminosità
Highlights Color Intensity , Evidenzia l'intensità del colore
Highlights Crossover Point , In evidenza Crossover Point
Highlights Hue , Caratteristiche principali Tonalità
Highlights Lightness , Evidenzia la leggerezza
Highlights Protection , Evidenzia la protezione
Highlights Selection , Selezione dei punti salienti
Highlights Threshold , Soglia in evidenza
Highlights Zone , Zone in evidenza
Highres CLUT , CLUT ad alta risoluzione
Histogram , Istogramma
Histogram Analysis , Analisi dell'istogramma
Histogram Transfer , Trasferimento dell'istogramma
Hokusai: The Great Wave , Hokusai: La Grande Onda
Homogeneity , Omogeneità
Hope Poster , Poster della speranza
Horisontal Length , Lunghezza orizzontale
Horizon Leveling (deg) , Livellamento all'orizzonte (deg)
Horizontal , Orizzontale
Horizontal (%) , Orizzontale (%)
Horizontal Amount , Importo orizzontale
Horizontal Array , Array orizzontale
Horizontal Blur , Sfocatura orizzontale
Horizontal Length , Lunghezza orizzontale
Horizontal Size (%) , Dimensione orizzontale (%)
Horizontal Stripes , Strisce orizzontali
Horizontal Tiles , Piastrelle orizzontali
Horizontal Warp Only , Solo ordito orizzontale
Horror Blue , Horror Blu
Hot , Caldo
Hot (256) , Caldo (256)
Hough Sketch , Schizzo di Hough
Hough Transform , Trasformazione del ramo
House , Casa
Householder , Proprietario di casa
HSI [all] , HSI [tutti]
HSI [Intensity] , HSI [Intensità]
HSL [all] , HSL [tutti]
HSL [Lightness] , HSL [Leggerezza]
HSL Adjustment , Regolazione HSL
HSV [all] , HSV [tutti]
HSV [Hue] , HSV [Tinta]
HSV [Saturation] , HSV [Saturazione]
HSV [Value] , HSV [Valore]
HSV Select , HSV Seleziona
Hue , Tinta
Hue (%) , Tonalità (%)
Hue Band , Tinta Band
Hue Factor , Fattore di tinta
Hue Lighten-Darken , Tinta Alleggerisci-Schiarisci-Schiarisci
Hue Max (%) , Tinta Max (%)
Hue Min (%) , Tinta Min (%)
Hue Offset , Tinta Offset
Hue Range , Gamma di tinte
Hue Shift , Spostamento della tonalità
Hue Smoothness , Tonalità L'uniformità della tinta
Human  2 , Umano 2
Human 1 , Umano 1
Human 2 , Umano 2
Hybrid Median - Medium Speed Softest Output , Mediana ibrida - Uscita morbida a media velocità
Hyper Droste , Iper Droste
Hypnosis , Ipnosi
Iain Noise Reduction 2019 , Iain Riduzione del rumore 2019
Iain's Fast Denoise , Lain's Fast Denoise
Identity , Identità
Ignore , Ignora
Ignore Current Aspect , Ignora l'aspetto corrente
Illuminate 2D Shape , Illuminate la forma 2D
Illumination , Illuminazione
Illustration Look , Illustrazione Guarda
Image , Immagine
Image + Background , Immagine + Sfondo
Image + Colors (2 Layers) , Immagine + colori (2 strati)
Image + Colors (Multi-Layers) , Immagine + colori (Multi-Layers)
Image Contour Dimensions , Dimensioni del contorno dell'immagine
Image Smoothness , Immagine scorrevolezza
Image to Grab Color from (.Png) , Immagine per prendere il colore da (.Png)
Image Weight , Peso dell'immagine
Import Data , Importazione dei dati
Import RGB-565 File , Importare il file RGB-565
Impulses 5x5 , Impulsi 5x5
Impulses 7x7 , Impulsi 7x7
Impulses 9x9 , Impulsi 9x9
Inch , Pollici
Include Opacity Layer , Includere lo strato di opacità
Increasing , Aumentare
Indoor Blue , Blu interno
Industrial 33 , Industriale 33
Influence of Color Samples (%) , Influenza dei campioni di colore (%)
Information , Informazioni
Init. Resolution , Init. Risoluzione
Init. Type , Init. Tipo
Init. With High Gradients Only , Init. Solo con gradienti alti
Initial Density , Densità iniziale
Initialization , Inizializzazione
Ink Wash , Lavaggio a inchiostro
Inner , Interno
Inner Fading , Dissolvenza interna
Inner Length , Lunghezza interna
Inner Radius , Raggio interno
Inner Radius (%) , Raggio interno (%)
Inner Shade , Ombra interna
Inpaint [Holes] , Vernice [Fori]
Inpaint [Morphological] , Vernice [Morfologica]
Inpaint [Multi-Scale] , Vernice [Multi-scala]
Inpaint [Patch-Based] , Verniciatura [Patch-Based]
Inpaint [Transport-Diffusion] , Vernice [Trasportazione-diffusione]
Input , Ingresso
Input Folder , Cartella di ingresso
Input Frame Files Name , Nome del file del fotogramma in ingresso
Input Guide Color , Guida all'ingresso Colore
Input Layers , Strati di ingresso
Input Transparency , Trasparenza degli input
Input Type , Tipo di ingresso
Insert New CLUT Layer , Inserire il nuovo strato CLUT
Inside , All'interno
Inside Color , Colore interno
Inside-Out , Dentro-Esterno
Instant [Consumer] (54) , Istante [Consumatore] (54)
Instant [Pro] (68) , Istantanea [Pro] (68)
Intensity , Intensità
Intensity of Purple Fringe , Intensità della frangia viola
Inter-Frames , Inter-Frame
Interlace Horizontal , Interlacciamento orizzontale
Interlace Vertical , Intreccio verticale
Interpolation , Interpolazione
Interpolation Type , Tipo di interpolazione
Inverse , Inversa
Inverse Depth Map , Mappa profondità inversa
Inverse Radius , Raggio inverso
Inverse Transform , Trasformazione inversa
Inversions , Inversioni
Invert Background / Foreground , Invertire lo sfondo / Primo piano
Invert Blur , Invertire la sfocatura
Invert Canvas Colors , Invertire i colori della tela
Invert Colors , Invertire i colori
Invert Image Colors , Invertire i colori delle immagini
Invert Luminance , Invertire la luminanza
Invert Mask , Invertire la maschera
Isophotes , Isofotografie
Isotropic , Isotropo
Iteration , Iterazione
Iterations , Iterazioni
Japanese Maple Leaf , Foglia d'acero giapponese
Jet (256) , Getto (256)
JPEG Artefacts , Artefatti JPEG
JPEG Smooth , JPEG Liscio
Just Peachy , Solo Peachy
K-Factor , Fattore K
K-Tone Vintage Kodachrome , K-Tone Kodachrome d'epoca
Kaleidoscope [Blended] , Caleidoscopio [Blended]
Kaleidoscope [Polar] , Caleidoscopio [Polare]
Kaleidoscope [Symmetry] , Caleidoscopio [Simmetria]
Kandinsky: Squares with Concentric Circles , Kandinsky: Quadrati con cerchi concentrici
Kandinsky: Yellow-Red-Blue , Kandinsky: Giallo-Rosso-Blu
Keep , Conservare
Keep Aspect Ratio , Mantenere il rapporto di aspetto
Keep Base Layer as Input Background , Mantenere lo strato di base come sfondo di ingresso
Keep Borders Square , Mantenere la piazza dei confini
Keep Color Channels , Mantenere i canali di colore
Keep Colors , Conservare i colori
Keep Detail , Conservare il dettaglio
Keep Detail Layer Separate , Tenere separato lo strato di dettaglio
Keep Iterations as Different Layers , Mantenere le iterazioni come strati diversi
Keep Layers Separate , Mantenere gli strati separati
Keep Original Image Size , Mantenere la dimensione originale dell'immagine
Keep Original Layer , Mantenere lo strato originale
Keep Tiles Square , Mantenere la piazza delle piastrelle
Keep Transparency in Output , Mantenere la trasparenza nella produzione
Kernel Multiplier , Moltiplicatore del kernel
Kernel Type , Tipo di kernel
Key Factor , Fattore chiave
Key Frame Rate , Frame rate chiave
Key Shift , Spostamento dei tasti
Key Smoothness , Principale scorrevolezza
Keypoint Influence (%) , Influenza dei punti chiave (%)
Klee: Death and Fire , Klee: Morte e fuoco
Klee: In the Style of Kairouan , Klee: Nello stile di Kairouan
Klee: Polyphony 2 , Klee: Polifonia 2
Klee: Red Waistcoat , Klee: Gilet rosso
Klimt: The Kiss , Klimt: Il bacio
Kuwahara on Painting , Kuwahara sulla pittura
Kyler Holland (10) , Kyler Olanda (10)
Lab , Laboratorio
Lab (Chroma Only) , Laboratorio (solo croma)
Lab (Distinct) , Laboratorio (Distinto)
Lab (Luma Only) , Laboratorio (Solo Luma)
Lab (Luma/Chroma) , Laboratorio (Luma/Chroma)
Lab (Mixed) , Laboratorio (Misto)
Lab [a-Chrominance] , Laboratorio [a-Chrominance]
Lab [ab-Chrominances] , Laboratorio [ab-Crominanze]
Lab [all] , Laboratorio [tutti]
Lab [b-Chrominance] , Laboratorio [b-Crominanza]
Lab [Lightness] , Laboratorio [Leggerezza]
Landscape , Paesaggio
Landscape-1 , Paesaggio-1
Landscape-10 , Paesaggio-10
Landscape-2 , Paesaggio-2
Landscape-3 , Paesaggio-3
Landscape-4 , Paesaggio-4
Landscape-5 , Paesaggio-5
Landscape-6 , Paesaggio-6
Landscape-7 , Paesaggio-7
Landscape-8 , Paesaggio-8
Landscape-9 , Paesaggio-9
Laplacian , Laplaciano
Large , Grande
Large Noise , Rumore grande
Last , Ultimo
Last Frame , Ultimo fotogramma
Late Afternoon Wanderlust , Voglia di passeggiare nel tardo pomeriggio
Late Sunset , Tramonto tardivo
Lava Lamp , Lampada di lava
Layer , Strato
Layer Processing , Elaborazione dello strato
Layers to Tiles , Strati a Piastrelle
Lch [all] , Lch [tutti]
Lch [c-Chrominance] , Lch [c-Crominanza]
Lch [ch-Chrominances] , Lch [ch-Crominanze]
Lch [h-Chrominance] , Lch [h-Crominanza]
Leaf , Foglia
Leaf Color , Colore della foglia
Leaf Opacity (%) , Opacità della foglia (%)
Leak Type , Tipo di perdita
Left , A sinistra
Left  Foreground , Primo piano a sinistra
Left / Right Blur (%) , Sfocatura sinistra / destra (%)
Left and Right Background , Sfondo sinistro e destro
Left and Right Foreground , Primo piano a sinistra e a destra
Left and Right Image Streams , Flussi di immagini a sinistra e a destra
Left Diagonal Foreground , Primo piano diagonale a sinistra
Left Foreground , Primo piano a sinistra
Left Position , Posizione di sinistra
Left Side Orientation , Orientamento a sinistra
Left Slope , Pendenza a sinistra
Left Stream Only , Solo flusso a sinistra
Length , Lunghezza
Lenticular Density LPI , Densità lenticolare LPI
Lenticular Orientation , Orientamento lenticolare
Lenticular Print , Stampa lenticolare
Level , Livello
Level Frequency , Livello Frequenza
Levels , Livelli
Life Giving Tree , Albero della vita
Lifestyle & Commercial-1 , Stile di vita e commerciale-1
Lifestyle & Commercial-10 , Stile di vita e commerciale-10
Lifestyle & Commercial-2 , Stile di vita e commerciale-2
Lifestyle & Commercial-3 , Stile di vita e commerciale-3
Lifestyle & Commercial-4 , Stile di vita e commerciale-4
Lifestyle & Commercial-5 , Stile di vita e commerciale-5
Lifestyle & Commercial-6 , Stile di vita e commerciale-6
Lifestyle & Commercial-7 , Stile di vita e commerciale-7
Lifestyle & Commercial-8 , Stile di vita e commerciale-8
Lifestyle & Commercial-9 , Stile di vita e commerciale - 9
Light , Luce
Light (blown) , Luce (soffiato)
Light Angle , Angolo di luce
Light Color , Colore della luce
Light Direction , Direzione della luce
Light Effect , Effetto luce
Light Glow , Bagliore luminoso
Light Grey , Grigio chiaro
Light Leaks , Perdite di luce
Light Motive , Motivo della luce
Light Patch , Toppa di luce
Light Rays , Raggi di luce
Light Smoothness , Leggera scorrevolezza
Light Strength , Forza della luce
Light Type , Tipo di luce
Lighten , Alleggerisci
Lighten Edges , Alleggerire i bordi
Lighter , Accendino
Lighting , Illuminazione
Lighting Angle , Angolo di illuminazione
Lightness , Leggerezza
Lightness (%) , Leggerezza (%)
Lightness Factor , Fattore di leggerezza
Lightness Level , Livello di leggerezza
Lightness Max (%) , Leggerezza Max (%)
Lightness Min (%) , Leggerezza Min (%)
Lightness Shift , Spostamento della luminosità
Lightness Smoothness , Leggerezza Lussureggiante
Lightning , Fulmine
Lighty Smooth , Leggero Liscio
Limit Hue Range , Gamma di tonalità limite
Line , Linea
Line Opacity , Opacità della linea
Line Precision , Precisione di linea
Linear , Lineare
Linear Burn , Bruciatura lineare
Linear Light , Luce lineare
Linear RGB , RGB lineare
Linear RGB [All] , RGB lineare [Tutti]
Linear RGB [Blue] , RGB lineare [Blu]
Linear RGB [Green] , RGB lineare [Verde]
Linear RGB [Red] , RGB lineare [Rosso]
Linearity , Linearità
Lineart + Color Spots , Lineart + macchie di colore
Lineart + Color Spots + Extrapolated Colors , Lineart + macchie di colore + colori estrapolati
Lineart + Colors , Lineart + Colori
Lineart + Extrapolated Colors , Lineart + colori estrapolati
Lines , Linee
Lines (256) , Linee (256)
Lion , Leone
Lissajous [Animated] , Lissajous [Animato]
Lissajous Spiral , Spirale di Lissajous
Little , Piccolo
Little Blue , Piccolo Blu
Little Cyan , Il piccolo Ciano
Little Green , Piccolo verde
Little Key , Piccola chiave
Little Magenta , Il piccolo Magenta
Little Red , Piccolo rosso
Little Yellow , Piccolo Giallo
LN Amplititude , LN Amplificazione
LN Amplitude , LN Ampiezza
LN Average-Smoothness , LN Media-levigatezza
LN Size , Dimensione LN
Local  Normalisation , Normalizzazione locale
Local Contrast , Contrasto locale
Local Contrast Effect , Effetto di contrasto locale
Local Contrast Enhance , Miglioramento del contrasto locale
Local Contrast Enhancement , Miglioramento del contrasto locale
Local Contrast Style , Stile di contrasto locale
Local Detail Enhancer , Miglioratore di dettaglio locale
Local Normalization , Normalizzazione locale
Local Orientation , Orientamento locale
Local Processing , Elaborazione locale
Local Similarity Mask , Maschera di somiglianza locale
Local Variance Normalization , Normalizzazione delle varianti locali
Lock Return Scaling to Source Layer , Bloccare la scala di ritorno al livello di origine
Lock Source , Bloccare la fonte
Lock Uniform Sampling , Bloccare il campionamento uniforme
Logarithmic Distortion , Distorsione logaritmica
Logarithmic Distortion Axis Combination for X-Axis , Combinazione di assi di distorsione logaritmica per l'asse X
Logarithmic Distortion Axis Combination for Y-Axis , Combinazione di assi di distorsione logaritmica per l'asse Y
Logarithmic Distortion X-Axis Direction , Distorsione logaritmica Direzione asse X
Logarithmic Distortion Y-Axis Direction , Distorsione logaritmica Direzione asse Y
Lookup , Cerca su
Lookup Factor , Fattore di ricerca
Lookup Size , Dimensione di ricerca
Loop Method , Metodo del ciclo
Low , Basso
Low Bias , Bassa polarizzazione
Low Contrast Blue , Blu a basso contrasto
Low Frequency , Bassa frequenza
Low Frequency Layer , Strato a bassa frequenza
Low Key , Tasto basso
Low Key 01 , Tasto basso 01
Low Scale , Scala bassa
Low Value , Basso valore
Lower Layer Is the Bottom Layer for All Blends , Lo strato inferiore è lo strato inferiore per tutte le miscele
Lower Mask Threshold (%) , Soglia inferiore della maschera (%)
Lower Side Orientation , Orientamento laterale inferiore
Lowercase Letters , Lettere minuscole
Lowlights Crossover Point , Punto di incrocio dei fari bassi
Lucky 64 , Fortunato 64
Luma Noise , Rumore di Luma
Luminance , Luminanza
Luminance Factor , Fattore di luminanza
Luminance Level , Livello di luminanza
Luminance Only , Solo luminanza
Luminance Only (Lab) , Solo luminanza (laboratorio)
Luminance Only (YCbCr) , Solo luminanza (YCbCr)
Luminance Shift , Spostamento di luminanza
Luminance Smoothness , Luminanza Levigatezza
Luminosity from Color , Luminosità da Colore
Luminosity Type , Tipo di luminosità
Lush Green Summer , Estate verde e rigogliosa
LUTs Pack , Pacchetto LUTs
Lylejk's Painting , La pittura di Lylejk
Magenta Coffee , Caffè Magenta
Magenta Day , Giorno di Magenta
Magenta Day 01 , Magenta Giorno 01
Magenta Dream , Sogno Magenta
Magenta Factor , Fattore Magenta
Magenta Smoothness , Levigatezza magenta
Magenta Yellow , Giallo magenta
Magenta-Yellow , Magenta-giallo
Magic Details , Dettagli magici
Magnitude / Phase , Magnitudine / Fase
Mail , Posta
Make Hue Depends on Region Size , La tonalità dipende dalla dimensione della regione
Make Seamless [Diffusion] , Fare senza soluzione di continuità [Diffusione]
Make Seamless [Patch-Based] , Fare senza soluzione di continuità [Patch-Based]
Make Squiggly , Fai Squiggly
Make Up , Trucco
Manual , Manuale
Manual Controls , Controlli manuali
Map , Mappa
Map Tones , Toni della mappa
Mapping , Mappatura
Marble , Marmo
Margin (%) , Margine (%)
Mascot Image , Mascotte Immagine
Masculine , Maschile
Mask , Maschera
Mask + Background , Maschera + Sfondo
Mask as Bottom Layer , Maschera come strato inferiore
Mask By , Maschera di
Mask Color , Colore della maschera
Mask Contrast , Contrasto della maschera
Mask Creator , Creatore di maschere
Mask Dilation , Dilatazione della maschera
Mask Size , Dimensione della maschera
Mask Smoothness (%) , Levigatezza della maschera (%)
Mask Type , Tipo di maschera
Masked Image , Immagine mascherata
Masking , Mascheramento
MasterOpacity , MasterOpacità
Match Colors With , Abbina i colori con
Matching Precision (Smaller Is Faster) , Precisione di corrispondenza (più piccolo è più veloce)
Math Symbols , Simboli matematici
Matrix , Matrice
Max Angle , Angolo massimo
Max Angle Deviation (deg) , Deviazione massima dell'angolo (deg)
Max Area , Area massima
Max Curve , Curva massima
Max Cut (%) , Taglio massimo (%)
Max Iterations , Iterazioni massime
Max Length (%) , Lunghezza massima (%)
Max Offset (%) , Offset massimo (%)
Max Radius , Raggio massimo
Max Threshold , Soglia massima
Maximal Area , Area massima
Maximal Color Saturation , Saturazione massima del colore
Maximal Highlights , Massima evidenza
Maximal Radius , Raggio massimo
Maximal Seams per Iteration (%) , Cuciture massime per ogni iterazione (%)
Maximal Size , Dimensione massima
Maximal Value , Valore massimo
Maximum , Massimo
Maximum Dimension , Dimensione massima
Maximum Image Size , Dimensione massima dell'immagine
Maximum Number of Image Colors , Numero massimo di colori dell'immagine
Maximum Number of Output Layers , Numero massimo di strati di uscita
Maximum Red:Blue Ratio in the Fringe , Rapporto massimo Rosso:Blu nella frangia
Maximum Saturation , Saturazione massima
Maximum Size Factor , Fattore di dimensione massima
Maximum Value , Valore massimo
Maze , Labirinto
Maze Type , Tipo di labirinto
Mean Color , Colore medio
Mean Curvature , Curvatura media
Median , Mediana
Median (beware: Memory-Consuming!) , Mediana (attenzione: Consumo di memoria!)
Median Radius , Raggio mediano
Medium , Medio
Medium 3 , Medio 3
Medium Details Smoothness , Medio Dettagli Liscio
Medium Details Threshold , Medio Dettagli Soglia
Medium Frequency Layer , Strato a media frequenza
Medium Scale (Original) , Scala media (originale)
Medium Scale (Smoothed) , Scala media (levigato)
Memories , Ricordi
Merge Brightness / Colors , Unire Luminosità / Colori
Merge Layers? , Unire gli strati?
Merging Mode , Modalità di fusione
Merging Option , Opzione di fusione
Merging Steps , Fasi di fusione
Mess with Bits , Giochi con i bit
Metal , Metallo
Metallic Look , Look metallico
Method , Metodo
Metric , Metrico
Micro/macro Details  Adjusted , Dettagli Micro/macro regolati
Mid , Metà
Mid Grey , Grigio medio
Mid Noise , Rumore medio
Mid Offset , Offset medio
Mid Tone Contrast , Contrasto di tono medio
Mid-Dark Grey , Grigio scuro
Mid-Light Grey , Grigio Medio-Luce
Middle Grey , Grigio Medio
Middle Scale , Scala media
Midtones Brightness , Midtones Luminosità
Midtones Color Intensity , Intensità del colore dei mezzitoni
Midtones Hue , Tonalità Midtones
Mighty Details , Dettagli
Min Angle Deviation (deg) , Deviazione minima dell'angolo (deg)
Min Area % , Area min.
Min Cut (%) , Taglio minimo (%)
Min Length (%) , Lunghezza minima (%)
Min Offset (%) , Offset minimo (%)
Min Radius , Raggio minimo
Min Threshold , Soglia minima
Mineral Mosaic , Mosaico minerale
Minesweeper , Spazzacamino
Minimal Area , Area minima
Minimal Area (%) , Area minima (%)
Minimal Color Intensity , Intensità di colore minima
Minimal Path , Percorso minimo
Minimal Radius , Raggio minimo
Minimal Region Area , Area geografica minima
Minimal Scale (%) , Scala minima (%)
Minimal Shape Area , Area di forma minima
Minimal Size , Dimensione minima
Minimal Size (%) , Dimensione minima (%)
Minimal Stroke Length , Lunghezza minima della corsa
Minimal Value , Valore minimo
Minimalist Caffeination , Caffeinazione minimalista
Minimum , Minimo
Minimum Brightness , Luminosità minima
Minimum Red:Blue Ratio in the Fringe , Rapporto minimo Rosso:Blu nella frangia
Mirror , Specchio
Mirror Effect , Effetto Specchio
Mirror X , Specchio X
Mirror Y , Specchio Y
Mirror-X , Specchio-X
Mirror-XY , Specchio-XY
Mixed Mode , Modo misto
Mixer [CMYK] , Miscelatore [CMYK]
Mixer [HSV] , Miscelatore [HSV]
Mixer [Lab] , Miscelatore [Lab]
Mixer [PCA] , Miscelatore [PCA]
Mixer [RGB] , Miscelatore [RGB]
Mixer [YCbCr] , Miscelatore [YCbCr]
Mixer Mode , Modalità Mixer
Mixer Style , Stile Mixer
Mode , Modalità
Modern Film , Film moderno
Modulo Value , Modulo Valore
Moir&eacute; Animation , Moir&eacute; Animazione
Moire Removal , Rimozione di Moire
Moire Removal Method , Metodo di rimozione della moiré
Mona Lisa , Monna Lisa
Mondrian: Composition in Red-Yellow-Blue , Mondrian: Composizione in rosso-giallo-blu
Mondrian: Evening; Red Tree , Mondrian: Sera; Albero Rosso
Mondrian: Gray Tree , Mondrian: Albero grigio
Monet: San Giorgio Maggiore at Dusk , Monet: San Giorgio Maggiore al crepuscolo
Monet: Water-Lily Pond , Monet: Stagno delle ninfee
Monet: Wheatstacks - End of Summer , Monet: Pagliacci di grano - Fine estate
Monkey , Scimmia
Mono Tinted , Mono Tinto
Mono+Ye , Mono+Sì
Mono-Directional , Mono-Direzionale
Monochrome , Monocromatico
Monochrome 1 , Monocromatico 1
Monochrome 2 , Monocromatico 2
Montage , Montaggio
Montage Type , Tipo di montaggio
Moonlight 01 , Chiaro di luna 01
Morning 6 , Mattina 6
Morph [Interactive] , Morph [Interattivo]
Morph Layers , Strati morfici
Morphological - Fastest Sharpest Output , Morfologico - Uscita più veloce e più nitida
Morphological Closing , Chiusura morfologica
Morphological Filter , Filtro morfologico
Morphology Painting , Morfologia Pittura
Morphology Strength , Morfologia Forza
Mosaic , Mosaico
Most , La maggior parte
Mostly Blue , Per lo più blu
Motion Analyzer , Analizzatore di movimento
Motion-Compensated , Compensati dal movimento
Much , Molto
Much Blue , Molto blu
Much Green , Molto verde
Much Red , Molto rosso
Multi-Layer Etch , Acquaforte a più strati
Multiple Colored Shapes Over Transp. BG , Forme multiple colorate su Transp. BG
Multiple Layers , Strati multipli
Multiplier , Moltiplicatore
Multiply , Moltiplicare
Multiscale Operator , Operatore multiscala
Munch: The Scream , Munch: L'urlo
Muted 01 , Silenzioso 01
Muted Fade , Dissolvenza silenziosa
Mystic Purple Sunset , Tramonto Mistico Viola
Name , Nome
Natural (vivid) , Naturale (vivido)
Nature & Wildlife-1 , Natura e fauna selvatica-1
Nature & Wildlife-10 , Natura e fauna selvatica-10
Nature & Wildlife-2 , Natura e fauna selvatica-2
Nature & Wildlife-3 , Natura e fauna selvatica-3
Nature & Wildlife-4 , Natura e fauna selvatica-4
Nature & Wildlife-5 , Natura e fauna selvatica-5
Nature & Wildlife-6 , Natura e fauna selvatica6
Nature & Wildlife-7 , Natura e fauna selvatica-7
Nature & Wildlife-8 , Natura e fauna selvatica-8
Nature & Wildlife-9 , Natura e fauna selvatica-9
Nb Circles Surrounding , Nb Circoli circostanti
Near Black , Vicino al Nero
Nearest , Il più vicino
Nearest Neighbor , Vicino più vicino
Neat Merge , Fusione ordinata
Nebulous , Nebuloso
Negate , Negare
Negation , Negazione
Negative , Negativo
Negative [Color] (13) , Negativo [Colore] (13)
Negative [New] (39) , Negativo [Nuovo] (39)
Negative [Old] (44) , Negativo [Vecchio] (44)
Negative Color Abstraction , Astrazione del colore negativo
Negative Colors , Colori negativi
Negative Effect , Effetto negativo
Neighborhood Size (%) , Dimensioni del quartiere (%)
Neighborhood Smoothness , Quartiere Smoothness
Neon Lightning , Fulmini al neon
Neutral Color , Colore neutro
Neutral Teal Orange , Alzavola neutra arancione
Neutral Warm Fade , Neutro Caldo Dissolvenza
New Curves [Interactive] , Nuove curve [Interattivo]
Newspaper , Giornale
Newton Fractal , Newton Frattale
Night 01 , Notte 01
Night Blade 4 , Lama da notte 4
Night From Day , Notte dal giorno
Night King 141 , Notte Re 141
Night Spy , Spia notturna
Nine Layers , Nove strati
No Masking , No Mascheramento
No Recovery , Nessun recupero
No Rescaling , Nessun ridimensionamento
No Transparency , Nessuna trasparenza
Noise , Rumore
Noise [Additive] , Rumore [Additivo]
Noise [Perlin] , Rumore [Perlin]
Noise [Spread] , Rumore [Diffusione]
Noise A , Rumore A
Noise B , Rumore B
Noise C , Rumore C
Noise D , Rumore D
Noise Level , Livello di rumore
Noise Scale , Scala del rumore
Noise Type , Tipo di rumore
Non-Linearity , Non linearità
Non-Rigid , Non-Rigido
None , Nessuno
None (Allows Multi-Layers) , Nessuno (Consente Multi-Layers)
None- Skip , None- Salta
Norm Type , Tipo di norma
Normal , Normale
Normal Map , Mappa normale
Normal Output , Uscita normale
Normalization , Normalizzazione
Normalize , Normalizzare
Normalize Brightness , Normalizzare la luminosità
Normalize Colors , Normalizzare i colori
Normalize Illumination , Normalizzare l'illuminazione
Normalize Input , Normalizzare l'ingresso
Normalize Luma , Normalizzare Luma
Normalize Scales , Normalizzare le scale
Nostalgia Honey , Nostalgia Miele
Nostalgic , Nostalgico
Nothing , Niente
Number , Numero
Number of Added Frames , Numero di fotogrammi aggiunti
Number of Angles , Numero di angoli
Number of Clusters , Numero di cluster
Number of Colors , Numero di colori
Number of Frames , Numero di fotogrammi
Number of Inter-Frames , Numero di Inter-Frame
Number of Iterations per Scale , Numero di iterazioni per scala
Number of Key-Frames , Numero di fotogrammi chiave
Number of Levels , Numero di livelli
Number of Matches (Coarsest) , Numero di partite (più grossolano)
Number of Matches (Finest) , Numero di partite (Finest)
Number of Orientations , Numero di Orientamenti
Number Of Rays , Numero di raggi
Number of Scales , Numero di Bilance
Number of Sizes , Numero di dimensioni
Number of Streaks , Numero di strisce
Number of Teeth , Numero di denti
Number of Tones , Numero di toni
Object Animation , Animazione dell'oggetto
Object Ratio , Rapporto oggetto
Object Tolerance , Tolleranza dell'oggetto
Octagon , Ottagono
Octagonal , Ottagonale
Octaves , Ottave
Oddness (%) , Stranezza (%)
Offset Angle Rays Layer 1 , Offset Angolo Raggi Offset Layer 1
Offset Angle Rays Layer 2 , Offset Angolo Raggi Offset Layer 2
Old Method - Slowest , Vecchio metodo - Il più lento
Old Photograph , Vecchia fotografia
Old West , Vecchio West
Old-Movie Stripes , Strisce di vecchi film
ON1 Photography (90) , ON1 Fotografia (90)
Once Upon a Time , C'era una volta
One Layer , Uno strato
One Layer (Horizontal) , Uno strato (orizzontale)
One Layer (Vertical) , Uno strato (verticale)
One Layer per Single Color , Uno strato per ogni singolo colore
One Layer per Single Region , Un solo strato per singola regione
One Thread , Un filo
Only Leafs , Solo Foglie
Only Red , Solo rosso
Only Red and Blue , Solo rosso e blu
Opacity , Opacità
Opacity (%) , Opacità (%)
Opacity as Heightmap , Opacità come mappa delle altezze
Opacity Contours , Contorni di opacità
Opacity Factor , Fattore di opacità
Opacity Gain , Guadagno di opacità
Opacity Gamma , Opacità Gamma
Opacity Snowflake , Opacità Fiocco di neve
Opacity Threshold (%) , Soglia di opacità (%)
Opaque Pixels , Pixel opachi
Opaque Regions on Top Layer , Regioni opache sullo strato superiore
Opaque Skin , Pelle opaca
Open Interactive Preview , Apri l'intervista interattiva
Opening , Apertura
Operation Yellow , Operazione Giallo
Operator , Operatore
Opposing , Contrariamente a
Optimized Lateral Inhibition , Inibizione laterale ottimizzata
Orange Dark 4 , Arancione scuro 4
Orange Dark 7 , Arancione scuro 7
Orange Dark Look , Arancione scuro
Orange Tone , Tono arancione
Orange Underexposed , Arancione Sottoesposto
Oranges , Arance
Order , Ordine
Order By , Ordina per
Orientation , Orientamento
Orientation Coherence , Coerenza di orientamento
Orientation Only , Solo orientamento
Orientations , Orientamenti
Original , Originale
Original - (Opening + Closing)/2 , Originale - (Apertura + Chiusura)/2
Original - Erosion , Originale - Erosione
Original - Opening , Originale - Apertura
Orthogonal Radius , Raggio ortogonale
Others (69) , Altri (69)
Ouline Color , Colore Oulina
Outer , Esterno
Outer Fading , Dissolvenza esterna
Outer Length , Lunghezza esterna
Outer Radius , Raggio esterno
Outline (%) , Schema (%)
Outline Color , Colore del contorno
Outline Contrast , Contorno Contrasto
Outline Opacity , Opacità del contorno
Outline Size , Dimensione del contorno
Outline Smoothness , Contorno Liscio come l'olio
Outline Thickness , Spessore del contorno
Outlined , In evidenza
Output , Uscita
Output As , Uscita come
Output as Files , Output come file
Output as Frames , Uscita come Frame
Output as Multiple Layers , Uscita come strati multipli
