<b>Arrays & Tiles</b> , <b>Arrays und Kacheln</b>
Glamour Glow , Glamour-Glanz
Global Mapping , Globale Kartierung
Glow , Glühen
Gmicky & Wilber (by Mahvin) , Gmicky & Wilber (von Mahvin)
Gmicky (by Deevad) , Gmicky (von Deevad)
Gmicky (by Mahvin) , Gmicky (von Mahvin)
Gmicky (Deevad) , Gmicky (Tot)
Going for a Walk , Spazieren gehen
Golden , Goldene
Golden (bright) , Golden (hell)
Golden (fade) , Golden (verblassen)
Golden (vibrant) , Golden (lebhaft)
Golden Gate , Goldene Pforte
Golden Night Softner 43 , Goldene Nacht Weicher 43
Golden Sony 37 , Goldene Sony 37
GoldFX - Bright Spring Breeze , GoldFX - Helle Frühlingsbrise
GoldFX - Bright Summer Heat , GoldFX - Helle Sommerhitze
GoldFX - Hot Summer Heat , GoldFX - Heiße Sommerhitze
GoldFX - Perfect Sunset 01min , GoldFX - Perfekter Sonnenuntergang 01min
GoldFX - Perfect Sunset 05min , GoldFX - Perfekter Sonnenuntergang 05min
GoldFX - Perfect Sunset 10min , GoldFX - Perfekter Sonnenuntergang 10min
GoldFX - Spring Breeze , GoldFX - Frühlingsbrise
GoldFX - Summer Heat , GoldFX - Sommerhitze
Good Morning , Guten Morgen
GradienNormLinearity , GradienNormLinearität
GradienNormSmoothness , GradienNormGlätte
Gradient , Steigung
Gradient [Corners] , Steigung [Ecken]
Gradient [Custom Shape] , Farbverlauf [Benutzerdefinierte Form]
Gradient [from Line] , Steigung [von der Linie]
Gradient [Radial] , Steigung [Radial]
Gradient [Random] , Gradient [Zufällig]
Gradient Norm , Gradienten-Norm
Gradient Preset , Gradienten-Voreinstellung
Gradient RGB , Farbverlauf RGB
Gradient Smoothness , Gradienten-Glätte
Gradient Values , Gradienten-Werte
Grain , Getreide
Grain (Highlights) , Getreide (Highlights)
Grain (Midtones) , Korn (Mitteltöne)
Grain (Shadows) , Korn (Schatten)
Grain Extract , Getreide-Extrakt
Grain Merge , Getreide-Zusammenführung
Grain Only , Nur Korn
Grain Scale , Korn-Skala
Grain Tone Fading , Korntonverblassung
Grain Type , Getreideart
Grainextract , Getreide-Extrakt
Grainmerge , Getreidemüllerei
Granularity , Granularität
Graphic Boost , Grafische Verstärkung
Graphic Colours , Grafische Farben
Graphic Novel , Graphischer Roman
Graphix Colors , Graphix-Farben
Grayscale , Graustufen
Greece , Griechenland
Green , Grün
Green 15 , Grün 15
Green 2025 , Grün 2025
Green Action , Grüne Aktion
Green Afternoon , Grüner Nachmittag
Green Blues , Grün Blau
Green Conflict , Grüner Konflikt
Green Day 01 , Grüner Tag 01
Green Day 02 , Grüner Tag 02
Green Factor , Grüner Faktor
Green G09 , Grün G09
Green Indoor , Grün Innen
Green Level , Grüne Ebene
Green Light , Grünes Licht
Green Mono , Grüner Mono
Green Rotations , Grüne Rotationen
Green Shift , Grüne Verschiebung
Green Smoothness , Grüne Glätte
Green Wavelength , Grüne Wellenlänge
Green Yellow , Grün Gelb
Green-Blue , Grün-Blau
Green-Red , Grün-Rot
Greenish Contrasty , Grünliche Kontraste
Greenish Fade , Grünliches Verblassen
Greenish Fade 1 , Grünliche Verblassung 1
Grey , Grau
Greyscale , Graustufen
Grid , Raster
Grid [Cartesian] , Gitter [kartesisch]
Grid [Hexagonal] , Gitter [Sechseckig]
Grid [Triangular] , Gitter [Dreieckig]
Grid Divisions , Gitternetz-Abteilungen
Grid Smoothing , Gitterglättung
Grid Width , Breite des Gitters
Gritty , Düster
Grow Alpha , Alpha wachsen lassen
Guide As , Leitfaden als
Guide Mix , Leitfaden-Mix
Guide Recovery , Leitfaden Wiederherstellung
Gum Leaf , Zahnfleisch-Blatt
Gyroid , Kreisel
H Cutoff , H-Abschaltung
Hackmanite , Hackmanit
Hair Locks , Haarschlösser
HaldCLUT Filename , HaldCLUT-Dateiname
Half Bottom/top , Halb Unten/Oben
Half Side  by Side , Halbe Seite an Seite
Halftone , Halbton
Halftone Shapes , Halbton-Formen
Hanoi Tower , Hanoi-Turm
Happyness 133 , Fröhlichkeit 133
Hard , Hart
Hard Dark , Harte Dunkelheit
Hard Light , Hartes Licht
Hard Mix , Harte Mischung
Hard Sketch , Harte Skizze
Hard Teal Orange , Harte Krickente Orange
Hardlight , Hartes Licht
Harsh Day , Harter Tag
Harsh Sunset , Harter Sonnenuntergang
HDR Effect (Tone Map) , HDR-Effekt (Tone Map)
Heart , Herz
Hearts , Herzen
Hearts (Outline) , Herzen (Umriss)
Hedcut (Experimental) , Heckenschnitt (experimentell)
Height , Höhe
Height (%) , Höhe (%)
Herderite , Herderit
Hexagon , Sechseck
Hexagonal , Sechseckig
Hiddenite , Versteckte Seite
High , Hoch
High (Slower) , Hoch (langsamer)
High Frequency , Hohe Frequenz
High Frequency Layer , Hochfrequenzschicht
High Key , Hohe Tonart
High Pass , Hoher Pass
High Quality , Hohe Qualität
High Scale , Hohe Skala
High Speed , Hohe Geschwindigkeit
High Value , Hoher Wert
Higher Mask Threshold (%) , Höhere Maskenschwelle (%)
Highlight , Hervorheben
Highlight (%) , Hervorhebung (%)
Highlight Bloom , Blüte hervorheben
Highlights , Höhepunkte
Highlights Abstraction , Highlights Abstraktion
Highlights Brightness , Highlights Helligkeit
Highlights Color Intensity , Highlights Farbintensität
Highlights Crossover Point , Highlights Kreuzungspunkt
Highlights Hue , Highlights Farbton
Highlights Lightness , Highlights Leichtigkeit
Highlights Protection , Highlights Schutz
Highlights Selection , Auswahl der Highlights
Highlights Threshold , Highlights Schwelle
Highlights Zone , Höhepunkte Zone
Histogram , Histogramm
Histogram Analysis , Histogramm-Analyse
Histogram Transfer , Histogramm-Übertragung
Hokusai: The Great Wave , Hokusai: Die Große Welle
Homogeneity , Homogenität
Hong Kong , Hongkong
Hope Poster , Poster Hoffnung
Horisontal Length , Horisontale Länge
Horizon Leveling (deg) , Horizontnivellierung (Grad)
Horizontal Amount , Horizontaler Betrag
Horizontal Array , Horizontale Anordnung
Horizontal Blur , Horizontale Unschärfe
Horizontal Length , Horizontale Länge
Horizontal Size (%) , Horizontale Größe (%)
Horizontal Stripes , Horizontale Streifen
Horizontal Tiles , Horizontale Kacheln
Horizontal Warp Only , Nur Horizontalkette
Horror Blue , Schreckensblau
Hot , Aktuell
Hot (256) , Heiß (256)
Hough Sketch , Hough-Skizze
Hough Transform , Hough-Transformation
House , Haus
Householder , Hausbesitzer
HSI [all] , HSI [alle]
HSI [Intensity] , HSI [Intensität]
HSL [all] , HSL [alle]
HSL [Lightness] , HSL [Leichtigkeit]
HSL Adjustment , HSL-Anpassung
HSV [all] , HSV [alle]
HSV [Hue] , HSV [Farbton]
HSV [Saturation] , HSV [Sättigung]
HSV [Value] , HSV [Wert]
HSV Select , HSV-Auswahl
Hue , Farbton
Hue (%) , Farbton (%)
Hue Band , Farbton-Band
Hue Factor , Farbton-Faktor
Hue Lighten-Darken , Farbton Aufhellen-Dunkeln
Hue Max (%) , Farbton Max (%)
Hue Min (%) , Farbton Min (%)
Hue Offset , Farbton-Versatz
Hue Range , Farbton-Bereich
Hue Shift , Farbton-Verschiebung
Hue Smoothness , Farbton Glätte
Human  2 , Menschlich 2
Human 1 , Mensch 1
Human 2 , Menschlich 2
Hybrid Median - Medium Speed Softest Output , Hybrid Median - mittlere Geschwindigkeit - weichster Ausgang
Hypnosis , Hypnose
Iain Noise Reduction 2019 , Iain Lärmreduzierung 2019
Iain's Fast Denoise , Iains schnelle Denoise
Identity , Identität
Ignore , Ignorieren Sie
Ignore Current Aspect , Aktuellen Aspekt ignorieren
Ilford Delta 100 , Ilford-Delta 100
Ilford Delta 3200 , Ilford-Delta 3200
Ilford Delta 400 , Ilford-Delta 400
Illuminate 2D Shape , 2D-Form ausleuchten
Illustration Look , Illustration Aussehen
Image , Bild
Image + Background , Bild + Hintergrund
Image + Colors (2 Layers) , Bild + Farben (2 Ebenen)
Image + Colors (Multi-Layers) , Bild + Farben (mehrschichtig)
Image Contour Dimensions , Abmessungen der Bildkontur
Image Smoothness , Bildglätte
Image to Grab Color from (.Png) , Bild zum Farbabzug aus (.Png)
Image Weight , Bildgewicht
Import Data , Daten importieren
Import RGB-565 File , RGB-565-Datei importieren
Impulses 5x5 , Impulse 5x5
Impulses 7x7 , Impulse 7x7
Impulses 9x9 , Impulse 9x9
Inch , Zoll
Include Opacity Layer , Deckkraft-Ebene einschließen
IncreaseChroma1 , ZunahmeChroma1
Increasing , Zunehmend
Indoor Blue , Innenbereich Blau
Industrial 33 , Industrielle 33
Influence of Color Samples (%) , Einfluss von Farbmustern (%)
Information , Informationen
Init. Resolution , Init. Entschließung
Init. Type , Init. Geben Sie  ein.
Init. With High Gradients Only , Init. Nur mit hohen Gradienten
Initial Density , Anfangs-Dichte
Initialization , Initialisierung
Ink Wash , Tintenwäsche
Inner Fading , Inneres Verblassen
Inner Length , Innere Länge
Inner Radius , Innerer Radius
Inner Radius (%) , Innerer Radius (%)
Inner Shade , Innere Schattierung
Inpaint [Holes] , Farbe [Löcher]
Inpaint [Morphological] , Farbe [Morphologisch]
Inpaint [Multi-Scale] , Farbe [Multi-Scale]
Inpaint [Patch-Based] , Farbe [Patch-basiert]
Inpaint [Transport-Diffusion] , Farbe [Transport-Diffusion]
Input , Eingabe
Input Folder , Eingabe-Ordner
Input Frame Files Name , Name der Eingabe-Rahmendateien
Input Guide Color , Farbe der Eingabehilfe
Input Layers , Eingabe-Ebenen
Input Transparency , Eingabe-Transparenz
Input Type , Eingabe-Typ
Insert New CLUT Layer , Neue CLUT-Schicht einfügen
Inside , Innenseite
Inside Color , Innenfarbe
Inside-Out , Innen-Außen
Instant [Consumer] (54) , Sofort [Verbraucher] (54)
Instant [Pro] (68) , Sofort [Pro] (68)
Intarsia , Intarsien
Intensity , Intensität
Intensity of Purple Fringe , Intensität des Purpursaums
Interlace Horizontal , Horizontal verschachteln
Interlace Vertical , Vertikal verschachteln
Interpolate , Interpolieren Sie
Interpolation Type , Interpolationstyp
Inverse , Umgekehrt
Inverse Depth Map , Karte der inversen Tiefe
Inverse Radius , Inverser Radius
Inverse Transform , Inverse Transformation
Inversions , Umkehrungen
Invert Background / Foreground , Hintergrund / Vordergrund umkehren
Invert Blur , Unschärfe umkehren
Invert Canvas Colors , Leinwandfarben umkehren
Invert Colors , Farben umkehren
Invert Image Colors , Bildfarben umkehren
Invert Luminance , Leuchtdichte umkehren
Invert Mask , Maske umkehren
Inward , Einwärts
Isophotes , Isophoten
Isotropic , Isotropisch
Iterations , Iterationen
Japanese Maple Leaf , Japanisches Ahornblatt
Jawbreaker , Kieferbrecher
Jet (256) , Strahl (256)
JPEG Artefacts , JPEG-Artefakte
JPEG Smooth , JPEG-glatt
Just Peachy , Nur Pfirsich
K-Factor , K-Faktor
K-Tone Vintage Kodachrome , K-Ton-Vintage-Kodachrome
Kaleidoscope [Blended] , Kaleidoskop [gemischt]
Kaleidoscope [Polar] , Kaleidoskop [Polar]
Kaleidoscope [Symmetry] , Kaleidoskop [Symmetrie]
Kandinsky: Squares with Concentric Circles , Kandinsky: Quadrate mit konzentrischen Kreisen
Kandinsky: Yellow-Red-Blue , Kandinsky: Gelb-Rot-Blau
Keep , behalten
Keep Aspect Ratio , Aspect Ratio beibehalten
Keep Base Layer as Input Background , Basisschicht als Eingabehintergrund beibehalten
Keep Borders Square , Grenzen im Quadrat halten
Keep Color Channels , Farbkanäle beibehalten
Keep Colors , Farben behalten
Keep Detail , Details behalten
Keep Detail Layer Separate , Detailebene getrennt halten
Keep Iterations as Different Layers , Iterationen als verschiedene Schichten beibehalten
Keep Layers Separate , Ebenen getrennt halten
Keep Original Image Size , Originalbildgröße beibehalten
Keep Original Layer , Originalebene beibehalten
Keep Tiles Square , Fliesen quadratisch halten
Keep Transparency in Output , Transparenz bei der Ausgabe bewahren
Kernel Multiplier , Kernel-Vervielfacher
Kernel Type , Kernel-Typ
Key Factor , Schlüsselfaktor
Key Frame Rate , Schlüssel-Bildfrequenz
Key Shift , Taste Shift
Key Smoothness , Schlüssel-Glätte
Keypoint Influence (%) , Schlüsselfaktor Einfluss (%)
Kitaoka Spin Illusion , Kitaoka-Spin-Illusion
Klee: Death and Fire , Klee: Tod und Feuer
Klee: In the Style of Kairouan , Klee: Im Stil von Kairouan
Klee: Oriental Pleasure Garden Anagoria , Klee: Orientalischer Lustgarten Anagoria
Klee: Polyphony 2 , Klee: Polyphonie 2
Klee: Red Waistcoat , Klee: Rote Weste
Klimt: The Kiss , Klimt: Der Kuss
Kodak 2383 (Cuspclip) , Kodak 2383 (Halsklemme)
Kodak Elite Color 200 , Kodak Elite-Farbe 200
Kodak HIE (HS Infra) , Kodak HIE (HS-Infra)
Kodak Portra 160 , Kodak-Portrait 160
Kodak Portra 160 + , Kodak-Porträt 160 +
Kodak Portra 160 ++ , Kodak-Porträt 160 ++
Kodak Portra 160 - , Kodak-Portrait 160 -
Kodak Portra 160 NC , Kodak Hochformat 160 NC
Kodak Portra 160 NC + , Kodak Hochformat 160 NC +
Kodak Portra 160 NC ++ , Kodak Hochformat 160 NC ++
Kodak Portra 160 NC - , Kodak Portrait 160 NC -
Kodak Portra 160 VC , Kodak Hochformat 160 VC
Kodak Portra 160 VC + , Kodak Portrait 160 VC +
Kodak Portra 160 VC ++ , Kodak Hochformat 160 VC ++
Kodak Portra 160 VC - , Kodak Portrait 160 VC -
Kodak Portra 400 , Kodak-Portrait 400
Kodak Portra 400 + , Kodak-Portrait 400 +
Kodak Portra 400 ++ , Kodak-Portrait 400 ++
Kodak Portra 400 - , Kodak-Portrait 400 -
Kodak Portra 400 NC , Kodak Hochformat 400 NC
Kodak Portra 400 NC + , Kodak Hochformat 400 NC +
Kodak Portra 400 NC ++ , Kodak Hochformat 400 NC ++
Kodak Portra 400 NC - , Kodak Portrait 400 NC -
Kodak Portra 400 UC , Kodak Hochformat 400 UC
Kodak Portra 400 UC + , Kodak Portrait 400 UC +
Kodak Portra 400 UC ++ , Kodak Portrait 400 UC ++
Kodak Portra 400 UC - , Kodak Portrait 400 UC -
Kodak Portra 400 VC , Kodak Hochformat 400 VC
Kodak Portra 400 VC + , Kodak-Portrait 400 VC +
Kodak Portra 400 VC ++ , Kodak Hochformat 400 VC ++
Kodak Portra 400 VC - , Kodak Portrait 400 VC -
Kodak Portra 800 , Kodak-Portrait 800
Kodak Portra 800 + , Kodak-Portrait 800 +
Kodak Portra 800 ++ , Kodak-Portrait 800 ++
Kodak Portra 800 - , Kodak Portrait 800 -
Kodak Portra 800 HC , Kodak Hochformat 800 HC
Kuwahara on Painting , Kuwahara über Malerei
Lab , Labor
Lab (Chroma Only) , Labor (nur Chroma)
Lab (Distinct) , Labor (unterscheidbar)
Lab (Luma Only) , Labor (nur Luma)
Lab (Luma/Chroma) , Labor (Luma/Chroma)
Lab (Mixed) , Labor (gemischt)
Lab [a-Chrominance] , Labor [a-Chrominance]
Lab [ab-Chrominances] , Labor [ab-Chrominanzen]
Lab [all] , Labor [alle]
Lab [b-Chrominance] , Labor [b-Chrominance]
Lab [Lightness] , Labor [Leichtigkeit]
LAB-Lightness , LAB-Leichtigkeit
Landscape , Landschaft
Landscape-1 , Landschaft-1
Landscape-10 , Landschaft-10
Landscape-2 , Landschaft-2
Landscape-3 , Landschaft-3
Landscape-4 , Landschaft-4
Landscape-5 , Landschaft-5
Landscape-6 , Landschaft-6
Landscape-7 , Landschaft-7
Landscape-8 , Landschaft-8
Landscape-9 , Landschaft-9
Laplacian , Laplacianisch
Large , Groß
Large Noise , Großer Lärm
Last , Letzte
Last Frame , Letzter Frame
Late Afternoon Wanderlust , Fernweh am späten Nachmittag
Late Sunset , Später Sonnenuntergang
Lava Lamp , Lava-Lampe
Layer , Schicht
Layer Processing , Verarbeitung von Schichten
Layers to Tiles , Ebenen zu Kacheln
Lch [all] , Lch [alle]
Lch [ch-Chrominances] , Lch [ch-Chrominanzen]
Lch [h-Chrominance] , Lch [h-Chrominanz]
Leaf , Blatt
Leaf Color , Blattfarbe
Leaf Opacity (%) , Blatttrübung (%)
Leak Type , Leck-Typ
Left , Links
Left  Foreground , Links Vordergrund
Left / Right Blur (%) , Links / Rechts Unschärfe (%)
Left and Right Background , Linker und rechter Hintergrund
Left and Right Foreground , Linker und rechter Vordergrund
Left and Right Image Streams , Linker und rechter Bildstrom
Left Diagonal Foreground , Links Diagonal Vordergrund
Left Foreground , Links Vordergrund
Left Position , Linke Position
Left Side Orientation , Orientierung auf der linken Seite
Left Slope , Linke Neigung
Left Stream Only , Nur linker Stream
Length , Länge
Lenticular Density LPI , Linsenraster-Dichte LPI
Lenticular Orientation , Lentikulare Orientierung
Lenticular Print , Lentikulardruck
Level , Ebene
Level Frequency , Niveau Häufigkeit
Levels , Ebenen
Life Giving Tree , Lebensspendender Baum
Lifestyle & Commercial-1 , Lebensstil & Kommerziell-1
Lifestyle & Commercial-10 , Lifestyle & Kommerziell-10
Lifestyle & Commercial-2 , Lifestyle & Kommerziell-2
Lifestyle & Commercial-3 , Lifestyle & Kommerziell-3
Lifestyle & Commercial-4 , Lifestyle & Kommerziell-4
Lifestyle & Commercial-5 , Lifestyle & Kommerziell-5
Lifestyle & Commercial-6 , Lifestyle & Kommerziell-6
Lifestyle & Commercial-7 , Lifestyle & Kommerziell-7
Lifestyle & Commercial-8 , Lifestyle & Kommerziell-8
Lifestyle & Commercial-9 , Lifestyle & Kommerziell-9
Light , Licht
Light (blown) , Licht (geblasen)
Light Angle , Lichtwinkel
Light Color , Helle Farbe
Light Direction , Licht-Richtung
Light Effect , Lichtwirkung
Light Glow , Lichtglühen
Light Grey , Hellgrau
Light Leaks , Leichte Lecks
Light Motive , Licht-Motiv
Light Patch , Leichter Fleck
Light Rays , Lichtstrahlen
Light Smoothness , Leichte Glätte
Light Strength , Lichtfestigkeit
Light Type , Lichttyp
Light-X , Licht-X
Light-Y , Hell-Y
Light-Z , Licht-Z
Lighten , aufhellen
Lighten Edges , Kanten aufhellen
Lighter , Leichter
Lighting , Beleuchtung
Lighting Angle , Beleuchtungswinkel
Lightness , Leichtigkeit
Lightness (%) , Helligkeit (%)
Lightness Factor , Helligkeits-Faktor
Lightness Level , Helligkeitsstufe
Lightness Max (%) , Helligkeit Max (%)
Lightness Min (%) , Helligkeit Min (%)
Lightness Shift , Helligkeits-Verschiebung
Lightness Smoothness , Leichtigkeit Glätte
Lightning , Blitz
Lighty Smooth , Leicht glatt
Limit Hue Range , Farbtonbereich begrenzen
Line , Zeile
Line Opacity , Linien-Opazität
Line Precision , Linienpräzision
Linear Burn , Lineare Verbrennung
Linear Light , Lineares Licht
Linear RGB [All] , Linear RGB [Alle]
Linear RGB [Blue] , Linear RGB [Blau]
Linear RGB [Green] , Linear RGB [Grün]
Linear RGB [Red] , Linear RGB [Rot]
Linearity , Linearität
Lineart , Linienart
Lineart + Color Spots , Lineart + Farbflecken
Lineart + Color Spots + Extrapolated Colors , Lineart + Farbflecken + extrapolierte Farben
Lineart + Colors , Lineart + Farben
Lineart + Extrapolated Colors , Lineart + extrapolierte Farben
Lines , Zeilen
Lines (256) , Zeilen (256)
Linify , Linifizieren
Lion , Löwe
Lissajous [Animated] , Lissajous [animiert]
Lissajous Spiral , Lissajous-Spirale
Little , Kleine
Little Blue , Klein Blau
Little Cyan , Kleines Zyan
Little Green , Kleines Grün
Little Key , Kleiner Schlüssel
Little Magenta , Kleines Magenta
Little Red , Kleiner Roter
Little Yellow , Kleines Gelb
LN Amplititude , LN-Amplitude
LN Amplitude , LN-Amplitude
LN Average-Smoothness , LN Durchschnitts-Glätte
LN Neightborhood-Smoothness , LN-Nachbarschaft-Glätte
LN Size , LN Größe
Local  Normalisation , Lokale Normalisierung
Local Contrast , Lokaler Kontrast
Local Contrast Effect , Lokaler Kontrast-Effekt
Local Contrast Enhance , Lokale Kontrastverstärkung
Local Contrast Enhancement , Lokale Kontrastverbesserung
Local Contrast Style , Lokaler Kontraststil
Local Detail Enhancer , Lokale Detailverbesserung
Local Normalization , Lokale Normalisierung
Local Orientation , Lokale Orientierung
Local Processing , Lokale Verarbeitung
Local Similarity Mask , Maske für lokale Ähnlichkeit
Local Variance Normalization , Normalisierung der lokalen Varianz
Lock Return Scaling to Source Layer , Sperre Rückgabe Skalierung zur Quellschicht
Lock Source , Quelle sperren
Lock Uniform Sampling , Einheitliche Probenahme sperren
Log(z) , Protokoll(z)
Logarithmic Distortion , Logarithmische Verzerrung
Logarithmic Distortion Axis Combination for X-Axis , Logarithmische Verzerrungsachsenkombination für die X-Achse
Logarithmic Distortion Axis Combination for Y-Axis , Logarithmische Verzerrungsachsenkombination für die Y-Achse
Logarithmic Distortion X-Axis Direction , Logarithmische Verzerrung X-Achsen-Richtung
Logarithmic Distortion Y-Axis Direction , Logarithmische Verzerrung Y-Achsenrichtung
Lomography Redscale 100 , Lomographie Neuskalierung 100
Lomography X-Pro Slide 200 , Lomographie X-Pro-Dia 200
Lookup , Nachschlagen
Lookup Factor , Lookup-Faktor
Lookup Size , Lookup-Größe
Loop Method , Schleifen-Methode
Low , Niedrig
Low Bias , Niedrige Verzerrung
Low Contrast Blue , Blau mit niedrigem Kontrast
Low Frequency , Niedrige Frequenz
Low Frequency Layer , Niederfrequenz-Schicht
Low Key , Niedrige Tonart
Low Key 01 , Niedriger Schlüssel 01
Low Scale , Niedrige Skala
Low Value , Niedriger Wert
Lower Layer Is the Bottom Layer for All Blends , Die untere Schicht ist die unterste Schicht für alle Mischungen
Lower Mask Threshold (%) , Unterer Masken-Schwellenwert (%)
Lower Side Orientation , Orientierung auf der unteren Seite
Lowercase Letters , Kleinbuchstaben
Lowlights Crossover Point , Lowlights-Übergabepunkt
Lowres CLUT , Lowres-CLUT
Lucky 64 , Glückliche 64
Luma Noise , Luma-Lärm
Luminance , Leuchtdichte
Luminance Factor , Leuchtdichte-Faktor
Luminance Level , Leuchtdichtepegel
Luminance Only , Nur Leuchtdichte
Luminance Only (Lab) , Nur Leuchtdichte (Labor)
Luminance Only (YCbCr) , Nur Leuchtdichte (YCbCr)
Luminance Shift , Luminanzverschiebung
Luminance Smoothness , Leuchtdichte-Glätte
Luminosity from Color , Leuchtkraft aus Farbe
Luminosity Type , Leuchtkraft-Typ
Lush Green Summer , Üppig grüner Sommer
LUTs Pack , LUTs-Paket
Lylejk's Painting , Lylejks Gemälde
Magenta Coffee , Magenta-Kaffee
Magenta Day , Magenta-Tag
Magenta Day 01 , Magenta Tag 01
Magenta Dream , Magenta-Traum
Magenta Factor , Magenta-Faktor
Magenta Shift , Magenta-Verschiebung
Magenta Smoothness , Magenta-Glätte
Magenta Yellow , Magenta Gelb
Magenta-Yellow , Magenta-Gelb
Magic Details , Magische Details
Magnitude / Phase , Ausmaß/Phase
Mail , E-Mail
Make Hue Depends on Region Size , Farbton von der Größe der Region abhängig machen
Make Seamless [Diffusion] , Nahtlos machen [Diffusion]
Make Seamless [Patch-Based] , Nahtlos machen [Patch-basiert]
Make Squiggly , Schnörkel machen
Make Up , Make-up
Mandelbrot - Julia Sets , Mandelbrot - Julia-Mengen
Mandelbrot Explorer , Mandelbrot-Explorer
Manual , Handbuch
Manual Controls , Manuelle Steuerung
Map , Karte
Map Tones , Karten-Töne
Mapping , Kartierung
Marble , Marmor
Margin (%) , Marge (%)
Mascot Image , Maskottchen-Bild
Masculine , Männlich
Mask , Maske
Mask + Background , Maske + Hintergrund
Mask as Bottom Layer , Maske als unterste Schicht
Mask By , Maske von
Mask Color , Maskenfarbe
Mask Contrast , Masken-Kontrast
Mask Creator , Masken-Schöpfer
Mask Dilation , Masken-Dilatation
Mask Size , Maskengröße
Mask Smoothness (%) , Maske Glätte (%)
Mask Type , Maskentyp
Masked Image , Maskiertes Bild
Masking , Maskierung
Match Colors With , Farben abgleichen mit
Matching Precision (Smaller Is Faster) , Matching-Präzision (kleiner ist schneller)
Math Symbols , Mathematische Symbole
Max Angle , Max Winkel
Max Angle Deviation (deg) , Maximale Winkelabweichung (Grad)
Max Area , Max Bereich
Max Curve , Max-Kurve
Max Cut (%) , Max Schnitt (%)
Max Iterations , Max Iterationen
Max Length (%) , Maximale Länge (%)
Max Offset (%) , Maximale Verrechnung (%)
Max Threshold , Max Schwelle
Maximal Area , Maximale Fläche
Maximal Color Saturation , Maximale Farbsättigung
Maximal Highlights , Maximale Höhepunkte
Maximal Radius , Maximaler Radius
Maximal Seams per Iteration (%) , Maximale Nähte pro Iteration (%)
Maximal Size , Maximale Größe
Maximal Value , Maximaler Wert
Maximum Dimension , Maximale Abmessung
Maximum Image Size , Maximale Bildgröße
Maximum Number of Image Colors , Maximale Anzahl von Bildfarben
Maximum Number of Output Layers , Maximale Anzahl von Ausgabeschichten
Maximum Red:Blue Ratio in the Fringe , Maximales Rot-Blau-Verhältnis im Randbereich
Maximum Saturation , Maximale Sättigung
Maximum Size Factor , Maximaler Größenfaktor
Maximum Value , Maximaler Wert
Maze , Labyrinth
Maze Type , Labyrinth-Typ
Mean Color , Mittlere Farbe
Mean Curvature , Mittlere Krümmung
Median (beware: Memory-Consuming!) , Median (Vorsicht: speicherfressend!)
Median Radius , Medianer Radius
Medium 3 , Mittel 3
Medium Details Smoothness , Mittlere Details Glätte
Medium Details Threshold , Schwelle für mittlere Details
Medium Frequency Layer , Mittelfrequenz-Schicht
Medium Scale (Original) , Mittlere Skala (Original)
Medium Scale (Smoothed) , Mittlere Skala (geglättet)
Memories , Erinnerungen
Merge Brightness / Colors , Helligkeit/Farben zusammenführen
Merge Layers? , Schichten zusammenführen?
Merging Mode , Zusammenführungsmodus
Merging Option , Zusammenführungs-Option
Merging Steps , Schritte zusammenführen
Mess with Bits , Mit Bits verwirren
Metal , Metall
Metallic Look , Metallisches Aussehen
Method , Methode
Metric , Metrisch
Metropolis , Metropole
Micro/macro Details  Adjusted , Mikro/Makro-Details angepasst
Mid , Mitte
Mid Grey , Mittelgrau
Mid Noise , Mittleres Rauschen
Mid Offset , Mittlerer Versatz
Mid Tone Contrast , Mittelton-Kontrast
Mid-Dark Grey , Mittel-Dunkelgrau
Mid-Light Grey , Mittel-Hellgrau
Mid-Tones , Mitteltöne
Middle Grey , Mittelgrau
Middle Scale , Mittlere Skala
Midpoint , Mittelpunkt
Midtones Brightness , Helligkeit der Mitteltöne
Midtones Color Intensity , Mitteltöne Farbintensität
Midtones Hue , Mitteltöne Farbton
Mighty Details , Mächtige Details
Min Angle Deviation (deg) , Min. Winkelabweichung (Grad)
Min Area % , Min Bereich %
Min Cut (%) , Min Schnitt (%)
Min Length (%) , Min Länge (%)
Min Offset (%) , Min-Versatz (%)
Min Threshold , Min-Schwelle
Mineral Mosaic , Mineral-Mosaik
Minesweeper , Minensucher
Minimal Area , Minimale Fläche
Minimal Area (%) , Minimale Fläche (%)
Minimal Color Intensity , Minimale Farbintensität
Minimal Highlights , Minimale Höhepunkte
Minimal Path , Minimaler Pfad
Minimal Radius , Minimaler Radius
Minimal Region Area , Minimales Gebiet der Region
Minimal Scale (%) , Minimale Skala (%)
Minimal Shape Area , Minimaler Formbereich
Minimal Size , Minimale Größe
Minimal Size (%) , Minimale Größe (%)
Minimal Stroke Length , Minimale Hublänge
Minimal Value , Minimaler Wert
Minimalist Caffeination , Minimalistische Koffeinierung
Minimum Brightness , Minimale Helligkeit
Minimum Red:Blue Ratio in the Fringe , Mindestverhältnis Rot:Blau im Randbereich
Mirror , Spiegel
Mirror Effect , Spiegeleffekt
Mirror X , Spiegel X
Mirror Y , Spiegel Y
Mirror-X , Spiegel-X
Mirror-XY , Spiegel-XY
Mirror-Y , Spiegel-Y
Mix , Mischen
Mixed Mode , Gemischter Modus
Mixer [CMYK] , Mischpult [CMYK]
Mixer [HSV] , Mischpult [HSV]
Mixer [Lab] , Mischer [Labor]
Mixer [PCA] , Mischpult [PCA]
