<b>Arrays & Tiles</b> , <b>Matrices y azulejos</b>
Iain Noise Reduction 2019 , Reducción de ruido Iain 2019
Identity , Identidad
Ignore Current Aspect , Ignorar el aspecto actual
Illuminate 2D Shape , Iluminar la forma 2D
Illumination , Iluminación
Illustration Look , Ilustración Mira
Image , Imagen
Image + Background , Imagen + Fondo
Image + Colors (2 Layers) , Imagen + Colores (2 Capas)
Image + Colors (Multi-Layers) , Imagen + Colores (Multi-capas)
Image Contour Dimensions , Dimensiones del contorno de la imagen
Image Smoothness , Suavidad de la imagen
Image to Grab Color from (.Png) , Imagen para captar el color de (.Png)
Image Weight , Peso de la imagen
Import Data , Importar datos
Import RGB-565 File , Importar el archivo RGB-565
Impulses 5x5 , Impulsos 5x5
Impulses 7x7 , Impulsos 7x7
Impulses 9x9 , Impulsos 9x9
Include Opacity Layer , Incluir la capa de opacidad
IncreaseChroma1 , AumentarCroma1
Increasing , Aumentando
Indoor Blue , Azul interior
Influence of Color Samples (%) , Influencia de las muestras de color (%)
Information , Información
Init. Resolution , Init. Resolución
Init. Type , Init. Escriba
Init. With High Gradients Only , Init. Sólo con altos gradientes
Initial Density , Densidad inicial
Initialization , Inicialización
Ink Wash , Lavado de tinta
Inner , Interior
Inner Fading , Desvanecimiento interno
Inner Length , Longitud interior
Inner Radius , Radio interno
Inner Radius (%) , Radio interno (%)
Inner Shade , Sombra interior
Inpaint [Holes] , Pintura [Agujeros]
Inpaint [Morphological] , Pintura [Morfológica]
Inpaint [Multi-Scale] , Pintura [Multi-escala]
Inpaint [Patch-Based] , Pintura [a base de parches]
Inpaint [Transport-Diffusion] , Pintura [Transporte-Difusión]
Input , Entrada
Input Folder , Carpeta de entrada
Input Frame Files Name , Nombre de los archivos del marco de entrada
Input Guide Color , Guía de entrada Color
Input Layers , Capas de entrada
Input Transparency , Transparencia de la entrada
Input Type , Tipo de entrada
Insert New CLUT Layer , Insertar la nueva capa de CLUT
Inside , Dentro de
Inside Color , Color interior
Instant [Consumer] (54) , Instantánea [Consumidor] (54)
Instant [Pro] (68) , Instantánea [Pro] (68)
Intensity , Intensidad
Intensity of Purple Fringe , Intensidad de la franja púrpura
Interlace Horizontal , Entrelazado Horizontal
Interlace Vertical , Entrelazado Vertical
Interpolate , Interpolar
Interpolation , Interpolación
Interpolation Type , Tipo de interpolación
Inverse , Invertir
Inverse Depth Map , Mapa de profundidad inversa
Inverse Radius , Radio inverso
Inverse Transform , Transformación inversa
Inversions , Inversiones
Invert Background / Foreground , Invertir el fondo/primer plano
Invert Blur , Invertir el borrón
Invert Canvas Colors , Invertir los colores del lienzo
Invert Colors , Invertir los colores
Invert Image Colors , Invertir los colores de la imagen
Invert Luminance , Invertir la luminancia
Invert Mask , Invertir la máscara
Inward , Hacia adentro
Isophotes , Isótopos
Isotropic , Isótropo
Iteration , Iteración
Iterations , Iteraciones
Japanese Maple Leaf , Hoja de arce japonés
JPEG Artefacts , Artefactos JPEG
JPEG Smooth , JPEG Suave
Just Peachy , Sólo Peachy
K-Factor , Factor K
Kaleidoscope [Blended] , Caleidoscopio [Mezcla]
Kaleidoscope [Polar] , Caleidoscopio [Polar]
Kaleidoscope [Symmetry] , Caleidoscopio [Simetría]
Kandinsky: Squares with Concentric Circles , Kandinsky: Cuadrados con círculos concéntricos
Kandinsky: Yellow-Red-Blue , Kandinsky: Amarillo-Rojo-Azul
Keep , Manténgase en
Keep Aspect Ratio , Mantener la relación de aspecto
Keep Base Layer as Input Background , Mantener la capa base como fondo de entrada
Keep Borders Square , Mantén los límites cuadrados
Keep Color Channels , Mantener los canales de color
Keep Colors , Mantener los colores
Keep Detail , Mantén el detalle
Keep Detail Layer Separate , Mantenga la capa de detalles separada
Keep Iterations as Different Layers , Mantener las iteraciones como diferentes capas
Keep Layers Separate , Mantener las capas separadas
Keep Original Image Size , Mantener el tamaño original de la imagen
Keep Original Layer , Mantener la capa original
Keep Tiles Square , Mantén los azulejos cuadrados
Keep Transparency in Output , Mantener la transparencia en la salida
Kernel , Núcleo
Kernel Multiplier , Multiplicador del núcleo
Kernel Type , Tipo de núcleo
Key Factor , Factor clave
Key Frame Rate , Velocidad de fotogramas clave
Key Shift , Cambio de tecla
Key Smoothness , Suavidad de la clave
Keypoint Influence (%) , Influencia del punto clave (%)
Klee: Death and Fire , Klee: Muerte y fuego
Klee: In the Style of Kairouan , Klee: En el estilo de Kairouan
Klee: Oriental Pleasure Garden Anagoria , Klee: Jardín de Placer Oriental Anagoria
Klee: Polyphony 2 , Klee: Polifonía 2
Klee: Red Waistcoat , Klee: Chaleco rojo
Klimt: The Kiss , Klimt: El beso
Kodak 2393 (Cuspclip) , Kodak 2393 (Clavija)
Kodak Portra 160 , Retrato de Kodak 160
Kodak Portra 160 + , Retrato de Kodak 160 +
Kodak Portra 160 ++ , Retrato de Kodak 160 ++
Kodak Portra 160 - , Retrato de Kodak 160 -
Kodak Portra 400 , Retrato de Kodak 400
Kodak Portra 400 - , Retrato de Kodak 400 -
Kodak Portra 800 , Retrato de Kodak 800
Kodak Portra 800 - , Retrato de Kodak 800 -
Kuwahara on Painting , Kuwahara sobre la pintura
L1-Norm , Norma L1
L2-Norm , L2-Norma
Lab , Laboratorio
Lab (Chroma Only) , Laboratorio (sólo croma)
Lab (Distinct) , Laboratorio (Distinto)
Lab (Luma Only) , Laboratorio (Sólo Luma)
Lab (Luma/Chroma) , Laboratorio (Luma/Croma)
Lab (Mixed) , Laboratorio (Mixto)
Lab [a-Chrominance] , Laboratorio [a-Crominancia]
Lab [ab-Chrominances] , Laboratorio [ab-Crominanzas]
Lab [all] , Laboratorio [todos]
Lab [b-Chrominance] , Laboratorio [b-Crominancia]
Lab [Lightness] , Laboratorio [Ligereza]
Landscape , Paisaje
Landscape-1 , Paisaje-1
Landscape-10 , Paisaje-10
Landscape-2 , Paisaje-2
Landscape-3 , Paisaje-3
Landscape-4 , Paisaje-4
Landscape-5 , Paisaje-5
Landscape-6 , Paisaje-6
Landscape-7 , Paisaje-7
Landscape-8 , Paisaje-8
Landscape-9 , Paisaje-9
Large , Gran
Large Noise , Ruido grande
Last , Último
Last Frame , Último cuadro
Late Afternoon Wanderlust , La tarde Wanderlust
Late Sunset , Atardecer tardío
Lava Lamp , Lámpara de lava
Layer , Capa
Layer Processing , Procesamiento de la capa
Layers to Tiles , De las capas a los azulejos
Lch [all] , Lch [todos]
Lch [c-Chrominance] , Lch [c-Crominancia]
Lch [ch-Chrominances] , Lch [ch-Crominanzas]
Lch [h-Chrominance] , Lch [h-Crominancia]
Leaf , Hoja
Leaf Color , Color de la hoja
Leaf Opacity (%) , Opacidad de la hoja (%)
Leak Type , Tipo de fuga
Left , Izquierda
Left  Foreground , Primer plano izquierdo
Left / Right Blur (%) , Borrón izquierdo / derecho (%)
Left and Right Background , Fondo izquierdo y derecho
Left and Right Foreground , Primer plano a la izquierda y a la derecha
Left and Right Image Streams , Corrientes de imágenes de izquierda y derecha
Left Diagonal Foreground , Diagonal izquierda en primer plano
Left Foreground , Primer plano izquierdo
Left Position , Posición izquierda...
Left Side Orientation , Orientación del lado izquierdo
Left Slope , Pendiente izquierda
Left Stream Only , Sólo el arroyo izquierdo
Length , Longitud
Lenticular Density LPI , Densidad lenticular LPI
Lenticular Orientation , Orientación lenticular
Lenticular Print , Impresión lenticular
Level , Nivel
Level Frequency , Nivel Frecuencia
Levels , Niveles
Life Giving Tree , Árbol de la vida
Lifestyle & Commercial-1 , Estilo de vida y comercial-1
Lifestyle & Commercial-10 , Estilo de vida y comercial-10
Lifestyle & Commercial-2 , Estilo de vida y comercial-2
Lifestyle & Commercial-3 , Estilo de vida y comercial-3
Lifestyle & Commercial-4 , Estilo de vida y comercial-4
Lifestyle & Commercial-5 , Estilo de vida y comercial-5
Lifestyle & Commercial-6 , Estilo de vida y comercial-6
Lifestyle & Commercial-7 , Estilo de vida y comercial-7
Lifestyle & Commercial-8 , Estilo de vida y comercial-8
Lifestyle & Commercial-9 , Estilo de vida y comercial-9
Light , Luz
Light (blown) , Luz (soplado)
Light Angle , Ángulo de luz
Light Color , Color de la luz
Light Direction , Dirección de la luz
Light Effect , Efecto de la luz
Light Glow , Luz Brillante
Light Grey , Gris claro
Light Leaks , Fugas de luz
Light Motive , Motivo de la luz
Light Patch , Parche de luz
Light Rays , Los rayos de luz
Light Smoothness , Suavidad ligera
Light Strength , Fuerza de la luz
Light Type , Tipo de luz
Lighten , Aligera
Lighten Edges , Aligerar los bordes
Lighter , Encendedor
Lighting , Iluminación
Lighting Angle , Ángulo de iluminación
Lightness , Ligereza
Lightness (%) , Ligereza (%)
Lightness Factor , Factor de ligereza
Lightness Level , Nivel de luminosidad
Lightness Max (%) , Ligereza Máxima (%)
Lightness Min (%) , Ligereza Mínimo (%)
Lightness Shift , Cambio de la ligereza
Lightness Smoothness , Ligereza Suavidad
Lightning , Relámpago
Lighty Smooth , Ligero Suave
Limit Hue Range , Limitar el rango de tonalidades
Line , Línea
Line Opacity , Opacidad de la línea
Line Precision , Precisión de la línea
Linear , Lineal
Linear Burn , Quemadura lineal
Linear Light , Luz lineal
Linear RGB , RGB lineal
Linear RGB [All] , RGB lineal [Todos]
Linear RGB [Blue] , RGB lineal [Azul]
Linear RGB [Green] , RGB lineal [Verde]
Linear RGB [Red] , RGB lineal [Rojo]
Linearity , Linealidad
Lineart + Color Spots , Lineal + manchas de color
Lineart + Color Spots + Extrapolated Colors , Lineal + manchas de color + colores extrapolados
Lineart + Colors , Lineal + Colores
Lineart + Extrapolated Colors , Lineal + Colores extrapolados
Lines , Líneas
Lines (256) , Líneas (256)
Linify , Linifica
Lion , León
Lissajous [Animated] , Lissajous [Animado]
Lissajous Spiral , Espiral de Lissajous
Little , Pequeño
Little Cyan , El pequeño Cyan
Little Key , Pequeña Llave
Little Magenta , Pequeño Magenta
Little Red , Pequeño Rojo
Little Yellow , Pequeño Amarillo
LN Amplititude , LN Amplititud
LN Amplitude , Amplitud LN
LN Average-Smoothness , LN Promedio-Suavidad
LN Size , Tamaño LN
Local  Normalisation , Normalización local
Local Contrast , Contraste local
Local Contrast Effect , Efecto de contraste local
Local Contrast Enhance , Mejora del contraste local
Local Contrast Enhancement , Mejoramiento del contraste local
Local Contrast Style , Estilo de contraste local
Local Detail Enhancer , Mejorador de detalles locales
Local Normalization , Normalización local
Local Orientation , Orientación local
Local Processing , Procesamiento local
Local Similarity Mask , Máscara de similitud local
Local Variance Normalization , Normalización de la variación local
Lock Return Scaling to Source Layer , Bloquear la escala de retorno a la capa de la fuente
Lock Source , Bloquea la fuente
Lock Uniform Sampling , Bloquee el muestreo uniforme
Logarithmic Distortion , Distorsión logarítmica
Logarithmic Distortion Axis Combination for X-Axis , Combinación de ejes de distorsión logarítmica para el eje X
Logarithmic Distortion Axis Combination for Y-Axis , Combinación de eje de distorsión logarítmica para el eje Y
Logarithmic Distortion X-Axis Direction , Distorsión logarítmica Dirección del eje X
Logarithmic Distortion Y-Axis Direction , Distorsión logarítmica Dirección del eje Y
Lomography Redscale 100 , Lomografía Escala Roja 100
Lomography X-Pro Slide 200 , Lomografía X-Pro Diapositiva 200
Lookup , Busca
Lookup Factor , Factor de búsqueda
Lookup Size , Tamaño de la búsqueda
Loop Method , Método de bucle
Low , Bajo
Low Bias , Bajo sesgo...
Low Contrast Blue , Azul de bajo contraste
Low Frequency , Baja frecuencia
Low Frequency Layer , Capa de baja frecuencia
Low Scale , Escala baja
Low Value , Bajo valor...
Lower Layer Is the Bottom Layer for All Blends , La capa inferior es la capa inferior para todas las mezclas
Lower Mask Threshold (%) , Umbral inferior de la máscara (%)
Lower Side Orientation , Orientación del lado inferior
Lowercase Letters , Cartas en minúsculas
Lowlights Crossover Point , Punto de cruce de luces bajas
Lowres CLUT , Los bajos CLUT
Lucky 64 , Afortunado 64
Luma Noise , Ruido de luma
Luminance , Luminancia
Luminance Factor , Factor de luminancia
Luminance Level , Nivel de luminancia
Luminance Only , Sólo la luminancia
Luminance Only (Lab) , Sólo luminancia (laboratorio)
Luminance Only (YCbCr) , Sólo luminancia (YCbCr)
Luminance Shift , Cambio de luminancia
Luminance Smoothness , Luminancia Suavidad
Luminosity from Color , La luminosidad del color
Luminosity Type , Tipo de luminosidad
Lush Green Summer , El exuberante verano verde
Lylejk's Painting , La pintura de Lylejk
Magenta Coffee , Café Magenta
Magenta Day , Día de Magenta
Magenta Day 01 , Día Magenta 01
Magenta Dream , Sueño Magenta
Magenta Factor , Factor Magenta
Magenta Shift , Cambio de Magenta
Magenta Smoothness , Suavidad del magenta
Magenta Yellow , Amarillo Magenta
Magenta-Yellow , Magenta-amarillo
Magic Details , Detalles mágicos
Magnitude / Phase , Magnitud / Fase
Mail , Correo electrónico
Make Hue Depends on Region Size , Hacer que el tono dependa del tamaño de la región
Make Seamless [Diffusion] , Hacer que la [difusión] sin fisuras
Make Seamless [Patch-Based] , Hacer que el [Patch-Based] sin fisuras
Make Squiggly , Hacer Garabatos
Make Up , Maquillaje
Mandelbrot Explorer , Explorador de Mandelbrot
Mandrill , Mandril
Manual Controls , Controles manuales
Map , Mapa
Map Tones , Tonos de mapa
Mapping , Mapeo
Marble , Mármol
Margin (%) , Margen (%)
Mascot Image , Imagen de la mascota
Masculine , Masculino
Mask , Máscara
Mask + Background , Máscara + Fondo
Mask as Bottom Layer , La máscara como capa inferior
Mask By , Máscara de
Mask Color , Color de la máscara
Mask Contrast , Contraste de la máscara
Mask Creator , Creador de la máscara
Mask Dilation , Dilatación de la máscara
Mask Size , Tamaño de la máscara
Mask Smoothness (%) , Suavidad de la máscara (%)
Mask Type , Tipo de máscara
Masked Image , Imagen Enmascarada
Masking , Enmascaramiento
Match Colors With , Combina los colores con
Matching Precision (Smaller Is Faster) , Precisión de la coincidencia (Más pequeño es más rápido)
Math Symbols , Símbolos matemáticos
Matrix , Matriz
Max Angle , Ángulo máximo
Max Angle Deviation (deg) , Desviación del ángulo máximo (deg)
Max Area , Área máxima
Max Curve , Curva Max
Max Cut (%) , Corte máximo (%)
Max Iterations , Iteraciones máximas
Max Length (%) , Longitud máxima (%)
Max Offset (%) , Compensación máxima (%)
Max Radius , Radio máximo
Max Threshold , Umbral máximo
Maximal Area , Área máxima
Maximal Color Saturation , Máxima saturación de color
Maximal Highlights , Máximos resultados
Maximal Radius , Radio máximo
Maximal Seams per Iteration (%) , Costuras máximas por iteración (%)
Maximal Size , Tamaño máximo
Maximal Value , Valor máximo
Maximum , Máximo
Maximum Dimension , Dimensión máxima
Maximum Image Size , Tamaño máximo de la imagen
Maximum Number of Image Colors , Número máximo de colores de la imagen
Maximum Number of Output Layers , Número máximo de capas de salida
Maximum Red:Blue Ratio in the Fringe , Máxima proporción rojo-azul en el margen
Maximum Saturation , Saturación máxima
Maximum Size Factor , Factor de tamaño máximo
Maximum Value , Valor máximo
Maze , Laberinto
Maze Type , Tipo de laberinto
Mean Color , Color medio
Mean Curvature , Curvatura media
Median , Mediana
Median (beware: Memory-Consuming!) , Mediana (cuidado: ¡consumo de memoria!)
Median Radius , Radio medio
Medium , Medio
Medium 3 , Medio 3
Medium Details Smoothness , Detalles medios Suavidad
Medium Details Threshold , Detalles medios Umbral
Medium Frequency Layer , Capa de frecuencia media
Medium Scale (Original) , Escala media (original)
Medium Scale (Smoothed) , Escala media (Suavizado)
Memories , Recuerdos
Merge Brightness / Colors , Fusionar brillo / colores
Merge Layers? , ¿Fusionar capas?
Merging Mode , Modo de fusión
Merging Option , Opción de fusión
Merging Steps , Fusión de pasos
Mess with Bits , Meterse con las mordeduras
Metallic Look , Mirada metálica
Method , Método
Metric , Métrico
Metropolis , Metrópolis
Micro/macro Details  Adjusted , Detalles de micro/macro ajustados
Mid Grey , Gris medio
Mid Noise , Ruido medio
Mid Tone Contrast , Contraste de los tonos medios
Mid-Dark Grey , Gris oscuro medio
Mid-Light Grey , Gris de media luz
Middle Grey , Gris medio
Middle Scale , Escala media
Midpoint , Punto medio
Midtones Brightness , Brillo de los tonos medios
Midtones Color Intensity , Intensidad de color de los tonos medios
Midtones Hue , Tono de tonos medios
Mighty Details , Detalles poderosos
Min Angle Deviation (deg) , Desviación del ángulo mínimo (deg)
Min Area % , Área mínima
Min Cut (%) , Corte mínimo (%)
Min Length (%) , Longitud mínima (%)
Min Offset (%) , Compensación mínima (%)
Min Radius , Radio mínimo
Min Threshold , Umbral mínimo
Mineral Mosaic , Mosaico mineral
Minesweeper , Barredor de minas
Minimal Area , Área mínima
Minimal Area (%) , Área mínima (%)
Minimal Color Intensity , Mínima intensidad de color
Minimal Highlights , Mínimos destacados
Minimal Path , Camino mínimo
Minimal Radius , Radio mínimo
Minimal Region Area , Área de la región mínima
Minimal Scale (%) , Escala mínima (%)
Minimal Shape Area , Área de forma mínima
Minimal Size , Tamaño mínimo
Minimal Size (%) , Tamaño mínimo (%)
Minimal Stroke Length , Longitud mínima de la apoplejía
Minimal Value , Valor mínimo
Minimalist Caffeination , La cafeína minimalista
Minimum , Mínimo
Minimum Brightness , Brillo mínimo
Minimum Red:Blue Ratio in the Fringe , Mínima proporción rojo-azul en el margen
Mirror , Espejo
Mirror Effect , Efecto espejo
Mirror X , Espejo X
Mirror Y , Espejo Y
Mix , Mezcla
Mixed Mode , Modo mixto
Mixer [CMYK] , Mezclador [CMYK]
Mixer [HSV] , Mezclador [HSV]
Mixer [Lab] , Mezclador [Laboratorio]
Mixer [PCA] , Mezclador [PCA]
Mixer [RGB] , Mezclador [RGB]
Mixer [YCbCr] , Mezclador [YCbCr]
Mixer Mode , Modo mezclador
Mixer Style , Estilo mezclador
Mode , Modo
Modern Film , Película moderna
Modulo Value , Valor del módulo
Moir&eacute; Animation , Moir&eacutea; Animación
Moire Removal , Eliminación del moiré
Moire Removal Method , Método de eliminación de mohos
Mondrian: Composition in Red-Yellow-Blue , Mondrian: Composición en Rojo-Amarillo-Azul
Mondrian: Evening; Red Tree , Noche; Árbol rojo
Mondrian: Gray Tree , Mondrian: Árbol gris
Monet: San Giorgio Maggiore at Dusk , Monet: San Giorgio Maggiore al anochecer
Monet: Water-Lily Pond , Monet: Estanque de nenúfares
Monet: Wheatstacks - End of Summer , Monet: Wheatstacks - Fin del verano
Monkey , Mono
Mono Tinted , Mono Teñido
Mono-Directional , Mono-Direccional
Monochrome , Monocromo
Monochrome 1 , Monocromo 1
Monochrome 2 , Monocromo 2
Montage , Montaje
Montage Type , Tipo de montaje
Moonlight , Luz de Luna
Moonlight 01 , Luz de Luna 01
Moonrise , Salida de la Luna
Morning 6 , Mañana 6...
Morph [Interactive] , Morph [Interactivo]
Morph Layers , Capas de morfología
Morphological - Fastest Sharpest Output , Morfológico - La salida más rápida y aguda
Morphological Closing , Cierre morfológico
Morphological Filter , Filtro morfológico
Morphology Painting , Morfología Pintura
Morphology Strength , Morfología Fuerza
Morroco 16 , Marruecos 16
Mosaic , Mosaico
Most , La mayoría
Mostly Blue , Mayormente Azul
Motion Analyzer , Analizador de movimiento
Motion-Compensated , Movimiento compensado
Much , Mucho
Much Green , Mucho verde
Much Red , Mucho rojo
Multi-Layer Etch , Grabado multicapa
Multiple Colored Shapes Over Transp. BG , Múltiples formas de color sobre el transporte. BG
Multiple Layers , Múltiples capas
Multiplier , Multiplicador
Multiply , Multiplicar
Multiscale Operator , Operador multiescala
Munch: The Scream , Munch: El grito
Mute Shift , Cambio de silencio
Muted 01 , Silenciado 01
Muted Fade , Desvanecimiento apagado
Name , Nombre
Natural (vivid) , Natural (vívido)
Nature & Wildlife-1 , Naturaleza y Vida Silvestre-1
Nature & Wildlife-10 , Naturaleza y Vida Silvestre-10
Nature & Wildlife-2 , Naturaleza y Vida Silvestre-2
Nature & Wildlife-3 , Naturaleza y Vida Silvestre-3
Nature & Wildlife-4 , Naturaleza y Vida Silvestre-4
Nature & Wildlife-5 , Naturaleza y Vida Silvestre-5
Nature & Wildlife-6 , Naturaleza y Vida Silvestre-6
Nature & Wildlife-7 , Naturaleza y Vida Silvestre-7
Nature & Wildlife-8 , Naturaleza y Vida Silvestre-8
Nature & Wildlife-9 , Naturaleza y Vida Silvestre-9
Nb Circles Surrounding , Nb Círculos alrededor
Near Black , Cerca de Black
Nearest , El más cercano
Nearest Neighbor , El vecino más cercano
Neat Merge , Fusión limpia
Nebulous , Nebuloso
Negate , Negar
Negation , Negación
Negative , Negativo
Negative [Color] (13) , Negativo [Color] (13)
Negative [New] (39) , Negativo [Nuevo] (39)
Negative [Old] (44) , Negativo [Antiguo] (44)
Negative Color Abstraction , Abstracción de color negativo
Negative Colors , Colores negativos
Negative Effect , Efecto negativo
Neighborhood Size (%) , Tamaño del vecindario (%)
Neighborhood Smoothness , Suavidad del vecindario
Nemesis , Némesis
Neon 770 , Neón 770
Neon Lightning , Relámpago de neón
Neutral Color , Color neutro
Neutral Teal Orange , Naranja neutro
Neutral Warm Fade , Desvanecimiento del calor neutral
New Curves [Interactive] , Nuevas Curvas [Interactivo]
Newspaper , Periódico
Night 01 , Noche 01
Night Blade 4 , Cuchilla Nocturna 4
Night From Day , Noche desde el día
Night King 141 , Rey de la Noche 141
Night Spy , Espía nocturno
Nine Layers , Nueve capas
No Masking , No hay máscaras
No Recovery , No hay recuperación
No Rescaling , No hay reescalado
No Transparency , No hay transparencia
Noise , Ruido
Noise [Additive] , Ruido [Aditivo]
Noise [Perlin] , Ruido [Perlin]
Noise [Spread] , Ruido [Propagación]
Noise A , Ruido A
Noise B , Ruido B
Noise C , Ruido C
Noise D , Ruido D
Noise Level , Nivel de ruido
Noise Scale , Escala de ruido
Noise Type , Tipo de ruido
Non / No , No / No
Non-Linearity , No linealidad
Non-Rigid , No Rígido
None , Ninguno
None (Allows Multi-Layers) , Ninguno (permite multicapas)
None- Skip , No... Saltar...
Norm Type , Tipo de norma
Normal Map , Mapa normal
Normal Output , Salida normal
Normalization , Normalización
Normalize , Normalizar
Normalize Brightness , Normalizar el brillo
Normalize Colors , Normalizar los colores
Normalize Illumination , Normalizar la iluminación
Normalize Input , Normalizar la entrada
Normalize Luma , Normalizar la Luma
Normalize Scales , Normalizar las escalas
Nostalgia Honey , Nostalgia Miel
Nostalgic , Nostálgico
Nothing , Nada
Number , Número
Number of Added Frames , Número de cuadros añadidos
Number of Angles , Número de ángulos
Number of Clusters , Número de grupos
Number of Colors , Número de colores
Number of Frames , Número de cuadros
Number of Inter-Frames , Número de Inter-Frames
Number of Iterations per Scale , Número de iteraciones por escala
Number of Key-Frames , Número de fotogramas clave
Number of Levels , Número de niveles
Number of Matches (Coarsest) , Número de cerillas (más gruesas)
Number of Matches (Finest) , Número de cerillas (mejor)
Number of Orientations , Número de orientaciones
Number Of Rays , Número de rayos
Number of Scales , Número de escalas
Number of Sizes , Número de tamaños
Number of Streaks , Número de rayas
Number of Teeth , Número de dientes
Number of Tones , Número de tonos
Object Animation , Animación de objetos
Object Ratio , Relación de objetos
Object Tolerance , Tolerancia a los objetos
Octagon , Octágono
Octaves , Octavas
Octogon , Octogono
Oddness (%) , Rareza (%)
Off , Fuera de
Offset (%) , Compensación (%)
Offset Angle Rays Layer 1 , Rayos de ángulo compensado de la capa 1
Offset Angle Rays Layer 2 , Rayos de ángulo compensado de la capa 2
Old Method - Slowest , El método antiguo - el más lento
Old Photograph , Fotografía antigua
Old West , El viejo oeste
ON1 Photography (90) , ON1 Fotografía (90)
Once Upon a Time , Érase una vez
One Layer , Una capa
One Layer (Horizontal) , Una capa (horizontal)
One Layer (Vertical) , Una capa (vertical)
One Layer per Single Color , Una capa por cada color
One Layer per Single Region , Una capa por cada región
One Thread , Un hilo
Only Leafs , Sólo las hojas
Only Red , Sólo el rojo
Only Red and Blue , Sólo el rojo y el azul
Opacity , Opacidad
Opacity (%) , Opacidad (%)
Opacity as Heightmap , Opacidad como mapa de altura
Opacity Contours , Contornos de Opacidad
Opacity Factor , Factor de Opacidad
Opacity Gain , Ganancia de opacidad
Opacity Gamma , Opacidad Gamma
Opacity Snowflake , Opacidad Copo de nieve
Opacity Threshold (%) , Umbral de Opacidad (%)
Opaque Pixels , Píxeles opacos
Opaque Regions on Top Layer , Regiones opacas en la capa superior
Opaque Skin , Piel opaca
Open Interactive Preview , Abrir la vista previa interactiva
Opening , Apertura
Operation Yellow , Operación Amarillo
Operator , Operador
Opposing , Oponiéndose a
Optimized Lateral Inhibition , Inhibición lateral optimizada
Orange Dark 4 , Naranja oscuro 4
Orange Dark 7 , Naranja oscuro 7
Orange Dark Look , Naranja oscuro...
Orange Tone , Tono de naranja
Orange Underexposed , Naranja Subexpuesto
Oranges , Naranjas
Order , Pedido
Order By , Ordenar por
Orientation , Orientación
Orientation Coherence , Orientación Coherencia
Orientation Only , Sólo orientación
Orientations , Orientaciones
Original - (Opening + Closing)/2 , Original - (Apertura + Cierre)/2
Original - Erosion , Original - Erosión
Original - Opening , Original - Apertura
Orthogonal Radius , Radio ortogonal
Others (69) , Otros (69)
Ouline Color , Color Ouline
Outer , Exterior
Outer Fading , Desvanecimiento exterior
Outer Length , Longitud exterior
Outer Radius , Radio exterior
Outline , Esquema
Outline (%) , Esquema (%)
Outline Color , Color del contorno
Outline Contrast , Contraste del contorno
Outline Opacity , Reseña de la opacidad
Outline Size , Tamaño del contorno
Outline Smoothness , Suavidad del contorno
Outline Thickness , Espesor del contorno
Outlined , Resumido
Output , Salida
Output As , Salida como
Output as Files , Salida como archivos
Output as Frames , Salida como marcos
Output as Multiple Layers , Salida como múltiples capas
Output as Separate Layers , Salida como capas separadas
Output Ascii File , Salida del archivo Ascii
Output Chroma NR , Salida Croma NR
Output CLUT , Salida CLUT
Output CLUT Resolution , Resolución de salida CLUT
Output Coordinates File , Archivo de coordenadas de salida
Output Corresponding CLUT , Salida correspondiente CLUT
Output Directory , Directorio de salida
Output Each Piece on a Different Layer , La salida de cada pieza en una capa diferente
Output Filename , Nombre de archivo de salida
Output Files , Archivos de salida
Output Folder , Carpeta de salida
Output Format , Formato de salida
Output Frames , Marcos de salida
Output Height , Altura de salida
Output HTML File , Archivo HTML de salida
Output Layers , Capas de salida
Output Mode , Modo de salida
Output Multiple Layers , Salida de múltiples capas
Output Preset as a HaldCLUT Layer , La salida preestablecida como una capa de HaldCLUT
Output Region Delimiters , Delimitadores de la región de salida
Output Saturation , Saturación de salida
Output Sharpening , Afilado de salida
Output Stroke Layer On , Capa de golpe de salida activada
Output to Folder , Salida a la carpeta
Output Type , Tipo de salida
Output Width , Ancho de salida
Outside , Fuera de
Outside Color , Color exterior
Outside-In , Afuera-En
Outward , Exterior
Overall Blur , Desenfoque total
Overall Contrast , Contraste general
Overall Lightness , Ligereza general
Overlap (%) , Superposición (%)
Overlay , Superposición
Oversample , Sobremuestreo
Overshoot , Sobregiro
Padding (px) , Acolchado (px)
Paint , Pinta
Paint Daub , Pinta a Daub
Paint Effect , Efecto de la pintura
Paint Splat , Splat de pintura
Painter's Edge Protection Flow , Flujo de protección del borde del pintor
Painter's Smoothness , La suavidad del pintor
Painter's Touch Sharpness , La nitidez del toque del pintor
Painting , Pintura
Painting Opacity , Opacidad de la pintura
Paladin , Paladín
Paladin 1875 , Paladín 1875
Paper Texture , Textura del papel
Parallel Processing , Procesamiento paralelo
Parrots , Loros
Passing By , Pasando
Pastell Art , Arte Pastel
Patch , Parche
Patch Measure , Medida del parche
Patch Size , Tamaño del parche
Patch Size for Analysis , Tamaño del parche para el análisis
Patch Size for Synthesis , Tamaño del parche para la síntesis
Patch Size for Synthesis (Final) , Tamaño del parche para la síntesis (Final)
Patch Smoothness , Suavidad del parche
Patch Variance , Variación del parche
Pattern , Patrón
Pattern Angle , Ángulo del patrón
Pattern Height , Patrón de altura
Pattern Type , Tipo de patrón
Pattern Variation 1 , Variación del patrón 1
Pattern Variation 2 , Variación del patrón 2
