<b>Arrays & Tiles</b> , <b>Массивы и плитки</b>
Left Diagonal Foreground , Левый диагональный передний план
Left Foreground , Левый авансцентр
Left Position , Левое положение
Left Side Orientation , Ориентация на левую сторону
Left Slope , Левый Склон
Left Stream Only , Только левый поток
Lena , Лена
Length , Длина
Leno , Лено
Lenox 340 , Ленокс 340
Lenticular Density LPI , Лентикулярная плотность LPI
Lenticular Orientation , линзовидная ориентация
Lenticular Print , линзовая печать
Level , Уровень
Level Frequency , Частота уровней
Levels , Уровни
Life Giving Tree , Дерево, дающее жизнь
Lifestyle & Commercial-1 , Стиль жизни и коммерческий-1
Lifestyle & Commercial-10 , Стиль жизни и коммерческий-10
Lifestyle & Commercial-2 , Стиль жизни и коммерческий-2
Lifestyle & Commercial-3 , Стиль жизни и коммерческий-3
Lifestyle & Commercial-4 , Стиль жизни и коммерческий-4
Lifestyle & Commercial-5 , Стиль жизни и коммерческий-5
Lifestyle & Commercial-6 , Стиль жизни и коммерческий-6
Lifestyle & Commercial-7 , Стиль жизни и коммерческий-7
Lifestyle & Commercial-8 , Стиль жизни и коммерческий-8
Lifestyle & Commercial-9 , Стиль жизни и коммерческий-9
Light (blown) , Свет (перегорел)
Light Angle , Светлый угол
Light Color , Светлый цвет
Light Direction , Направление света
Light Effect , Эффект света
Light Glow , Световое сияние
Light Grey , Светло-серый
Light Leaks , Легкие течи
Light Motive , Легкий мотив
Light Patch , Световой патч
Light Rays , Световые лучи
Light Smoothness , Легкая гладкость
Light Strength , Прочность на свет
Light Type , Тип света
Lighten , Осветлить
Lighten Edges , Осветлить края
Lighter , Зажигалка
Lighting , Освещение
Lighting Angle , Угол освещения
Lightness , Легкость
Lightness (%) , Легкость (%)
Lightness Factor , Фактор лёгкости
Lightness Level , Уровень освещенности
Lightness Max (%) , Макс. Легкость (%)
Lightness Min (%) , Мин-лёгкость (%)
Lightness Shift , Сдвиг света
Lightness Smoothness , Легкость Гладкость
Lightning , Молния
Lighty Smooth , Светлый Гладкий
Limit Hue Range , Предельный диапазон оттенков
Line , Линия
Line Opacity , Непрозрачность линии
Line Precision , Точность линии
Linear , Линейный
Linear Burn , Линейный ожог
Linear Light , Линейный свет
Linear RGB , Линейный RGB
Linear RGB [All] , Линейный RGB [Все]
Linear RGB [Blue] , Линейный RGB [Синий]
Linear RGB [Green] , Линейный RGB [Зеленый]
Linear RGB [Red] , Линейный RGB [Красный]
Linearity , Линейность
Lineart , Линейный сайт
Lineart + Color Spots , Линейный + цветные пятна
Lineart + Color Spots + Extrapolated Colors , Линейный + цветные пятна + экстраполированные цвета
Lineart + Colors , Линия + цвета
Lineart + Extrapolated Colors , Линейный + экстраполированные цвета
Lines , Линии
Lines (256) , Линии (256)
Linify , Ссылка на .
Lissajous [Animated] , Лиссажус [Анимированный]
Lissajous Spiral , лиссаджуская спираль
Little , Маленький
Little Blue , Маленький синий
Little Cyan , Маленький голубой
Little Green , Зеленый
Little Key , Маленький ключ
Little Magenta , Маленький пурпурный
Little Red , Маленький Красный
Little Yellow , Маленький Желтый
LN Amplititude , LN Амплитуда
LN Amplitude , LN Амплитуда
LN Average-Smoothness , LN Средняя гладкость
LN Neightborhood-Smoothness , LN Ночное детство-Гладкость
LN Size , LN Размер
Local  Normalisation , Локальная нормализация
Local Contrast , локальный контраст
Local Contrast Effect , Локальный контрастный эффект
Local Contrast Enhance , Повышение локального контраста
Local Contrast Enhancement , Повышение локального контраста
Local Contrast Style , Локальный контрастный стиль
Local Detail Enhancer , Локальный детский усилитель
Local Normalization , Локальная нормализация
Local Orientation , Локальная ориентация
Local Processing , Местная обработка
Local Similarity Mask , Маска местного сходства
Local Variance Normalization , Нормализация локальных вариаций
Lock Return Scaling to Source Layer , Блокировка масштабирования возврата на исходный уровень
Lock Source , Источник блокировки
Lock Uniform Sampling , Блокировка Единообразный отбор проб
Log(z) , Журнал(z)
Logarithmic Distortion , Логарифмическое искажение
Logarithmic Distortion Axis Combination for X-Axis , Логарифмическая комбинация оси искажения для оси X
Logarithmic Distortion Axis Combination for Y-Axis , Комбинация оси логарифмического искажения для оси Y
Logarithmic Distortion X-Axis Direction , Логарифмическое Искажение Направление оси X
Logarithmic Distortion Y-Axis Direction , Логарифмическое искажение Направление оси Y
Lomo , Ломо
Lomography Redscale 100 , Ломографическая шкала 100
Lomography X-Pro Slide 200 , Ломографическая камера X-Pro Слайд 200
Lookup , Посмотреть
Lookup Size , Размер поиска
Loop Method , Метод петли
Low , Низкий уровень
Low Bias , Низкий Уровень Предвзятости
Low Contrast Blue , Низкоконтрастный синий
Low Frequency , Низкая частота
Low Frequency Layer , Низкочастотный слой
Low Key , Низкий Ключ
Low Key 01 , Низкий ключ 01
Low Scale , Низкий масштаб
Low Value , Низкая стоимость
Lower Layer Is the Bottom Layer for All Blends , Нижний слой - это нижний слой для всех смесей.
Lower Mask Threshold (%) , Нижний порог маски (%)
Lower Side Orientation , Нижняя боковая ориентация
Lowercase Letters , Нижний регистр Буквы
Lowlights Crossover Point , Низко освещенная точка пересечения
Lowres CLUT , Лоурес ЗАКРЫТО
Lucky 64 , счастливчик 64
Luma Noise , шум Лумы
Luminance Factor , фактор яркости
Luminance Level , Уровень яркости
Luminance Only , Только яркость
Luminance Only (Lab) , Только яркость (Лаборатория)
Luminance Only (YCbCr) , Только яркость (YCbCr)
Luminance Shift , Сдвиг яркости
Luminance Smoothness , Гладкость яркости
Luminosity from Color , Светимость от цвета
Luminosity Type , Тип светимости
Lush Green Summer , Летняя пышная зелень
Lutify.Me (7) , Лютифицируй. Я (7)
LUTs Pack , СПОИ пакет
Lylejk's Painting , Картина Лайлейка
Magenta Coffee , Кофе "Пурпурный
Magenta Day , День пурпурного цвета
Magenta Day 01 , Пурпурный день 01
Magenta Dream , пурпурная мечта
Magenta Factor , пурпурный фактор
Magenta Shift , пурпурный сдвиг
Magenta Smoothness , пурпурная гладкость
Magenta Yellow , пурпурный жёлтый
Magenta-Yellow , Пурпурно-желтый
Magic Details , Волшебные детали
Magnitude / Phase , Магнитуда / Фаза
Mail , Почта
Make Hue Depends on Region Size , Сделать оттенок зависит от размера региона
Make Seamless [Patch-Based] , Сделать бесшовным [на основе патча]
Make Squiggly , Сделать хрустящей
Make Up , Макияж
Mandelbrot , Мандельброт
Mandelbrot - Julia Sets , Мандельброт - Джулия Сетс
Mandelbrot Explorer , исследователь Мандельброта
Manhattan , Манхэттен
Manual , Руководство
Manual Controls , Ручное управление
Map , Карта
Map Tones , Тоны карты
Mapping , Картирование
Marble , Мрамор
Margin (%) , Маржа (%)
Mascot Image , Талисманное изображение
Masculine , Мужской
Mask , Маска
Mask + Background , Маска + фон
Mask as Bottom Layer , Маска как нижний слой
Mask By , Маска мимо
Mask Color , Цвет маски
Mask Contrast , Контраст масок
Mask Creator , Создатель Маски
Mask Dilation , Расширение маски
Mask Size , Размер маски
Mask Smoothness (%) , Гладкость маски (%)
Mask Type , Тип маски
Masked Image , Маскированное изображение
Masking , Маскировка
Match Colors With , Матч цвета с
Matching Precision (Smaller Is Faster) , Соответствующая точность (Меньше - быстрее)
Math Symbols , Математические символы
Matrix , Матрица
Max , Макс
Max Angle , Макс Угол
Max Angle Deviation (deg) , Максимальное отклонение угла (град)
Max Area , Область Макс
Max Curve , Макс-Куровень
Max Iterations , Максимальное количество итераций
Max Length (%) , Макс. длина (%)
Max Offset (%) , Макс. смещение (%)
Max Radius , Макс Радиус
Max Threshold , Макс Порог
Max-T , Макс-Т
Maximal Area , Максимальная площадь
Maximal Color Saturation , Максимальная насыщенность цвета
Maximal Highlights , Максимальные показатели
Maximal Radius , Максимальный радиус
Maximal Seams per Iteration (%) , Максимальное количество швов за одну итерацию (%)
Maximal Size , Максимальный размер
Maximal Value , Максимальное значение
Maximum , Максимум
Maximum Dimension , Максимальный размер
Maximum Image Size , Максимальный размер изображения
Maximum Number of Image Colors , Максимальное количество цветов изображения
Maximum Number of Output Layers , Максимальное количество выходных слоев
Maximum Red:Blue Ratio in the Fringe , Максимальный Красный: Синий Соотношение в Грань
Maximum Saturation , Максимальное насыщение
Maximum Size Factor , Максимальный размерный коэффициент
Maximum Value , Максимальное значение
Maze , Лабиринт
Maze Type , Тип лабиринта
McKinnon 75 , Маккиннон 75
Mean Color , Средний цвет
Mean Curvature , Средняя кривизна
Median , Медиан
Median (beware: Memory-Consuming!) , Медиан (остерегайся: Память-Потребность!)
Median Radius , Медианское Радиус
Medium , Средний
Medium 3 , средняя величина 3
Medium Details Smoothness , Детали среднего размера Гладкость
Medium Details Threshold , Средний Порог Детали
Medium Frequency Layer , Среднечастотный слой
Medium Scale (Original) , Средняя шкала (Оригинал)
Medium Scale (Smoothed) , Средняя шкала (сглаженная)
Memories , Воспоминания
Merge Brightness / Colors , Слияние яркости / цвета
Merge Layers? , Слияние слоев?
Merging Mode , Режим слияния
Merging Option , Вариант объединения
Merging Steps , Слияние ступеней
Mess with Bits , Месс с битами
Metal , Металл
Metallic Look , Металлический вид
Method , Метод
Metric , Метрика
Metropolis , Метрополис
Micro/macro Details  Adjusted , Микро/макро Подробности Настроено
Mid Grey , Средний серый
Mid Noise , Средний шум
Mid Offset , Среднее смещение
Mid Tone Contrast , Контраст средних тонов
Mid-Dark Grey , Среднетемно-серый
Mid-Light Grey , Средне-светло-серый серый
Mid-Tones , Средние тона
Middle Grey , Средне- серый
Middle Scale , Средний масштаб
Midtones Brightness , Яркость средних тонов
Midtones Color Intensity , Интенсивность цвета средних тонов
Midtones Hue , Мидтонс Хью
Mighty Details , Могучие детали
Milo 5 , Мило 5
Min , Мин
Min Angle Deviation (deg) , Мин Угол Отклонение (град)
Min Area % , Мин. район %
Min Cut (%) , Мин. разрез (%)
Min Length (%) , Мин Длина (%)
Min Offset (%) , Мин Смещение (%)
Min Radius , Мин Радиус
Min Threshold , Мин Порог
Min-T , Мин-Т
Mineral Mosaic , Минеральная мозаика
Minimal Area , Минимальная площадь
Minimal Area (%) , Минимальная площадь (%)
Minimal Color Intensity , Минимальная интенсивность цвета
Minimal Highlights , Минимальные яркости
Minimal Path , Минимальный путь
Minimal Radius , Минимальный радиус
Minimal Region Area , Минимальный район
Minimal Scale (%) , Минимальная шкала (%)
Minimal Shape Area , Минимальная площадь формы
Minimal Size , Минимальный размер
Minimal Size (%) , Минимальный размер (%)
Minimal Stroke Length , Минимальная длина хода
Minimal Value , Минимальное значение
Minimalist Caffeination , Минималистская кофеинация
Minimum , Минимум
Minimum Brightness , Минимальная яркость
Minimum Red:Blue Ratio in the Fringe , Минимальное соотношение красного и синего цветов на границе
Mirror , Зеркало
Mirror Effect , Зеркальный эффект
Mirror X , Зеркало Х
Mirror Y , Зеркало Y
Mirror-X , Зеркало-X
Mix , Микс
Mixed Mode , Смешанный режим
Mixer [CMYK] , Миксер [CMYK]
Mixer [HSV] , Миксер [HSV]
Mixer [Lab] , Миксер [Лаборатория]
Mixer [PCA] , Смеситель [PCA]
Mixer [RGB] , Миксер [RGB]
Mixer [YCbCr] , Миксер [YCbCr]
Mixer Mode , Режим микшера
Mixer Style , Стиль смесителя
Mod , Мод
Mode , Режим
Modern Film , Современный фильм
Modulo Value , Модульное значение
Moir&eacute; Animation , Муар и орех; Анимация
Moire Removal , Удаление муара
Moire Removal Method , Метод удаления муара
Mona Lisa , Мона Лиза
Mondrian: Composition in Red-Yellow-Blue , Мондриан: Состав в красно-желто-синем цвете
Mondrian: Evening; Red Tree , Мондриан: Добрый вечер; Красное дерево
Mondrian: Gray Tree , Мондриан: Серое дерево
Monet: San Giorgio Maggiore at Dusk , Моне: Сан-Джорджо Маджоре на закате.
Monet: Water-Lily Pond , Моне: Водяной пруд с лилиями
Monet: Wheatstacks - End of Summer , Моне: стог пшеницы - конец лета
Monkey , Обезьяна
Mono , Моно
Mono Tinted , Моно-тонированный
Mono+G , моно+G
Mono+R , моно+R
Mono+Ye , Моно+Да
Mono-Directional , Мононаправленный
Monochrome , Монохромный
Monochrome 1 , монохромный 1
Monochrome 2 , монохромный 2
Montage , Монтаж
Montage Type , Тип монтажа
Moody-1 , Муди-1
Moody-10 , Муди-10
Moody-2 , Муди-2
Moody-3 , Муди-3
Moody-4 , Муди-4
Moody-5 , Муди-5
Moody-6 , Муди-6
Moody-7 , Муди-7
Moody-8 , Муди-8
Moody-9 , Муди-9
Moon2panorama , Лунная2панорама
Moonlight 01 , Лунный свет 01
Moonrise , Восход Луны
Morning 6 , утро 6
Morph [Interactive] , Морф [интерактивный]
Morph Layers , морфологические слои
Morphological - Fastest Sharpest Output , Морфологический - Самый быстрый острый выход
Morphological Closing , морфологическое закрытие
Morphological Filter , морфологический фильтр
Morphology Painting , морфологическая живопись
Morphology Strength , Морфология Сила
Morroco 16 , Морроко 16
Mosaic , Мозаика
Most , Большинство
Mostly Blue , В основном голубой
Motion Analyzer , Анализатор движения
Moviz (48) , Мовиз (48)
Moviz 1 , Мовиз 1
Moviz 10 , Мовиз 10
Moviz 11 , Мовиз 11
Moviz 12 , Мовиз 12
Moviz 13 , Мовиз 13
Moviz 14 , Мовиз 14
Moviz 15 , Мовиз 15
Moviz 16 , Мовиз 16
Moviz 17 , Мовиз 17
Moviz 18 , Мовиз 18
Moviz 19 , Мовиз 19
Moviz 2 , Мовиз 2
Moviz 20 , Мовиз 20
Moviz 21 , Мовиз 21
Moviz 22 , Мовиз 22
Moviz 23 , Мовиз 23
Moviz 24 , Мовиз 24
Moviz 25 , Мовиз 25
Moviz 26 , Мовиз 26
Moviz 27 , Мовиз 27
Moviz 28 , Мовиз 28
Moviz 29 , Мовиз 29
Moviz 3 , Мовиз 3
Moviz 30 , Мовиз 30
Moviz 31 , Мовиз 31
Moviz 32 , Мовиз 32
Moviz 33 , Мовиз 33
Moviz 34 , Мовиз 34
Moviz 35 , Мовиз 35
Moviz 36 , Мовиз 36
Moviz 37 , Мовиз 37
Moviz 38 , Мовиз 38
Moviz 39 , Мовиз 39
Moviz 4 , Мовиз 4
Moviz 40 , Мовиз 40
Moviz 41 , Мовиз 41
Moviz 42 , Мовиз 42
Moviz 43 , Мовиз 43
Moviz 44 , Мовиз 44
Moviz 45 , Мовиз 45
Moviz 46 , Мовиз 46
Moviz 47 , Мовиз 47
Moviz 48 , Мовиз 48
Moviz 5 , Мовиз 5
Moviz 6 , Мовиз 6
Moviz 7 , Мовиз 7
Moviz 8 , Мовиз 8
Moviz 9 , Мовиз 9
Much , Много
Much Blue , Много синего
Much Green , Много зелени
Much Red , Много красного
Multi-Layer Etch , Многослойное травление
Multiple Colored Shapes Over Transp. BG , Многоцветные формы над транспарантом. ГЕНЕРАЛЬНЫЙ СЕКРЕТАРИАТ
Multiple Layers , Многослойные
Multiplier , Мультипликатор
Multiply , Умножить
Multiscale Operator , Многофункциональный оператор
Munch: The Scream , Манч: Крик
Mute Shift , Немой сдвиг
Muted 01 , приглушённый 01
Muted Fade , приглушённый фадеж
Mystic Purple Sunset , Мистический Фиолетовый Закат
Nah , Нах
Naif , Наиф
Name , Имя
Natural (vivid) , Натуральный (яркий)
Nature & Wildlife-1 , Природа и дикая природа - 1
Nature & Wildlife-10 , Природа и дикая природа-10
Nature & Wildlife-2 , Природа и дикая природа-2
Nature & Wildlife-3 , Природа и дикая природа-3
Nature & Wildlife-4 , Природа и дикая природа-4
Nature & Wildlife-5 , Природа и дикая природа-5
Nature & Wildlife-6 , Природа и дикая природа-6
Nature & Wildlife-7 , Природа и дикая природа-7
Nature & Wildlife-8 , Природа и дикая природа - 8
Nature & Wildlife-9 , Природа и дикая природа-9
Nb Circles Surrounding , Nb Круги Окружающие
Near Black , Почти черный
Nearest , Ближайший
Nearest Neighbor , Ближайший сосед
Neat Merge , Изящное слияние
Negate , Отрицать
Negation , Отрицание
Negative , Отрицательный
Negative [Color] (13) , Отрицательный [Цвет] (13)
Negative [New] (39) , Отрицательный [Новый] (39)
Negative [Old] (44) , Отрицательный [Старый] (44)
Negative Color Abstraction , Отрицательная цветовая абстракция
Negative Colors , Отрицательные цвета
Negative Effect , Отрицательный эффект
Neighborhood Size (%) , Размер района (%)
Neighborhood Smoothness , Соседская гладкость
Nemesis , Немезида
Neon 770 , Неон 770
Neon Lightning , неоновая молния
Neumann , Нейман
Neutral Color , нейтральный цвет
Neutral Teal Orange , нейтральный апельсин чирка
Neutral Warm Fade , Нейтральное потепление
New Curves [Interactive] , Новые кривые [интерактивные]
Newspaper , Газета
Newton , Ньютон
Newton Fractal , Ньютонский фрактал
Night 01 , 01-я ночь
Night Blade 4 , Ночное лезвие 4
Night From Day , Ночь с дня
Night King 141 , Ночной король 141
Night Spy , Ночной Шпион
Nine Layers , Девять слоев
No Masking , Без маскировки
No Recovery , Нет Восстановления
No Rescaling , Без пересчета
No Transparency , Нет Прозрачность
Noise , Шум
Noise [Additive] , Шум [Добавка]
Noise [Perlin] , Шум [Перлин]
Noise [Spread] , Шум [Распространение]
Noise A , Шум А
Noise B , Шум B
Noise C , Шум С
Noise D , Шум D
Noise Level , Уровень шума
Noise Scale , Шкала шума
Noise Type , Тип шума
Non / No , Нет
Non-Linearity , Нелинейность
None , Нет
None (Allows Multi-Layers) , Нет (Позволяет многослойность)
None- Skip , None-Scip
Norm Type , Тип Нормы
Normal , Нормальный
Normal Map , Нормальная карта
Normal Output , нормальный выход
Normalization , Нормализация
Normalize , Нормализовать
Normalize Brightness , Нормализовать яркость
Normalize Colors , Нормализовать цвета
Normalize Illumination , Нормализовать освещение
Normalize Input , Нормализовать вход
Normalize Luma , Нормализовать Луму
Normalize Scales , Нормализуют весы
Nostalgia Honey , Ностальгия, милая
Nostalgic , Ностальгический
Nothing , Ничего
Number , Номер
Number of Added Frames , Количество добавленных кадров
Number of Angles , Количество углов
Number of Clusters , Количество кластеров
Number of Colors , Количество цветов
Number of Frames , Количество кадров
Number of Inter-Frames , Количество межкадров
Number of Iterations per Scale , Количество итераций по шкале
Number of Key-Frames , Количество ключевых кадров
Number of Levels , Количество уровней
Number of Matches (Coarsest) , Количество совпадений (грубейший)
Number of Matches (Finest) , Количество матчей (Лучшие)
Number of Orientations , Число ориентаций
Number Of Rays , Количество лучей
Number of Scales , Количество шкал
Number of Sizes , Количество размеров
Number of Streaks , Количество полос
Number of Teeth , Количество зубьев
Number of Tones , Количество тонов
Object Animation , Анимация объектов
Object Ratio , Соотношение объектов
Object Tolerance , Толерантность к объектам
Octagon , Октагон
Octagonal , Октагональный
Octaves , Октавы
Oddness (%) , Нечётность (%)
Off , Офф
Offset , Офсет
Offset (%) , Смещение (%)
Offset Angle Rays Layer 1 , Угловые лучи смещения Слой 1
Offset Angle Rays Layer 2 , Слои 2 лучей с углами смещения
Ohad Peretz (7) , Охад Перец (7)
Ohta8 , Ота8
Old Method - Slowest , Старый метод - самый медленный
Old Photograph , Старая фотография
Old West , Старый Запад
Old-Movie Stripes , Полосы старого кино
Oldschool 8bits , Старая школа 8бит
ON1 Photography (90) , ON1 Фотография (90)
Once Upon a Time , Однажды
One Layer , Один слой
One Layer (Horizontal) , Один слой (по горизонтали)
One Layer (Vertical) , Один слой (вертикальный)
One Layer per Single Color , Один слой на один цвет
One Layer per Single Region , Один слой на один регион
One Thread , Одна Нить
Only Leafs , Только Листья
Only Red , Только Красный
Only Red and Blue , Только красный и синий
Opacity , Непрозрачность
Opacity (%) , Непрозрачность (%)
Opacity as Heightmap , Непрозрачность как Высота Карты
Opacity Contours , Непрозрачность Контуры
Opacity Factor , Коэффициент непрозрачности
Opacity Gain , Прирост непрозрачности
Opacity Gamma , Гамма непрозрачности
Opacity Snowflake , Непрозрачность Снежинка
Opacity Threshold (%) , Порог непрозрачности (%)
Opaque Pixels , непрозрачные пиксели
Opaque Regions on Top Layer , Непрозрачные регионы на верхнем слое
Opaque Skin , непрозрачная кожа
Open Interactive Preview , Открытый интерактивный предварительный просмотр
Opening , Открытие
Operation Yellow , Эксплуатация Желтый
Operator , Оператор
Opposing , Против
Optimized Lateral Inhibition , Оптимизированное боковое торможение
Orange Dark 4 , Оранжевый Тёмный 4
Orange Dark 7 , Оранжевый Тёмный 7
Orange Dark Look , Оранжевый темный взгляд
Orange Tone , Оранжевый тон
Orange Underexposed , Оранжевый Неэкспонированный
Oranges , Апельсины
Order , Заказать
Order By , Порядок по
Orientation , Ориентация
Orientation Coherence , Ориентация Согласованность
Orientation Only , Только ориентация
Orientations , Ориентации
Original , Оригинал
Original - (Opening + Closing)/2 , Оригинал - (Открытие + Закрытие)/2
Original - Erosion , Оригинал - Эрозия
Original - Opening , Оригинал - Открытие
Orthogonal Radius , ортогональный радиус
Orton Glow , Ортон Глоу
Orwo NP20-GDR , Орво НП20-ГДР
Others (69) , Другие (69)
Ouline Color , уличный цвет
Outer , Внешний
Outer Fading , Внешнее затухание
Outer Length , Внешняя длина
Outer Radius , Внешний радиус
Outline , Описание
Outline (%) , Набросок (%)
Outline Color , Общий цвет
Outline Contrast , Общий контраст
Outline Opacity , Краткий обзор Непрозрачность
Outline Size , Общий размер
Outline Smoothness , Гладкость линий
Outline Thickness , Общая толщина
Outlined , Размещено на сайте
Output , Выход
Output As , Выход Как
Output as Files , Выход в виде файлов
Output as Frames , Выход в виде кадров
Output as Multiple Layers , Выход как многослойный
Output as Separate Layers , Выход в виде отдельных слоев
Output Ascii File , Выходной файл Ascii
Output Chroma NR , Выход Chroma NR
Output CLUT , Выходной затвор
Output CLUT Resolution , Разрешение выходного затвора
Output Coordinates File , Выходные координаты Файл
Output Corresponding CLUT , Выход Соответствующий затвор
Output Directory , Выходной каталог
Output Each Piece on a Different Layer , Выводить каждую деталь на другой слой
Output Filename , Имя выходного файла
Output Files , Выходные файлы
Output Folder , Выходная папка
Output Format , Формат вывода
Output Frames , Выходные рамки
Output Height , Выходная высота
Output HTML File , Выходной HTML-файл
Output Layers , Выходные слои
Output Mode , Режим выхода
Output Multiple Layers , Выходные многослойные
Output Preset as a HaldCLUT Layer , Выходная предустановка в виде слоя HaldCLUT
Output Region Delimiters , Выход Региональные делимитеры
Output Saturation , Выходное насыщение
Output Sharpening , Выход Заточка
Output Stroke Layer On , Выходной слой-инсульт Вкл
Output to Folder , Выход в папку
Output Type , Тип выхода
Output Width , Выходная ширина
Outside , Снаружи
Outside Color , Внешний цвет
Outside-In , Снаружи
Outward , Внешний
Overall Blur , Общее размытие
Overall Contrast , Общий контраст
Overall Lightness , Общая легкость
Overlap (%) , Перекрытие (%)
Overlay , Наложение
Oversample , Перевыборка
Overshoot , Пересмотреть
Pack , Упаковать
Pack Sprites , Упаковка спрайтов
Pacman , Пакман
Padding (px) , Паддинг (px)
Paint , Краска
Paint Daub , Краска Дауб
Paint Effect , Эффект краски
Painter's Edge Protection Flow , Поток защиты кромок художника
Painter's Smoothness , Гладкость живописца
Painter's Touch Sharpness , Острота прикосновения художника
Painting , Картина
Painting Opacity , Живопись Непрозрачность
Paladin , Паладин
Paladin 1875 , Паладин 1875
Paper Texture , Текстура бумаги
Parallel Processing , Параллельная обработка
Parrots , Попугаи
Pasadena 21 , Пасадена 21
Passing By , Проходя мимо
Pastell Art , Пастельное искусство
Patch , Патч
Patch Measure , Меры по устранению неполадок
Patch Size , Размер патча
Patch Size for Analysis , Размер патча для анализа
Patch Size for Synthesis , Размер патча для синтеза
Patch Size for Synthesis (Final) , Размер патча для синтеза (окончательный)
Patch Smoothness , Гладкость пятна
Patch Variance , Патч-вариант
Pattern , Образец
Pattern Angle , Угол узора
Pattern Height , Высота узора
Pattern Type , Тип схемы
Pattern Variation 1 , Вариация модели 1
Pattern Variation 2 , Вариация модели 2
Pattern Variation 3 , Вариация модели 3
Pattern Weight , Узорчатый вес
Pattern Width , Ширина узора
Paw , Лапа
PCA Transfer , передача PCA
Pea Soup , Гороховый суп
Pen Drawing , Рисунок ручкой
Penalize Patch Repetitions , Штрафовать повторы исправлений
Pencil , Карандаш
Pencil Amplitude , Амплитуда карандаша
Pencil Portrait , Карандашный портрет
Pencil Size , Размер карандаша
Pencil Smoother Edge Protection , Защита карандаша от размывания краев
Pencil Smoother Sharpness , Карандаш Гладкая Острота
Pencil Smoother Smoothness , Карандаш Гладкая гладкость
Pencil Type , Тип карандаша
Pencils , Карандаши
Pentagon , Пентагон
Peppers , Перцы
Percent of Image Half-Hypotenuse (%) , Процент полугипотенузы изображения (%)
Periodic , Периодический
Periodic Dots , Периодические точки
Periodicity , Периодичность
Perserve Luminance , Персервное освещение
Perspective , Перспектива
Perturbation , Пертурбация
Petals , Лепестки
Phase , Этап
Phone , Телефон
Phong , Тонг
PhotoComix Preset , Предустановленная настройка PhotoComix
Photoillustration , Фотоиллюстрация
Picabia: Udnie , Пикабиа: Удне
Picasso: Les Demoiselles D'Avignon , Пикассо: Les Demoiselles D'Avignon
Picasso: Seated Woman , Пикассо: Сидячая женщина
Picasso: The Reservoir - Horta De Ebro , Водохранилище - Хорта де Эбро...
Piece Complexity , Сложность деталей
Piece Size (px) , Размер штуки (px)
Pin Light , Пин-лайт
Pink Fade , Розовое затемнение
Pinlight , Пинлайт
Pitaya 15 , Питая, 15
Pixel Denoise , Пиксель Денуаза
Pixel Sort , Сорт пикселей
Pixel Values , Значения пикселей
PIXLS.US (31) , ПИКСЛС.США (31)
Placement , Размещение
Plaid , Плайд
Plane , Самолет
Plasma , Плазма
Plasma Effect , плазменный эффект
Plot Type , Тип участка
Point #0 , Точка #0
Point #1 , Пункт #1
Point #2 , Пункт 2
Point #3 , Пункт 3
Point 1 , Пункт 1
Point 2 , Пункт 2
Points , Баллы
Poisson , Пуассон
Polar Transform , Полярное преобразование
Polaroid , Полароид
Polaroid 664 , Полароид 664
Polaroid 665 , Полароид 665
Polaroid 665 + , Полароид 665 +
Polaroid 665 ++ , Полароид 665 ++
Polaroid 665 - , Полароид 665 -
Polaroid 665 -- , Полароид 665 --
Polaroid 665 Negative , Полароид 665 Отрицательный
Polaroid 665 Negative + , Полароид 665 Отрицательный +
Polaroid 665 Negative - , Полароид 665 Отрицательный -
Polaroid 665 Negative HC , Полароид 665 Отрицательный HC
Polaroid 667 , Полароид 667
Polaroid 669 , Полароид 669
Polaroid 669 + , Полароид 669 +
Polaroid 669 ++ , Полароид 669 ++
Polaroid 669 +++ , Полароид 669 +++
Polaroid 669 - , Полароид 669 -
Polaroid 669 -- , Полароид 669 --
Polaroid 669 Cold , Полароид 669 Холодный
Polaroid 669 Cold + , Полароид 669 Холодный +
Polaroid 669 Cold - , Полароид 669 Холодный -
Polaroid 669 Cold -- , Полароид 669 Холодный --
Polaroid 672 , Полароид 672
Polaroid 690 , полароид 690
Polaroid 690 + , Полароид 690 +
Polaroid 690 ++ , Полароид 690 ++
Polaroid 690 - , Полароид 690 -
Polaroid 690 -- , Полароид 690 --
Polaroid 690 Cold , Полароид 690 Холодный
Polaroid 690 Cold + , Полароид 690 Холодный +
Polaroid 690 Cold ++ , Полароид 690 Холодный ++
Polaroid 690 Cold - , Полароид 690 Холодный -
Polaroid 690 Cold -- , Полароид 690 Холодный...
Polaroid 690 Warm , Полароид 690 Теплый
Polaroid 690 Warm + , Полароид 690 Теплый +
Polaroid 690 Warm ++ , Полароид 690 Теплый ++
Polaroid 690 Warm - , Полароид 690 Теплый -
Polaroid 690 Warm -- , Полароид 690 Теплый...
Polaroid Polachrome , полароидный полихром
Polaroid PX-100UV+ Cold , Полароид PX-100UV+ Холодный
Polaroid PX-100UV+ Cold + , Полароид PX-100UV+ Холодный +
Polaroid PX-100UV+ Cold ++ , Полароид PX-100UV+ Холодный ++
Polaroid PX-100UV+ Cold +++ , Полароид PX-100UV+ Холодный + +++
Polaroid PX-100UV+ Cold - , Полароид PX-100UV+ Холодный -
Polaroid PX-100UV+ Cold -- , Полароид PX-100UV+ Холодный...
Polaroid PX-100UV+ Warm , Полароид PX-100UV+ теплый
