<b>Arrays & Tiles</b> , <b>Arrays & Tegels</b>
Hedcut (Experimental) , Hedcut (Experimenteel)
Height , Hoogte
Height (%) , Hoogte (%)
Herderite , Herderiet
Hexagonal , Zeshoekig
Hiddenite , Verborgenheid
High , Hoog
High (Slower) , Hoog (langzamer)
High Frequency , Hoge frequentie
High Frequency Layer , Hoogfrequente laag
High Key , Hoge sleutel
High Pass , Hoge Pas
High Quality , Hoge kwaliteit
High Scale , Hoge Schaal
High Speed , Hoge snelheid
High Value , Hoge waarde
Higher Mask Threshold (%) , Hogere masker drempel (%)
Highlight , Markeer
Highlight (%) , Markeer (%)
Highlight Bloom , Markeer Bloom
Highlights Abstraction , Hoogtepunten Abstractie
Highlights Brightness , Highlights Helderheid
Highlights Color Intensity , Highlights Kleurintensiteit
Highlights Hue , Highlights Tint
Highlights Lightness , Highlights Lichtheid
Highlights Protection , Hoogtepunten Bescherming
Highlights Selection , Hoogtepunten Selectie
Highlights Threshold , Hoogtepunten Drempel
Highlights Zone , Hoogtepunten Zone
Histogram Analysis , Histogramanalyse
Histogram Transfer , Histogram overdracht
Hokusai: The Great Wave , Hokusai: de grote golf
Homogeneity , Homogeniteit
Hong Kong , Hongkong
Hope Poster , Hoop Affiche
Horisontal Length , Horizontale lengte
Horizon Leveling (deg) , Horizontale nivellering (deg)
Horizontal , Horizontale
Horizontal (%) , Horizontaal (%)
Horizontal Amount , Horizontaal bedrag
Horizontal Array , Horizontale Serie
Horizontal Blur , Horizontale vervaging
Horizontal Length , Horizontale lengte
Horizontal Size (%) , Horizontale grootte (%)
Horizontal Stripes , Horizontale strepen
Horizontal Tiles , Horizontale tegels
Horizontal Warp Only , Alleen horizontale kromming
Horror Blue , Horrorblauw
Hot , Hete
Hot (256) , Warm (256)
Hough Transform , Hough Transformeren
House , Huis
Householder , Huishouder
HSI [all] , HSI [alle]
HSI [Intensity] , HSI [Intensiteit]
HSL [all] , HSL [alle]
HSL [Lightness] , HSL [Lichtheid]
HSL Adjustment , HSL-aanpassing
HSV [all] , HSV [alle]
HSV [Saturation] , HSV [Verzadiging]
HSV [Value] , HSV [Waarde]
HSV Select , HSV kiezen
Hue , Tint
Hue (%) , Tint (%)
Hue Band , Tint band
Hue Factor , Tintfactor
Hue Lighten-Darken , Tint Verbleken-Donkeren
Hue Max (%) , Tint maximaal (%)
Hue Min (%) , Tint Min (%)
Hue Offset , Tint compensatie
Hue Range , Tintwaaier
Hue Shift , Tint verschuiving
Hue Smoothness , Tint Gladheid
Human  2 , Menselijk 2
Human 1 , Menselijk 1
Human 2 , Menselijk 2
Hybrid Median - Medium Speed Softest Output , Hybride Mediaan - Gemiddelde snelheid Softeste Uitgang
Hypnosis , Hypnose
Identity , Identiteit
Ignore , Negeer
Ignore Current Aspect , Negeer het huidige aspect
Illuminate 2D Shape , Verlicht 2D-vorm
Illumination , Verlichting
Illustration Look , Illustratie Kijk
Image , Afbeelding
Image + Background , Afbeelding + Achtergrond
Image + Colors (2 Layers) , Afbeelding + Kleuren (2 lagen)
Image + Colors (Multi-Layers) , Afbeelding + Kleuren (Multi-Layers)
Image Contour Dimensions , Afmetingen van de beeldcontouren
Image Smoothness , Afbeelding Gladheid
Image to Grab Color from (.Png) , Afbeelding om kleur te krijgen van (.Png)
Image Weight , Beeldgewicht
Import Data , Gegevens importeren
Import RGB-565 File , RGB-565-bestand importeren
Impulses 5x5 , Impulsen 5x5
Impulses 7x7 , Impulsen 7x7
Impulses 9x9 , Impulsen 9x9
Include Opacity Layer , Inclusief Opacity Layer
Increasing , Toename van
Indoor Blue , Binnenshuis Blauw
Industrial 33 , Industrieel 33
Influence of Color Samples (%) , Invloed van kleurmonsters (%)
Information , Informatie
Init. Resolution , Init. Resolutie
Init. With High Gradients Only , Init. Met alleen hoge gradiënten
Initial Density , Oorspronkelijke Dichtheid
Initialization , Initialisatie
Ink Wash , Inkt Wassen
Inner , Innerlijke
Inner Fading , Innerlijke verbleking
Inner Length , Binnenlengte
Inner Radius , Binnenstraal
Inner Radius (%) , Binnenstraal (%)
Inner Shade , Binnenste Schaduw
Inpaint [Holes] , Schilderij [Gaten]
Inpaint [Morphological] , Inpaint [Morfologisch]
Inpaint [Multi-Scale] , Schilderij [Multi-Schaal]
Inpaint [Transport-Diffusion] , Inpaint [Transport-Diffusie]
Input , Invoer
Input Folder , Invoermap
Input Frame Files Name , Naam invoerkaderbestanden
Input Guide Color , Kleur van de invoergids
Input Layers , Invoerlagen
Input Transparency , Input Transparantie
Input Type , Type invoer
Insert New CLUT Layer , Nieuwe CLUT-laag invoegen
Inside , Binnenin
Inside Color , Kleur van de binnenkant
Instant [Consumer] (54) , Onmiddellijk [consument] (54)
Instant [Pro] (68) , Onmiddellijk [Pro] (68)
Intensity , Intensiteit
Intensity of Purple Fringe , Intensiteit van paarse franje
Inter-Frames , Interframes
Interlace Horizontal , Horizontale tussenruimte
Interlace Vertical , Verticaal in elkaar schuiven
Interpolate , Interpoleer
Interpolation , Interpolatie
Interpolation Type , Interpolatie Type
Inverse , Omgekeerd
Inverse Depth Map , Inverse Diepte Kaart
Inverse Radius , Omgekeerde straal
Inverse Transform , Omgekeerde transformatie
Inversions , Inversies
Invert Background / Foreground , Achtergrond omkeren / Voorgrond
Invert Blur , Omkeren Wazigheid
Invert Canvas Colors , Omkeren van Canvas Kleuren
Invert Colors , Kleuren omkeren
Invert Image Colors , Beeldomkering Kleuren
Invert Luminance , Omkering van de helderheid
Invert Mask , Omkeermasker
Inward , Binnenwaarts
Isophotes , Isofoten
Isotropic , Isotroop
Iteration , Iteratie
Iterations , Iteraties
Japanese Maple Leaf , Japans esdoornblad
Jet (256) , Straal (256)
JPEG Artefacts , JPEG-artefacten
JPEG Smooth , JPEG Glad
Just Peachy , Gewoon Peachy
Kaleidoscope [Blended] , Caleidoscoop [Gemengd]
Kaleidoscope [Polar] , Caleidoscoop [Polar]
Kaleidoscope [Symmetry] , Caleidoscoop [Symmetrie]
Kandinsky: Squares with Concentric Circles , Kandinsky: Pleinen met concentrische cirkels
Kandinsky: Yellow-Red-Blue , Kandinsky: Geel-rood-blauw
Keep , Houd
Keep Aspect Ratio , Houd de hoogte-breedteverhouding
Keep Base Layer as Input Background , Houd de basislaag als invoerachtergrond
Keep Borders Square , Houd Grenzen vierkant
Keep Color Channels , Houd de kleurkanalen
Keep Colors , Houd Kleuren
Keep Detail , Detail bewaren
Keep Detail Layer Separate , Houd de detaillaag apart
Keep Iterations as Different Layers , Houd Iteraties als Verschillende Lagen
Keep Layers Separate , Lagen apart houden
Keep Original Image Size , Bewaar het originele beeldformaat
Keep Original Layer , Bewaar de originele laag
Keep Tiles Square , Houd Tegels vierkant
Keep Transparency in Output , Transparantie in de uitvoer behouden
Kernel Multiplier , Kernelvermenigvuldiger
Kernel Type , Kerneltype
Key Factor , Belangrijke factor
Key Frame Rate , Belangrijkste frametarief
Key Shift , Sleutelverschuiving
Key Smoothness , Sleutel Smoothness
Keypoint Influence (%) , Kernpunt Invloed (%)
Klee: Death and Fire , Klee: Dood en Vuur
Klee: In the Style of Kairouan , Klee: In de stijl van Kairouan
Klee: Oriental Pleasure Garden Anagoria , Klee: Oosterse Pleziertuin Anagoria
Klee: Polyphony 2 , Klee: Polyfonie 2
Klee: Red Waistcoat , Klee: Rode Taillejas
Klimt: The Kiss , Klimt: De kus
Kodak Elite Chrome 400 , Kodak Elite Chroom 400
Kuwahara , Koewehara
Kuwahara on Painting , Koewehara op Schilderij
Lab (Chroma Only) , Lab (alleen Chroma)
Lab (Distinct) , Laboratorium (Distinct)
Lab (Luma Only) , Lab (alleen Luma)
Lab (Mixed) , Lab (Gemengd)
Lab [all] , Lab [alle]
Lab [Lightness] , Lab [Lichtheid]
LAB-Lightness , LAB-Lichtheid
Landscape , Landschap
Landscape-1 , Landschap-1
Landscape-10 , Landschap-10
Landscape-2 , Landschap-2
Landscape-3 , Landschap-3
Landscape-4 , Landschap-4
Landscape-5 , Landschap-5
Landscape-6 , Landschap-6
Landscape-7 , Landschap-7
Landscape-8 , Landschap-8
Landscape-9 , Landschap-9
Large , Grote
Large Noise , Groot lawaai
Last , Laatste
Last Frame , Laatste frame
Late Afternoon Wanderlust , Laat in de middag Wanderlust
Late Sunset , Late zonsondergang
Lava Lamp , Lavalamp
Layer , Laag
Layer Processing , Laagverwerking
Layers to Tiles , Lagen naar Tegels
Lch [all] , Lch [alle]
Lch [ch-Chrominances] , Lch [chrominances]
Leaf , Blad
Leaf Color , Bladkleur
Leaf Opacity (%) , Bladopaciteit (%)
Leak Type , Lektype
Left , Links
Left  Foreground , Links Voorgrond
Left / Right Blur (%) , Links / rechts Wazig (%)
Left and Right Background , Links en rechts Achtergrond
Left and Right Foreground , Links en rechts Voorgrond
Left and Right Image Streams , Links en rechts beeldstromen
Left Diagonal Foreground , Links Diagonale voorgrond
Left Foreground , Links Voorgrond
Left Position , Positie links
Left Side Orientation , Linker zijwaartse oriëntatie
Left Slope , Linker Helling
Left Stream Only , Alleen linkse stroom
Length , Lengte
Lenticular Density LPI , Lenticulaire dichtheid LPI
Lenticular Orientation , Lenticulaire oriëntatie
Lenticular Print , Lenticulair afdrukken
Level , Niveau
Level Frequency , Niveau Frequentie
Levels , Niveaus
Life Giving Tree , Leven gevende boom
Lifestyle & Commercial-1 , Levensstijl & Commerciële-1
Lifestyle & Commercial-10 , Levensstijl & Commerciële-10
Lifestyle & Commercial-2 , Levensstijl & Commerciële-2
Lifestyle & Commercial-3 , Levensstijl & Commerciële-3
Lifestyle & Commercial-4 , Levensstijl & Commerciële-4
Lifestyle & Commercial-5 , Levensstijl & Commerciële-5
Lifestyle & Commercial-6 , Levensstijl & Commerciële-6
Lifestyle & Commercial-7 , Levensstijl & Commerciële-7
Lifestyle & Commercial-8 , Levensstijl & Commerciële-8
Light , Licht
Light (blown) , Licht (geblazen)
Light Angle , Lichthoek
Light Color , Lichte kleur
Light Direction , Licht Richting
Light Effect , Licht Effect
Light Glow , Lichtgloed
Light Grey , Lichtgrijs
Light Leaks , Lichte lekken
Light Motive , Licht motief
Light Patch , Licht Flard
Light Rays , Lichtstralen
Light Smoothness , Lichte gladheid
Light Strength , Lichtsterkte
Light Type , Licht Type
Light-Y , Licht-Y
Lighten , Verlicht
Lighten Edges , Randen lichter maken
Lighter , Lichter
Lighting , Verlichting
Lighting Angle , Verlichtingshoek
Lightness , Lichtheid
Lightness (%) , Lichtheid (%)
Lightness Factor , Lichtheidsfactor
Lightness Level , Lichtheidsgraad
Lightness Max (%) , Lichtheid Max (%)
Lightness Min (%) , Lichtheid Min (%)
Lightness Shift , Lichtheidsverschuiving
Lightness Smoothness , Lichtheid Gladheid
Lightning , Bliksem
Lighty Smooth , Licht glad
Limit Hue Range , Limiet Tintwaaier
Line , Lijn
Line Opacity , Lijndoorzichtigheid
Line Precision , Lijnprecisie
Linear , Lineair
Linear Burn , Lineaire verbranding
Linear Light , Lineair licht
Linear RGB , Lineair RGB
Linear RGB [All] , Lineair RGB [Alle]
Linear RGB [Blue] , Lineair RGB [Blauw]
Linear RGB [Green] , Lineair RGB [Groen]
Linear RGB [Red] , Lineair RGB [Rood]
Linearburn , Lineaire verbranding
Linearity , Lineariteit
Linearlight , Lineair licht
Lineart + Color Spots , Lineart + Kleurvlekken
Lineart + Color Spots + Extrapolated Colors , Lineart + Kleurvlekken + Geëxtrapoleerde kleuren
Lineart + Colors , Lineart + Kleuren
Lineart + Extrapolated Colors , Lineart + geëxtrapoleerde kleuren
Lines , Lijnen
Lines (256) , Lijnen (256)
Lion , Leeuw
Lissajous [Animated] , Lissajous [Animatie]
Lissajous Spiral , Lissajous Spiraal
Little , Kleine
Little Blue , Kleine Blauwe
Little Cyan , Kleine Cyaan
Little Green , Klein groen
Little Key , Kleine sleutel
Little Magenta , Kleine Magenta
Little Red , Roodkapje
Little Yellow , Kleine Geel
LN Average-Smoothness , LN Gemiddelde-Snelheid
LN Size , LN-Grootte
Local  Normalisation , Lokale normalisering
Local Contrast , Lokaal contrast
Local Contrast Effect , Lokaal contrasteffect
Local Contrast Enhance , Lokaal contrast verbeteren
Local Contrast Enhancement , Lokale contrastversterking
Local Contrast Style , Lokaal Contrast Stijl
Local Detail Enhancer , Lokale Detail Enhancer
Local Normalization , Lokale normalisatie
Local Orientation , Lokale Oriëntatie
Local Processing , Lokale verwerking
Local Similarity Mask , Lokale gelijkenis Masker
Local Variance Normalization , Lokale variantie Normalisatie
Lock Return Scaling to Source Layer , Schaalvergroting van het slot terug naar de bronlaag
Lock Source , Slotbron
Lock Uniform Sampling , Slot Uniforme Bemonstering
Log(z) , Logboek(z)
Logarithmic Distortion , Logaritmische vervorming
Logarithmic Distortion Axis Combination for X-Axis , Logaritmische vervormingsascombinatie voor X-as
Logarithmic Distortion Axis Combination for Y-Axis , Logaritmische vervormingsascombinatie voor Y-as
Logarithmic Distortion X-Axis Direction , Logaritmische vervorming X-asrichting
Logarithmic Distortion Y-Axis Direction , Logaritmische vervorming Y-Axis Richting
Lomography Redscale 100 , Lomografie Roodschaal 100
Lomography X-Pro Slide 200 , Lomografie X-Pro Slide 200
Lookup , Zoeken op
Lookup Size , Opzoekgrootte
Loop Method , Lusmethode
Low , Laag
Low Bias , Lage vooringenomenheid
Low Contrast Blue , Laag contrast blauw
Low Frequency , Lage frequentie
Low Frequency Layer , Laagfrequente laag
Low Key 01 , Lage toets 01
Low Scale , Lage Schaal
Low Value , Lage waarde
Lower Layer Is the Bottom Layer for All Blends , Onderste laag is de onderste laag voor alle mengsels
Lower Mask Threshold (%) , Lagere masker drempel (%)
Lower Side Orientation , Onderzijde Oriëntatie
Lowercase Letters , Kleine letters
Lucky 64 , Geluksvogel 64
Luma Noise , Luma-geluid
Luminance , Luminantie
Luminance Factor , Helderheidsfactor
Luminance Level , Helderheidsniveau
Luminance Only , Alleen luminantie
Luminance Only (Lab) , Alleen luminantie (Lab)
Luminance Only (YCbCr) , Alleen luminantie (YCbCr)
Luminance Shift , Luminantieverschuiving
Luminance Smoothness , Helderheid Gladheid
Luminosity from Color , Helderheid van kleur
Luminosity Type , Type lichtsterkte
Lush Green Summer , Weelderige groene zomer
LUTs Pack , LUTs-pakket
Lylejk's Painting , Lylejk's schilderij
Magenta Coffee , Magenta Koffie
Magenta Day , Magenta Dag
Magenta Day 01 , Magenta Dag 01
Magenta Dream , Magenta Droom
Magenta Factor , Magenta-factor
Magenta Smoothness , Magenta Gladheid
Magenta Yellow , Magenta Geel
Magenta-Yellow , Magenta-Geel
Magic Details , Magische details
Magnitude / Phase , Omvang / Fase
Make Hue Depends on Region Size , Maak Hue afhankelijk van de grootte van de regio
Make Seamless [Diffusion] , Naadloos maken [Diffusion]
Make Seamless [Patch-Based] , Naadloos maken [Patch-Based]
Make Squiggly , Maak Squiggly
Make Up , Make-up
Manual , Handleiding
Manual Controls , Handmatige bediening
Map , Kaart
Map Tones , Kaart Tonen
Mapping , Het in kaart brengen van
Marble , Marmer
Margin (%) , Marge (%)
Mascot Image , Mascottebeeld
Masculine , Mannelijk
Mask , Masker
Mask + Background , Masker + Achtergrond
Mask as Bottom Layer , Masker als bodemlaag
Mask By , Masker door
Mask Color , Masker Kleur
Mask Contrast , Maskercontrast
Mask Creator , Maskerontwerper
Mask Dilation , Masker Dilatatie
Mask Size , Maskergrootte
Mask Smoothness (%) , Masker Gladheid (%)
Mask Type , Maskertype
Masked Image , Gemaskerd beeld
Masking , Maskeren
Match Colors With , Matchen van kleuren met
Matching Precision (Smaller Is Faster) , Bijpassende Precisie (Kleiner is sneller)
Math Symbols , Wiskundige symbolen
Max , Max.
Max Angle , Max. hoek
Max Angle Deviation (deg) , Max Hoekafwijking (deg)
Max Area , Max. gebied
Max Cut (%) , Max. Snijding (%)
Max Iterations , Max Iteraties
Max Length (%) , Maximale lengte (%)
Max Offset (%) , Maximale compensatie (%)
Max Radius , Max. radius
Max Threshold , Max. drempel
Maximal Area , Maximale oppervlakte
Maximal Color Saturation , Maximale kleurverzadiging
Maximal Highlights , Maximale hoogtepunten
Maximal Radius , Maximale straal
Maximal Seams per Iteration (%) , Maximaal aantal naden per Iteratie (%)
Maximal Size , Maximale afmeting
Maximal Value , Maximale waarde
Maximum , Maximaal
Maximum Dimension , Maximale afmeting
Maximum Image Size , Maximale beeldgrootte
Maximum Number of Image Colors , Maximaal aantal beeldkleuren
Maximum Number of Output Layers , Maximaal aantal uitgangslagen
Maximum Red:Blue Ratio in the Fringe , Maximum Rood: Blauwe Verhouding in de Fringe
Maximum Saturation , Maximale verzadiging
Maximum Size Factor , Maximale groottefactor
Maximum Value , Maximale waarde
Maze , Doolhof
Maze Type , Doolhoftype
Mean Color , Betekenis van de kleur
Mean Curvature , Gemiddelde kromming
Median , Mediaan
Median (beware: Memory-Consuming!) , Mediaan (let op: Geheugenverlies!)
Median Radius , Mediane Straal
Medium Details Smoothness , Medium Details Gladheid
Medium Details Threshold , Medium Details Drempel
Medium Frequency Layer , Medium Frequentieregelaar
Medium Scale (Original) , Medium Scale (Origineel)
Medium Scale (Smoothed) , Medium Schaal (Gladgemaakt)
Memories , Herinneringen
Merge Brightness / Colors , Helderheid / Kleuren samenvoegen
Merge Layers? , Lagen samenvoegen?
Merging Mode , Samenvoeging modus
Merging Option , Samenvoegingsoptie
Merging Steps , Samenvoeging van stappen
Mess with Bits , Mess met Bits
Metal , Metaal
Method , Methode
Metric , Metrisch
Micro/macro Details  Adjusted , Micro/macro details Aangepast
Mid , Midden
Mid Grey , Midden-Grijs
Mid Noise , Midden-geluid
Mid Offset , Tussentijdse compensatie
Mid Tone Contrast , Middentooncontrast
Mid-Dark Grey , Midden-Donkergrijs
Mid-Light Grey , Midden-Lichtgrijs
Middle Grey , Middengrijs
Middle Scale , Middenschaal
Midpoint , Midpunt
Midtones Brightness , Midtonen Helderheid
Midtones Color Intensity , Midtonen Kleurintensiteit
Mighty Details , Machtige details
Min Angle Deviation (deg) , Min Hoekafwijking (deg)
Min Area % , Min Oppervlakte %
Min Cut (%) , Min. Snijding (%)
Min Length (%) , Min. lengte (%)
Min Offset (%) , Min. Verrekening (%)
Min Radius , Min. radius
Min Threshold , Min. drempel
Mineral Mosaic , Mineraalmozaïek
Minesweeper , Mijnenveger
Minimal Area , Minimaal gebied
Minimal Area (%) , Minimale oppervlakte (%)
Minimal Color Intensity , Minimale kleurintensiteit
Minimal Highlights , Minimale hoogtepunten
Minimal Path , Minimaal pad
Minimal Radius , Minimale straal
Minimal Region Area , Minimaal gebied
Minimal Scale (%) , Minimale schaal (%)
Minimal Shape Area , Minimale vormgebied
Minimal Size , Minimale omvang
Minimal Size (%) , Minimale omvang (%)
Minimal Stroke Length , Minimale slaglengte
Minimal Value , Minimale waarde
Minimalist Caffeination , Minimalistische Cafeïne
Minimum , Minimaal
Minimum Brightness , Minimale helderheid
Minimum Red:Blue Ratio in the Fringe , Minimum Rood: Blauwe Ratio in de Fringe
Mirror , Spiegel
Mirror Effect , Spiegeleffect
Mirror X , Spiegel X
Mirror Y , Spiegel Y
Mirror-X , Spiegel-X
Mirror-Y , Spiegel-Y
Mix , Meng
Mixed Mode , Gemengde modus
Mixer [CMYK] , Mengmachine [CMYK]
Mixer [HSV] , Mengmachine [HSV]
Mixer [Lab] , Mengmachine [Lab]
Mixer [PCA] , Mengmachine [PCA]
Mixer Style , Mixer Stijl
Mode , Modus
Modern Film , Moderne film
Modulo Value , Modulowaarde
Moir&eacute; Animation , Moir&eacute; Animatie
Moire Removal , Moire-verwijdering
Moire Removal Method , Moire-verwijderingsmethode
Mondrian: Composition in Red-Yellow-Blue , Mondriaan: Samenstelling in Rood-Geel-Blauw
Mondrian: Evening; Red Tree , Mondriaan: Avond; Rode Boom
Mondrian: Gray Tree , Mondriaan: Grijze Boom
Monet: San Giorgio Maggiore at Dusk , Monet: San Giorgio Maggiore in de schemering.
Monet: Water-Lily Pond , Monet: Waterlelie-vijver
Monet: Wheatstacks - End of Summer , Monet: Korenstapels - Einde van de zomer
Monkey , Aap
Mono Tinted , Mono Getint
Mono-Directional , Mono-Directioneel
Monochrome , Monochroom
Monochrome 1 , Monochroom 1
Monochrome 2 , Monochroom 2
Moonlight , Maanlicht
Moonlight 01 , Maanlicht 01
Moonrise , Maanopkomst
Morning 6 , Ochtend 6
Morph [Interactive] , Morph [Interactief]
Morph Layers , Morph Lagen
Morphological - Fastest Sharpest Output , Morfologisch - Snelste Scherpste Uitvoer
Morphological Closing , Morfologische afsluiting
Morphological Filter , Morfologische filter
Morphology Painting , Morfologie Schilderen
Morphology Strength , Morfologie Sterkte
Mosaic , Mozaïek
Most , De meeste
Mostly Blue , Meestal Blauw
Much , Veel
Much Blue , Veel Blauw
Much Green , Veel groen
Much Red , Veel rood
Multi-Layer Etch , Meerlaagse ets
Multiple Colored Shapes Over Transp. BG , Meerkleurige vormen over transp. BG
Multiple Layers , Meerdere lagen
Multiplier , Vermenigvuldiger
Multiply , Vermenigvuldig
Multiscale Operator , Multiscale-exploitant
Munch: The Scream , Munch: De schreeuw
Mute Shift , Stomme verschuiving
Muted 01 , Gedempt 01
Muted Fade , Gedempt verbleken
Mystic Purple Sunset , Mystieke Paarse Zonsondergang
Name , Naam
Natural (vivid) , Natuurlijk (levendig)
Nature & Wildlife-1 , Natuur & Wildlife-1
Nature & Wildlife-10 , Natuur & Wildlife-10
Nature & Wildlife-2 , Natuur & Wildlife-2
Nature & Wildlife-3 , Natuur & Wildlife-3
Nature & Wildlife-4 , Natuur & Wildlife-4
Nature & Wildlife-5 , Natuur & Wildlife-5
Nature & Wildlife-6 , Natuur & Wildlife-6
Nature & Wildlife-7 , Natuur & Wildlife-7
Nature & Wildlife-8 , Natuur & Wildlife-8
Nature & Wildlife-9 , Natuur & Wildlife-9
Nb Circles Surrounding , Nb-cirkels rondom
Near Black , In de buurt van Zwart
Nearest , Dichtstbijzijnde
Nearest Neighbor , Dichtstbijzijnde buurman
Neat Merge , Keurig samenvoegen
Nebulous , Nevelig
Negate , Verwaarloos
Negation , Verwaarlozing
Negative , Negatief
Negative [Color] (13) , Negatief [Kleur] (13)
Negative [New] (39) , Negatief [Nieuw] (39)
Negative [Old] (44) , Negatief [Oud] (44)
Negative Color Abstraction , Negatieve kleurenabstractie
Negative Colors , Negatieve kleuren
Negative Effect , Negatief effect
Neighborhood Size (%) , Buurtgrootte (%)
Neighborhood Smoothness , Buurt Gladheid
Neon Lightning , Neonbliksem
Neutral Color , Neutrale kleur
Neutral Teal Orange , Neutraal Teal Oranje
Neutral Warm Fade , Neutraal Warm Fade
New Curves [Interactive] , Nieuwe curven [Interactief]
Newspaper , Krant
Night 01 , Nacht 01
Night Blade 4 , Nachtblad 4
Night From Day , Nacht van de dag
Night King 141 , Nachtkoning 141
Night Spy , Nachtspion
Nine Layers , Negen lagen
No Masking , Geen maskering
No Recovery , Geen herstel
No Rescaling , Geen Herschaling
No Transparency , Geen transparantie
Noise , Lawaai
Noise [Additive] , Lawaai [Additief]
Noise [Perlin] , Lawaai [Perlin]
Noise [Spread] , Lawaai [Spread]
Noise A , Lawaai A
Noise B , Lawaai B
Noise C , Lawaai C
Noise D , Lawaai D
Noise Level , Geluidsniveau
Noise Scale , Geluidsschaal
Noise Type , Geluidstype
Non / No , Niet / Nee
Non-Linearity , Niet-lineariteit
Non-Rigid , Niet-rigide
None , Geen
None (Allows Multi-Layers) , Geen (Maakt Multi-Layers mogelijk)
None- Skip , Niet overslaan
Norm Type , Normaal Type
Normal , Normaal
Normal Map , Normale kaart
Normal Output , Normale uitgang
Normalization , Normalisatie
Normalize , Normaliseer
Normalize Brightness , Helderheid normaliseren
Normalize Colors , Kleuren normaliseren
Normalize Illumination , Verlichting normaliseren
Normalize Input , Input normaliseren
Normalize Luma , Luma normaliseren
Normalize Scales , Normaliseer Schalen
Nostalgia Honey , Nostalgie Honing
Nostalgic , Nostalgische
Nothing , Niets
Number , Aantal
Number of Added Frames , Aantal toegevoegde frames
Number of Angles , Aantal hoeken
Number of Clusters , Aantal Clusters
Number of Colors , Aantal kleuren
Number of Frames , Aantal Frames
Number of Inter-Frames , Aantal interframes
Number of Iterations per Scale , Aantal Iteraties per Schaal
Number of Key-Frames , Aantal Key-Frames
Number of Levels , Aantal niveaus
Number of Matches (Coarsest) , Aantal wedstrijden (grofste)
Number of Matches (Finest) , Aantal Wedstrijden (Fijnste)
Number of Orientations , Aantal Oriëntaties
Number Of Rays , Aantal stralen
Number of Scales , Aantal schalen
Number of Sizes , Aantal Maten
Number of Streaks , Aantal strepen
Number of Teeth , Aantal tanden
Number of Tones , Aantal Tonen
Object Animation , Animatie van het object
Object Ratio , Objectratio
Object Tolerance , Objecttolerantie
Octagon , Achthoek
Octagonal , Achthoekig
Octaves , Octaven
Oddness (%) , Raarheid (%)
Off , Uit
Offset , Compensatie
Offset (%) , Compensatie (%)
Offset Angle Rays Layer 1 , Offset Hoekstralen Laag 1
Offset Angle Rays Layer 2 , Offset Hoeklaag 2
Old Method - Slowest , Oude methode - Langzaamste
Old Photograph , Oude foto
Old West , Oude Westen
ON1 Photography (90) , ON1 Fotografie (90)
One Layer , Eén laag
One Layer (Horizontal) , Eén laag (horizontaal)
One Layer (Vertical) , Eén laag (verticaal)
One Layer per Single Color , Eén laag per enkele kleur
One Layer per Single Region , Eén laag per regio
One Thread , Een draad
Only Leafs , Alleen Bladeren
Only Red , Alleen rood
Only Red and Blue , Alleen rood en blauw
Opacity , Opaciteit
Opacity (%) , Opaciteit (%)
Opacity as Heightmap , Opaciteit als hoogtekaart
Opacity Contours , Opaciteitscontouren
Opacity Factor , Opaciteitsfactor
Opacity Gain , Opaciteitswinst
Opacity Gamma , Opaciteitsgamma
Opacity Snowflake , Opaciteitssneeuwvlokje
Opacity Threshold (%) , Opaciteitsdrempel (%)
Opaque Pixels , Ondoorzichtige Pixels
Opaque Regions on Top Layer , Ondoorzichtige regio's op de bovenste laag
Opaque Skin , Ondoorzichtige huid
Open Interactive Preview , Open Interactieve Voorvertoning
Operation Yellow , Operatie Geel
Operator , Exploitant
Opposing , Tegen
Optimized Lateral Inhibition , Geoptimaliseerde zijdelingse remming
Orange Dark 4 , Oranje Donker 4
Orange Dark 7 , Oranje Donker 7
Orange Dark Look , Oranje Donkerblauw uiterlijk
Orange Tone , Oranje Tint
Orange Underexposed , Oranje Onderbelicht
Oranges , Sinaasappels
Order , Bestel
Order By , Bestel door
Orientation , Oriëntatie
Orientation Coherence , Oriëntatie Coherentie
Orientation Only , Alleen de oriëntatie
Orientations , Oriëntaties
Original , Origineel
Original - (Opening + Closing)/2 , Origineel - (openen + sluiten)/2
Original - Erosion , Origineel - Erosie
Original - Opening , Origineel - Opening
Orthogonal Radius , Orthogonale Straal
Orton Glow , Orton Gloed
Others (69) , Andere (69)
Ouline Color , Ouline kleur
Outer , Buiten
Outer Fading , Buitenvervaging
Outer Length , Buitenlengte
Outer Radius , Buitenste straal
Outline , Overzicht
Outline (%) , Overzicht (%)
Outline Color , Overzicht Kleur
Outline Contrast , Contrast in hoofdlijnen
Outline Opacity , Ondoorzichtigheid in grote lijnen
Outline Size , Overzicht van de grootte
Outline Smoothness , Overzicht Gladheid
Outline Thickness , Schetsdikte
Outlined , Uitgebreid
Output , Uitgang
Output As , Uitgang als
Output as Files , Uitvoer als bestanden
Output as Frames , Uitgang als Frames
Output as Multiple Layers , Uitvoer als meerdere lagen
Output as Separate Layers , Uitgang als afzonderlijke lagen
Output Ascii File , Uitvoer Ascii-bestand
Output Chroma NR , Uitgang Chroma NR
Output CLUT , Uitgang CLUT
Output CLUT Resolution , Output CLUT Resolutie
Output Coordinates File , Uitvoercoördinaten Bestand
Output Corresponding CLUT , Uitgang Corresponderende CLUT
Output Directory , Uitvoergids
